"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.2523/iptc-25122-ms","in","core","reservoir_engineering","","no","EnergyAI agentic RAG + agent-to-agent framework across exploration/reservoir characterization/drilling"
"doi:10.1016/j.procir.2026.03.308","out","","","not-geoscience","no","adversarial agentic LLM optimization for factory layout/dispatching (manufacturing), not geoscience"
"doi:10.5281/zenodo.21513535","out","","","not-geoscience","no","generic runtime security layer for AI agent tool calls (GuardrailProvider), no geoscience; CCS acronym collision"
"doi:10.2118/230772-ms","in","core","reservoir_engineering","","no","self-improving generative AI agents for automated daily mud report parsing across drilling"
"doi:10.2118/0326-0015-jpt","in","context","reservoir_engineering","","no","JPT highlight article summarizing SPE 226728 multiagent AI for offshore production surveillance/intervention; secondary source, underlying paper not separately in corpus"
"doi:10.3997/2214-4609.202539032","in","core","reservoir_engineering","","no","GraphRAG + agentic architectures for geoscience document mining"
"doi:10.2118/229586-ms","in","context","reservoir_engineering","","no","vision/positioning piece on the need for agentic AI for subsurface data workflows, no specific implemented system detailed"
"doi:10.3997/2214-4609.202639010","in","core","seismology","","no","integrated data-management platform + collaborative interpretation AI + multimodal LLM system for seismic interpretation"
"doi:10.48550/arxiv.2609.01777","in","core","seismology","","no","TREMORS: agentic assistant translating scientific intent into structured multi-datacenter seismic data acquisition workflows"
"doi:10.5281/zenodo.20109894","in","context","reservoir_engineering","","no","reference architecture for subsurface physics/fluid-flow/field-development optimization; abstract states architecture is conceptual, no implementation"
"doi:10.3997/2214-4609.202639027","in","core","reservoir_engineering","","no","Open-DARTS-MCP: MCP-based architecture exposing reservoir simulation workflows to agentic access"
"doi:10.63374/qitp-ijpeat_07_02_001","out","","","not-agentic","no","systematic literature review/taxonomy of GenAI and Agentic AI use cases in O&G; a survey, not itself an agentic system"
"doi:10.2523/iptc-25230-ms","in","core","reservoir_engineering","","no","multi-agentic GenAI framework for field development planning: simulation compliance, insight generation, well placement optimization"
"doi:10.5194/egusphere-egu26-9051","in","core","engineering_geology","","no","TunnelSentinel: agentic AI framework for settlement-risk management of immersed tunnels"
"doi:10.3997/2214-4609.2024101588","in","context","reservoir_engineering","","no","Geologist Copilot: GenAI application for automated, explained lithology interpretation while drilling; agenticity of the pipeline unclear from abstract alone"
"doi:10.2118/229603-ms","in","core","reservoir_engineering","","no","modular agentic LLM workflow + rule-based heuristics extracting/classifying drilling risk events from daily reports"
"doi:10.1038/s44304-026-00262-z","in","core","seismology","","no","first agentic interface (MCP server) to end-to-end probabilistic seismic hazard and risk analysis chain"
"doi:10.30953/thmt.v10.639","out","","","not-geoscience","no","podcast on agentic AI's impact on medical schools; 'seismic shift' is a metaphor, no geoscience content"
"doi:10.48550/arxiv.2603.13625","out","","","not-geoscience","no","agentic workflow generating synthetic crisis-related tweet datasets for social-media crisis informatics, not solid-earth geoscience"
"doi:10.5281/zenodo.19454990","out","","","not-a-source","no","podcast episode on software-developer role shift in the AI era, not geoscience"
"doi:10.3997/2214-4609.202637165","in","core","reservoir_engineering","","no","conversational + agentic workflows constructing and executing fully-differentiable reservoir simulation models"
"doi:10.20944/preprints202604.1814.v1","out","","","not-agentic","no","survey of LLMs/foundation models for petroleum engineering; not itself an agentic system"
"arxiv:2604.21501","in","core","reservoir_engineering","","no","GeoMind: agentic workflow for lithology classification from well logs with reasoned tool invocation"
"doi:10.2118/0426-0008-jpt","in","core","reservoir_engineering","","no","JPT case study: agentic AI framework for large-scale well modeling of offshore field developments, matched to FGS/IPR/VLP/PT data"
"doi:10.48550/arxiv.2605.00060","in","core","reservoir_engineering","","no","TADI: tool-augmented drilling intelligence, agentic LLM orchestration over Equinor Volve Field dataset (named real field)"
"doi:10.5281/zenodo.21542369","out","","","not-geoscience","no","generic runtime verification protocol for multi-agent systems, no geoscience; CCS acronym collision"
"title:largelanguagemodelagentsindynamicmineplanningamodulardecisionsupportframework","in","core","mining","","no","modular LLM-agent decision-support framework for dynamic mine planning"
"doi:10.1109/access.2026.3714775","in","core","mining","","no","LLM agents in dynamic mine planning; companion/journal treatment of the dynamic-mine-planning agent framework"
"doi:10.3390/geosciences16050176","in","core","engineering_geology","","no","AI agent-based Evaluator-Optimizer workflow automating model dev/training/tuning for tunnel-blasting PPV prediction"
"doi:10.1016/j.aei.2026.105065","in","core","engineering_geology","","no","LLM-based multi-agent framework automating surrogate-model construction for reliability analysis of spatially variable soils"
"doi:10.2118/0324-0034-jpt","out","","","not-agentic","no","JPT news piece on an engineer's anecdotal use of ChatGPT as a coding/research tool; prompt-in/text-out, no decision loop"
"doi:10.2118/224532-ms","in","core","reservoir_engineering","","no","AI agents automating well-planning workflows, reducing errors, improving decisions"
"doi:10.1007/s43503-026-00088-8","in","core","engineering_geology","","no","router-driven multi-agent system for automated foundation design; compares single-agent, multi-agent, router architectures across 27 cases with named baseline LLMs"
"doi:10.22564/19cisbgf2025.335","in","core","seismology","","no","BRISA: Brazilian Intelligence for Seismic Analysis, AI-agent system for seismic data exploration/inspection"
"doi:10.5281/zenodo.19358458","out","","","not-a-source","no","podcast/career-guide episode on agentic AI jobs, not geoscience"
"doi:10.2118/229512-ms","in","core","reservoir_engineering","","no","real-time agentic RAG framework for drilling insight generation and visualization"
"doi:10.2118/233094-ms","in","core","reservoir_engineering","","no","specialized AI agents for plug-and-abandonment operation analysis and regulatory compliance"
"doi:10.48550/arxiv.2511.03852","in","core","geothermal","","no","GAIA: agentic AI framework integrating geological/geophysical/reservoir/operational data for geothermal field development"
"doi:10.5281/zenodo.19316139","out","","","not-geoscience","no","general LLM-agent reliability research note (temporal consistency), no geoscience"
"doi:10.5281/zenodo.19241166","out","","","not-geoscience","no","general survey of adversarial jailbreak vectors against LLMs, no geoscience"
"doi:10.5194/egusphere-egu26-15632","in","core","engineering_geology","","no","multimodal multi-agent framework for automated landslide risk management"
"doi:10.1109/fllm67465.2025.11391215","out","","","not-geoscience","no","multiagent NLP framework for prompt-injection detection/mitigation, general AI security, no geoscience"
"doi:10.2118/221864-ms","in","core","reservoir_engineering","","no","GeoCopilot: multimodal geologist copilot, generative AI with reality-augmented generation for lithology interpretation while drilling"
"doi:10.2118/0326-0003-jpt","out","","","not-agentic","no","guest editorial on the inevitability of the 'agentic oil field'; opinion piece, no specific system to characterise"
"doi:10.2118/229435-ms","in","core","reservoir_engineering","","no","unified agentic/GenAI PoC (InsightsAI) integrating WITSML logs and unstructured PDFs via ontology + knowledge graph"
"doi:10.3997/2214-4609.202639044","in","context","reservoir_engineering","","no","industry-trend narrative on shift from RAG to agentic AI architectures for well analytics; thin on a specific named system"
"doi:10.48550/arxiv.2604.14572","out","","","not-geoscience","no","Corpus2Skill: enterprise knowledge/RAG system, no geoscience domain application stated"
"doi:10.48550/arxiv.2608.27092","out","","","not-geoscience","no","prompt-injection exfiltration research on tool-using LLM agents, general AI security, no geoscience"
"doi:10.48550/arxiv.2512.04611","out","","","not-geoscience","no","PBFuzz: agentic directed fuzzing for software vulnerability discovery (ACM CCS conference), no geoscience; CCS acronym collision"
"doi:10.5281/zenodo.19078873","in","core","geological_modelling","","no","GeoSAGE: multi-agent workflow for geological reasoning from joint gravity/magnetic inversion models, public GitHub repo"
"doi:10.1007/s10916-025-02284-y","out","","","not-geoscience","no","LLM diagnostic/triage performance on clinical vignettes, medical domain, no geoscience"
"doi:10.48550/arxiv.2401.04732","out","","","not-geoscience","no","MSX Sales Copilot uses 'Seismic' as the name of a sales-content software platform, not solid-earth seismology"
"doi:10.1109/wf-pst65083.2025.00037","out","","","not-geoscience","no","CrisisGuideGPT: generic multi-hazard crisis-response planning assistant, not specific to a solid-earth/subsurface subfield"
"doi:10.1145/3731599.3767402","in","core","seismology","","no","EQSIM Agent: conversational AI for interactive exploration of large-scale earthquake simulation data"
"doi:10.18653/v1/2025.findings-emnlp.1386","in","core","mining","","no","STA-CoT: structured target-centric agentic chain-of-thought orchestrating planning/execution/verification agents for multi-image geological reasoning in mineral exploration"
"doi:10.3997/2214-4609.202639107","in","context","seismology","","no","RAG-based AI assistant with interactive chat interface for seismic processing/imaging guidance; agenticity beyond RAG unclear from abstract"
"doi:10.3997/2214-4609.202639016","in","core","seismology","","no","three autonomous agents (diagnostics, remediation, quality control) automating seismic noise-attenuation outcomes"
"doi:10.3997/1365-2397.fb2026015","in","core","seismology","","no","agent-driven reconstruction of seismic metadata from legacy SEG-Y headers, embedding-based retrieval for subsurface intelligence"
"doi:10.5281/zenodo.19360598","out","","","not-a-source","no","podcast episode on UBI and agentic AI, not geoscience"
"doi:10.2118/232332-ms","in","core","geothermal","","no","agentic AI-driven geothermal reservoir simulation and optimization using surrogate modelling for site screening"
"doi:10.2118/229444-ms","in","context","reservoir_engineering","","no","dual-layer OSDU + Microsoft Fabric data architecture enabling agentic AI in upstream, part of ENERGYai initiative; architecture description, no agent evaluation apparent"
"doi:10.64862/ajeg.2025.2sp.95.232","in","core","engineering_geology","","no","agentic machine-learning pipeline (Agentic Spec Kit) for drift-aware debris-flow detection from seismic data"
"doi:10.5281/zenodo.19361485","out","","","not-a-source","no","podcast episode on Google's Web MCP standard, general web tech, not geoscience"
"doi:10.5281/zenodo.19054913","out","","","not-geoscience","no","TERRAIN in the title is metaphorical; paper is about general AI coding-agent memory systems, no geoscience content"
"doi:10.36227/techrxiv.175979241.11582889/v1","in","core","reservoir_engineering","","no","explainability as a catalyst for agentic AI adoption in subsurface oil & gas workflows"
"doi:10.2118/234989-ms","in","core","reservoir_engineering","","no","agentic AI for dynamic business/analytics dashboards answering ad-hoc cross-domain questions in hydrocarbon asset management"
"doi:10.2523/iptc-25245-ms","in","core","reservoir_engineering","","no","discipline-specific agentic multimodal assistant with contextual awareness of literature, procedures, petrotechnical software"
"doi:10.2118/230751-ms","in","core","reservoir_engineering","","no","hybrid physics + AI agents for real-time stuck-pipe risk assessment evaluating all primary sticking mechanisms"
"doi:10.2118/0226-0003-jpt","out","","","not-agentic","no","guest editorial on oil market trends, no specific agentic system"
"doi:10.20944/preprints202510.1990.v1","out","","","not-agentic","no","curriculum-development framework for REE education workforce training, not an agentic task-performing system"
"doi:10.2139/ssrn.6515171","in","core","engineering_geology","","no","MAS-LAND: three-stage multi-agent LLM-enhanced system for post-event landslide detection and rapid response"
"doi:10.5281/zenodo.19078874","out","","","duplicate","no","Zenodo code/data snapshot duplicating the GeoSAGE system already admitted under doi:10.5281/zenodo.19078873"
"doi:10.5281/zenodo.19958815","out","","","duplicate","no","further Zenodo code/data snapshot duplicating the GeoSAGE system already admitted under doi:10.5281/zenodo.19078873"
"doi:10.1016/j.autcon.2025.106257","in","core","engineering_geology","","no","multimodal framework integrating multiple LLM agents for intelligent geotechnical design; no abstract available (title/venue/citation count triageable), 38 cites"
"doi:10.1016/j.watres.2026.125886","in","core","hydrogeology","","no","autonomous inverse modeling of groundwater systems via physics-integrated LLM multi-agent framework; no abstract available, 18 cites"
"doi:10.3390/su18021014","in","core","engineering_geology","","no","ResQConnect: AI-powered multi-agentic platform transforming multimodal disaster data into field actions for floods/landslides"
"doi:10.1109/acait63902.2024.11022201","in","core","seismology","","no","ChenSi Big Model: LangChain-based LLM intelligent emergency decision system integrating large-model agents for earthquake response"
"doi:10.2139/ssrn.5340542","out","","","duplicate","no","SSRN preprint duplicate of the journal version doi:10.1016/j.sandf.2026.101789 (same landslide-reconstruction agentic-AI study)"
"doi:10.1061/9780784485989.006","out","","","not-agentic","no","pilot evaluation of general-purpose LLMs (ChatGPT/Copilot/Gemini) as Q&A virtual assistants; no tool-use/planning/decision loop described"
"doi:10.2118/222053-ms","in","core","reservoir_engineering","","no","multi-modal AI copilot spanning document analysis, geological consultation, workflow planning and reservoir simulation via LLM-based agents"
"doi:10.20965/jdr.2025.p0386","in","context","seismology","","no","LLM-based mapping combining dengue epidemic and earthquake-intensity mapping; mixed scope, thin on solid-earth specifics"
"doi:10.1016/j.petsci.2026.05.031","in","core","reservoir_engineering","","no","LLM-based AI agent for well logging data processing and interpretation, multi-source integration and parameter inversion"
"doi:10.2118/229506-ms","in","core","reservoir_engineering","","no","GenAI multi-agent retrieval-augmented generation system addressing LLM limitations for O&G applications"
"doi:10.1016/j.sandf.2026.101789","in","core","engineering_geology","","no","reconstruction of urban landslide events using LLM-based agentic AI with multimodal data; no abstract available (journal version of SSRN preprint)"
"doi:10.5281/zenodo.21768634","in","core","seismology","","no","ESHM20-MCP: MCP server exposing the European Seismic Hazard/Risk Models through 24 typed endpoints backed by OpenQuake"
"doi:10.32604/cmes.2026.084591","out","","","not-agentic","no","systematic literature review of AI in earthquake engineering from ML to agentic AI; a survey, not a system"
"doi:10.2118/229682-ms","in","context","reservoir_engineering","","no","perspective on agentic AI transforming upstream O&G; no specific implemented system detailed in abstract"
"title:integratingaiagentsintobimforarchitecturaldesignsupportatorsionaleccentricityassessmentcase","out","","","not-geoscience","no","AI agents for BIM architectural design compliance checking (torsional eccentricity in buildings); structural/architectural engineering, not solid-earth geoscience"
"doi:10.5281/zenodo.21833139","out","","","not-geoscience","no","theoretical account of generative-AI signal perception and internal alphabet formation; no geoscience application"
"doi:10.5281/zenodo.21478284","out","","","periphery","no","cross-domain environmental anomaly detection (floods, wildfires, air quality, seismic precursors); general environmental monitoring, seismic precursors only one of several signal types"
"doi:10.5281/zenodo.19035711","out","","","not-a-source","no","podcast episode on TypeScript's adoption; 'seismic shift' is a metaphor, no geoscience"
"doi:10.48550/arxiv.2607.16249","out","","","duplicate","no","arXiv preprint duplicate of the published npj paper doi:10.1038/s44304-026-00262-z (same MCP/OpenQuake seismic hazard agentic interface)"
"doi:10.1016/j.gsf.2026.102445","in","core","seismology","","no","geospatial generative pre-trained transformer framework automating earthquake building-vulnerability estimation and GIS reporting"
"doi:10.48550/arxiv.2608.13889","out","","","pre-llm-only","no","consensus-gated multi-agent neural architecture search for seismic fault segmentation; no LLM component evident, classical multi-agent NAS"
"doi:10.26190/unsworks/32312","out","","","not-agentic","no","digital-twin framework for water/wastewater treatment infrastructure; no clear LLM decision loop described"
"doi:10.2118/0925-0003-jpt","out","","","not-agentic","no","JPT news survey of many GenAI oilfield use cases in general terms, no single system characterised"
"arxiv:2602.10986","out","","","not-geoscience","no","stateful tool-value caching for RL post-training of LLM agents; general ML-systems infrastructure, no geoscience application"
"doi:10.5281/zenodo.19313733","out","","","not-geoscience","no","general LLM-agent temporal behavioral-drift measurement methodology, no geoscience; CCS acronym unrelated to carbon capture"
"doi:10.48550/arxiv.2608.21976","out","","","not-geoscience","no","agentic engineering-design framework (The AI Engineer) for fluid dynamics/solid mechanics/structural design; general engineering, not geoscience-specific"
"doi:10.3997/2214-4609.202620128","in","core","mining","","no","AI agent-based framework for mineral exploration leveraging the GEOH5 geoscience data structure"
"doi:10.12677/ces.2026.143190","out","","","not-geoscience","no","LLM agent 'Mining Lingua' for English-for-specific-purposes language pedagogy in mining engineering education; task is language teaching, not a geoscience task"
"doi:10.1016/j.cacaie.2026.100079","in","core","engineering_geology","","no","uncertainty-aware multi-agent system for automated real-time geotechnical analysis in tunneling"
"doi:10.1016/j.autcon.2025.106421","out","","","not-a-source","no","corrigendum notice to doi:10.1016/j.autcon.2025.106257, no independent content"
"doi:10.1016/j.geoai.2026.100106","in","context","engineering_geology","","no","report on the 2nd GeoTechathon: six teams' agentic workflows for geotechnical task automation, event summary rather than one characterised system"
"doi:10.1016/j.bdes.2026.100042","in","core","inversion","","no","generalizable automated geophysical agent workflow making inversion-to-petrophysical-conversion pipelines accessible for subsurface hydrology"
"doi:10.1016/j.jgsce.2024.205469","out","","","not-agentic","no","review of AGI's potential impact on the upstream geoenergy industry; a review, not a system"
"doi:10.1109/access.2025.3586370","in","context","seismology","","no","LLM-based earthquake-emergency knowledge-graph construction with prompt-engineering pipeline; agenticity beyond extraction/reasoning unclear from abstract"
"doi:10.1190/tle44020142.1","in","core","seismology","","no","LLM-based autonomous agent assisting geoscientists through seismic processing workflows"
"doi:10.2118/221883-ms","in","context","reservoir_engineering","","no","methodology discussion for tuning/customizing GenAI tools and agents to oil and gas drilling; framework-level, thin on one evaluated system"
"doi:10.3997/2214-4609.202410350","in","core","seismology","","no","ReAct-framework chatbot executing seismic processing operations via Python tool wrappers from user interactions"
"doi:10.2118/226728-ms","in","core","reservoir_engineering","","no","agentic AI framework of specialised collaborating models for offshore production surveillance, root-cause analysis, predictive maintenance"
"doi:10.2118/228117-ms","in","core","reservoir_engineering","","no","generative-AI chat research assistant for well planning explicitly going beyond RAG"
"doi:10.20517/aiagent.2026.11","in","core","ccs","","no","DigMethpy: AI-empowered digital catalysis platform automating molten-catalyst design for coke-free hydrogen production and carbon capture"
"doi:10.48550/arxiv.2603.21152","in","core","seismology","","no","TRACE: multi-agent system for autonomous physical reasoning inferring mechanisms governing earthquake sequences"
"doi:10.21275/sr26705204512","out","","","not-geoscience","no","classroom study on Python/GenAI programming education via BBC Micro:bit, no geoscience"
"doi:10.5281/zenodo.20520987","out","","","not-geoscience","no","generic spectral-matching/signal-synthesis framework (MESIE) with no explicit geoscience application stated"
"doi:10.5281/zenodo.21300269","out","","","not-geoscience","no","overview of technology-law trends, no geoscience"
"doi:10.21275/sr25217143039","out","","","not-geoscience","no","agentic architecture white paper for pharmaceutical business transformation, no geoscience"
"doi:10.22564/19cisbgf2025.463","in","core","seismology","","no","massively parallel distributed computing and agentic framework for petabyte-scale subsurface seismic/sensor data management"
"doi:10.1016/s1876-3804(26)60734-3","in","core","reservoir_engineering","","no","role-based multi-agent LLM system with human-in-the-loop and digital-twin architecture for well log interpretation"
"doi:10.3997/2214-4609.2025101389","in","core","reservoir_engineering","","no","agent-based multimodal analysis of images and mechanical parameters for wellbore stability and drilling efficiency"
"doi:10.2118/233425-ms","in","core","reservoir_engineering","","no","AI-driven assistant automating multidisciplinary well design (drilling, completion, surface network) via OCR and LLMs"
"doi:10.2118/229423-ms","in","core","reservoir_engineering","","no","multi-agent geophysical AI workflow automating reservoir characterization across collaborative geoscientist tasks"
"doi:10.29121/jissi.v2.i2.2026.35","out","","","not-geoscience","no","training veterinary/health professionals as data analysts, no geoscience"
"doi:10.2118/229646-ms","in","core","reservoir_engineering","","no","LLM-empowered automated reservoir agent for reservoir intelligent management and transformation"
"doi:10.5281/zenodo.21731397","out","","","not-geoscience","no","self-evolving AI agent with MCP server and DeepSeek integration for generic security/code tasks, no geoscience; Correctover series"
"doi:10.22214/ijraset.2025.75808","in","context","engineering_geology","","no","conceptual multilingual edge-AI framework (Brahmaputra-CoPilot) for flood/landslide early warning; no working implementation stated"
"doi:10.1109/access.2024.3480250","out","","","not-geoscience","no","multimodal anomaly-detection agent for generic adverse visual environments, no geoscience application stated"
"doi:10.3997/2214-4609.2025101096","in","core","reservoir_engineering","","no","agentic AI autonomously managing data ingestion, model training and expert-input integration for subsurface predictive modelling"
"doi:10.1190/tle44020078.1","out","","","not-agentic","no","editorial introduction to a special section on generative/physics-informed AI in geoscience; not itself a system"
"doi:10.2118/229346-ms","in","core","reservoir_engineering","","no","GenAI-based orchestration layer with natural-language interfaces giving non-specialists access to petrophysical workflows"
"doi:10.3390/en18215632","out","","","not-geoscience","no","techno-economic AI agent for anaerobic co-digestion in renewable energy/waste management; carbon capture is incidental to the core domain"
"doi:10.4491/eer.2026.089","out","","","periphery","no","systematic review of AI in air pollution/flue-gas/air-quality management and CO2 capture; review, and predominantly climate/air-quality domain"
"doi:10.1016/j.autcon.2026.107055","in","core","engineering_geology","","no","AI agent for geological forecasting and risk control in rock tunnel construction via multi-source information fusion; no abstract available"
"doi:10.2523/iptc-25138-ms","in","core","reservoir_engineering","","no","digital framework integrating AI-driven forensics, automation and agentic AI to accelerate drill-bit innovation"
"doi:10.67704/oep.2025.250012","in","core","seismology","","no","distributed acoustic sensing system integrable with AI agents for intelligent response beyond basic signal processing"
"arxiv:2511.19865","out","","","not-geoscience","no","agentic AI for embodied intelligence networks in 6G telecom, no geoscience"
"title:whenagenticaimeetsdataprotectionlawafundamentalmismatch","out","","","not-geoscience","no","legal analysis of agentic AI vs data-protection law, no geoscience"
"doi:10.6084/m9.figshare.32156774.v1","out","","","not-geoscience","no","generic multi-modal disaster prediction/response model in cloud-edge networks, no specific solid-earth hazard named"
"doi:10.15662/ijarcst.2026.0903007","out","","","not-geoscience","no","agentic AI for insurance analytics/personalized coverage, no geoscience"
"doi:10.1145/3786167.3788422","out","","","not-geoscience","no","vision paper on agentic software engineering as a research area, no geoscience"
"doi:10.5194/isprs-archives-l-4-w1-2026-159-2026","out","","","not-agentic","no","disaster-risk model coupling GIS, ensemble ML and AI-driven interpretation tools; no explicit LLM-agent decision loop described"
"doi:10.51219/urforum.2024.oluwatimilehin-odubola","out","","","not-geoscience","no","LLM-based multi-agent interventions for generic crisis management/disaster response, no solid-earth hazard specificity"
"doi:10.5281/zenodo.18371320","out","","","not-a-source","no","incoherent mixed content spanning metamaterials, 'cognitive-warfare', and 'myth-tech'; not a genuine scholarly source"
"doi:10.1111/gwat.70067","out","","","not-agentic","no","semi-automated NLP extraction of groundwater-stakeholder text insights; no decision loop described"
"doi:10.13140/rg.2.2.28926.65602","in","core","reservoir_engineering","","no","autonomous production optimization in the named Volve field via multi-agent RL and agentic AI; no abstract available"
"doi:10.2118/229716-ms","in","core","reservoir_engineering","","no","AI agent for real-time drill-bit selection optimization addressing complexities of contemporary drilling data"
"doi:10.3997/2214-4609.202535055","in","core","reservoir_engineering","","no","CausX AI: epistemic causal AI agent building multi-view hypothesis sets under situation-specific guardrails for North Sea fluid-property estimation"
"doi:10.1109/icftic68075.2025.11324812","in","core","reservoir_engineering","","no","knowledge-system-driven evolving AI agent architecture addressing planning/evaluation/knowledge-gap challenges in O&G E&P"
"doi:10.5281/zenodo.22054447","out","","","not-geoscience","no","generic cryptographic evidence layer for AI agent tool calls, no geoscience; CCS acronym collision"
"doi:10.5281/zenodo.21783722","out","","","not-geoscience","no","generic 7-dimension runtime verification framework for AI agents, no geoscience; CCS acronym collision"
"doi:10.5281/zenodo.22057050","out","","","not-geoscience","no","generic cryptographic protocol for verifiable AI agent behaviour, no geoscience"
"doi:10.5281/zenodo.21513651","out","","","not-geoscience","no","generic content-addressed audit-trail technique for AI agent authorization, no geoscience"
"doi:10.20944/preprints202609.0201.v1","out","","","not-geoscience","no","explainability benchmark for on-device agentic AI in smart-grid/EV/energy systems, not solid-earth geoscience"
"doi:10.1145/3719027.3767663","out","","","not-a-source","no","workshop announcement (ACM CCS Workshop on Human-Centered AI Privacy and Security), no geoscience"
"arxiv:2607.18557","in","core","ccs","","no","AGENTS4GEOS: agentic platform generating GNN surrogate training data for multi-physics subsurface CO2-storage simulation"
"doi:10.2118/0725-0006-jpt","out","","","not-agentic","no","JPT Q&A on the general importance of AI/ML to innovation, no specific system"
"doi:10.5281/zenodo.19361183","out","","","not-a-source","no","podcast episode on US AI hub geography, not geoscience"
"doi:10.1109/caibda65784.2025.11182767","in","core","mining","","no","LLM-agent-driven mineralization prediction system with function-calling modular design (preprocessing, model selection, training, visualization)"
"doi:10.56726/irjmets86671","out","","","not-agentic","no","disaster-alert system using ML inference and weather APIs (Flask/MongoDB); no LLM-driven decision loop described despite 'agentic-AI' label"
"doi:10.1109/cieec60922.2024.10583297","out","","","pre-llm-only","no","geogrid slope-support optimization using classical optimization algorithm (ROA) and SVM regression; 'AI agent model' is not LLM-based"
"doi:10.5281/zenodo.21512815","out","","","not-agentic","no","multimodal landslide-response ML fusion framework (IoT/UAV/social media); no LLM/agent decision loop described"
"doi:10.48550/arxiv.2606.10286","in","core","mining","","no","Sim2Schedule: simulator-guided LLM framework for autonomous open-pit mine scheduling addressing MILP limitations"
"doi:10.3997/2214-4609.202639113","in","core","geological_modelling","","no","fully automated geological modeling agent for static-model uncertainty assessment guided by geological expertise and predefined questions"
"doi:10.5194/epsc2026-883","out","","","periphery","no","masked-autoencoder transformer for lunar swirl analysis from planetary remote sensing; planetary periphery, not clearly agentic"
"doi:10.1111/modl.12930","out","","","not-geoscience","no","commentary on language education and AI/machine translation, no geoscience"
"doi:10.2118/0423-0008-jpt","out","","","not-agentic","no","JPT commentary on general ChatGPT adoption, no specific system"
"doi:10.48550/arxiv.2411.13239","out","","","not-geoscience","no","white paper on hybrid-cloud architecture for AI workloads, no geoscience"
"doi:10.1145/3720554.3736184","out","","","not-geoscience","no","auditing layer for Web Science data provenance, no geoscience"
"doi:10.2118/225325-ms","in","context","reservoir_engineering","","no","positioning discussion of multi-agent AI's transformative potential in petroleum engineering, no single implemented system detailed"
"doi:10.1021/acs.accounts.6c00187","out","","","not-geoscience","no","machine-learning-guided upconverting-nanoparticle design for bio/optical imaging, not solid-earth geoscience"
"doi:10.5281/zenodo.19354173","out","","","not-a-source","no","podcast episode on DeepSeek's AI release, not geoscience"
"doi:10.2118/230773-ms","in","context","reservoir_engineering","","no","high-level evaluation/overview of language-based AI applications across drilling, survey-like rather than one named system"
"doi:10.2118/229358-ms","out","","","not-geoscience","no","generative-AI-assisted signal generation for drilling-worker knee-joint deterioration monitoring; occupational health, not a geoscience task"
"doi:10.3997/1365-2397.fb2026014","in","context","reservoir_engineering","","no","semantic enrichment of unstructured OSDU subsurface data using a ReAct-flagged approach; thin on a specific evaluated agent"
"doi:10.82419/426","out","","","not-agentic","no","time-series language model for drilling sensor data; foundation-model paper, no described decision/tool-calling loop"
"doi:10.5281/zenodo.18819639","out","","","not-geoscience","no","release notes for a generic coding-agent/TUI tool (cogx), no geoscience content"
"doi:10.1515/icom-2025-0053","out","","","not-geoscience","no","HCI study of tool-invocation strategies in a German business-travel conversational agent, no geoscience"
"doi:10.20944/preprints202607.2303.v1","out","","","not-agentic","no","survey of AI methods and foundation models for mineral exploration; a review, not a system"
