"query_id","api","band","scope","domain_group","query","status","n_results","n_new_unique","elapsed_s","note"
"q014:openalex","openalex","B_llm","core","mining","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""mineral exploration"" OR ""mine planning"" OR ""ore body"" OR ""grade control"" OR ""mineral prospectivity"" OR ""mining engineering"")","ok","58","35","0.9",""
"q014:arxiv","arxiv","B_llm","core","mining","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""mineral exploration"" OR abs:""mine planning"" OR abs:""ore body"" OR abs:""grade control"" OR abs:""mineral prospectivity"" OR abs:""mining engineering"")","ok","9","2","0.4",""
"q015:openalex","openalex","A_agentic","core","engineering_geology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""engineering geology"" OR ""slope stability"" OR ""tunnel support"" OR ""landslide"" OR ""geotechnical"" OR ""site characterization"")","ok","227","147","2.5",""
"q015:arxiv","arxiv","A_agentic","core","engineering_geology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""engineering geology"" OR abs:""slope stability"" OR abs:""tunnel support"" OR abs:""landslide"" OR abs:""geotechnical"" OR abs:""site characterization"")","ok","6","0","0.5",""
"q016:openalex","openalex","B_llm","core","engineering_geology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""engineering geology"" OR ""slope stability"" OR ""tunnel support"" OR ""landslide"" OR ""geotechnical"" OR ""site characterization"")","ok","314","184","2.5",""
"q016:arxiv","arxiv","B_llm","core","engineering_geology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""engineering geology"" OR abs:""slope stability"" OR abs:""tunnel support"" OR abs:""landslide"" OR abs:""geotechnical"" OR abs:""site characterization"")","ok","28","1","0.6",""
"q017:openalex","openalex","A_agentic","core","inversion","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""geophysical inversion"" OR ""full waveform inversion"" OR ""seismic interpretation"" OR ""electrical resistivity tomography"" OR ""subsurface imaging"" OR ""well logging"")","ok","75","12","1.2",""
"q017:arxiv","arxiv","A_agentic","core","inversion","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""geophysical inversion"" OR abs:""full waveform inversion"" OR abs:""seismic interpretation"" OR abs:""electrical resistivity tomography"" OR abs:""subsurface imaging"" OR abs:""well logging"")","ok","4","0","0.6",""
"q018:openalex","openalex","B_llm","core","inversion","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""geophysical inversion"" OR ""full waveform inversion"" OR ""seismic interpretation"" OR ""electrical resistivity tomography"" OR ""subsurface imaging"" OR ""well logging"")","ok","120","4","1.2",""
"q018:arxiv","arxiv","B_llm","core","inversion","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""geophysical inversion"" OR abs:""full waveform inversion"" OR abs:""seismic interpretation"" OR abs:""electrical resistivity tomography"" OR abs:""subsurface imaging"" OR abs:""well logging"")","ok","15","0","0.7",""
"q019:openalex","openalex","A_agentic","core","geological_modelling","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""geological modelling"" OR ""geological modeling"" OR ""geological map"" OR ""stratigraphy"" OR ""basin model"" OR ""digital geology"" OR ""geoscience knowledge graph"")","ok","95","33","1.4",""
"q019:arxiv","arxiv","A_agentic","core","geological_modelling","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""geological modelling"" OR abs:""geological modeling"" OR abs:""geological map"" OR abs:""stratigraphy"" OR abs:""basin model"" OR abs:""digital geology"" OR abs:""geoscience knowledge graph"")","ok","2","0","0.7",""
"q020:openalex","openalex","B_llm","core","geological_modelling","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""geological modelling"" OR ""geological modeling"" OR ""geological map"" OR ""stratigraphy"" OR ""basin model"" OR ""digital geology"" OR ""geoscience knowledge graph"")","ok","89","30","1.1",""
"q020:arxiv","arxiv","B_llm","core","geological_modelling","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""geological modelling"" OR abs:""geological modeling"" OR abs:""geological map"" OR abs:""stratigraphy"" OR abs:""basin model"" OR abs:""digital geology"" OR abs:""geoscience knowledge graph"")","ok","10","1","0.7",""
"q021:openalex","openalex","A_agentic","periphery","earth_observation","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""remote sensing"" OR ""satellite imagery"" OR ""earth observation"" OR ""land cover"")","ok","905","675","9.2",""
"q021:arxiv","arxiv","A_agentic","periphery","earth_observation","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""remote sensing"" OR abs:""satellite imagery"" OR abs:""earth observation"" OR abs:""land cover"")","ok","93","9","4.0",""
"q022:openalex","openalex","B_llm","periphery","earth_observation","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""remote sensing"" OR ""satellite imagery"" OR ""earth observation"" OR ""land cover"")","ok","1000","781","10.4",""
"q022:arxiv","arxiv","B_llm","periphery","earth_observation","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""remote sensing"" OR abs:""satellite imagery"" OR abs:""earth observation"" OR abs:""land cover"")","ok","200","153","11.3",""
"q023:openalex","openalex","A_agentic","periphery","climate_atmosphere","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""climate model"" OR ""weather forecast"" OR atmospheric OR ""climate simulation"")","ok","1000","842","10.1",""
"q023:arxiv","arxiv","A_agentic","periphery","climate_atmosphere","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""climate model"" OR abs:""weather forecast"" OR abs:atmospheric OR abs:""climate simulation"")","ok","61","37","5.3",""
"q024:openalex","openalex","B_llm","periphery","climate_atmosphere","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""climate model"" OR ""weather forecast"" OR atmospheric OR ""climate simulation"")","ok","978","599","8.3",""
"q024:arxiv","arxiv","B_llm","periphery","climate_atmosphere","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""climate model"" OR abs:""weather forecast"" OR abs:atmospheric OR abs:""climate simulation"")","ok","187","38","5.0",""
"q025:openalex","openalex","A_agentic","periphery","ocean","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (oceanography OR ""ocean model"" OR ""marine science"")","ok","91","63","1.4",""
