"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.1016/j.geoai.2025.100036","in","context","engineering_geology","","","perspective paper on LLM agents in geotechnics; no implemented system"
"doi:10.48550/arxiv.2401.04732","out","","","not-geoscience","","sales-content Q&A; 'Seismic' is the name of a sales enablement platform"
"doi:10.5281/zenodo.20155016","out","","","not-geoscience","","cryptographic authority governance for agents"
"doi:10.1038/s44304-026-00262-z","in","core","seismology","","","LLM-agent interface to end-to-end probabilistic seismic hazard and risk chain over MCP"
"doi:10.2118/229240-ms","in","context","reservoir_engineering","","","ENERGYai agentic AI across O and G value streams; vendor overview"
"doi:10.2523/iptc-25122-ms","in","context","reservoir_engineering","","","EnergyAI agentic RAG and agent-to-agent framework for subsurface insight; same vendor platform as SPE 229240"
"doi:10.5281/zenodo.19361485","out","","","not-a-source","","podcast episode"
"doi:10.2118/0426-0008-jpt","in","context","reservoir_engineering","","","JPT case study; agentic framework for large-scale well modelling offshore"
"doi:10.1016/j.procir.2026.03.308","out","","","not-geoscience","","factory layout and dispatching"
"doi:10.5281/zenodo.21513535","out","","","not-geoscience","","agent guardrail module; CCS acronym collision"
"title:largelanguagemodelagentsindynamicmineplanningamodulardecisionsupportframework","in","context","mining","","","thesis; modular LLM-agent decision support for dynamic mine planning"
"doi:10.1109/access.2026.3714775","in","context","mining","","","review of LLM agents for dynamic mine planning; companion to the Arizona thesis"
"doi:10.1016/j.aei.2026.105065","in","core","engineering_geology","","","Slope-reliability multi-agent framework (Guo et al.); full text recovered from institutional access. Orchestrating Agent + 3 sub-agents with an explicit ReAct self-correction/auto-debugging loop over FE-solver code. M1: all evaluation cases (slope stability, strip-foundation) are synthetic author-constructed geometries; authors state 3D/real-world validation is future work. Promoted from context/abstract-only to core."
"doi:10.2139/ssrn.5340542","out","","","duplicate","","SSRN preprint of the Soils and Foundations landslide reconstruction paper"
"doi:10.1016/j.petsci.2026.05.031","in","core","reservoir_engineering","","","LogACF; full text recovered from institutional access. Plan-execute-diagnose-reexecute loop over a Python code-execution tool with a physical guardrail; M2 (SPWLA benchmark + one unnamed tight-sandstone field case). Promoted from context/abstract-only to core; subfield corrected from inversion to reservoir_engineering per the evaluation focus."
"doi:10.2118/225325-ms","in","context","reservoir_engineering","","","position paper on multi-agent AI teams in petroleum engineering"
"doi:10.1016/j.sandf.2026.101789","in","core","engineering_geology","","","Reconstruction of landslide events (Pang et al.); full text recovered from institutional access. Two semi-autonomous pipelines (RAG witness-report summarisation with a self-reflection revision pass; YOLO+multimodal-LLM geometry estimation with its own bounding-box self-critique); HITL gates approval, not the agents' own iteration. M3 on four named historical Hong Kong landslides (Kwun Lung Lau 1994, Po Shan Road 1972, Ching Cheung Road 1997, Tai Po Road 2016). Promoted from context/abstract-only to core."
"doi:10.48550/arxiv.2608.13889","in","core","seismology","","","consensus-gated multi-agent neural architecture search for seismic fault segmentation; LLM involvement to be confirmed on full text"
"doi:10.2118/229512-ms","in","context","reservoir_engineering","","","agentic RAG over real-time drilling data with visualisation"
"doi:10.2118/230772-ms","in","context","reservoir_engineering","","","self-improving generative AI agents parsing daily mud reports"
"doi:10.48550/arxiv.2511.03852","in","core","geothermal","","","GAIA agentic framework for geothermal field development and monitoring"
"doi:10.5281/zenodo.19313733","out","","","not-geoscience","","agent temporal drift measurement; CCS acronym collision"
"doi:10.3997/2214-4609.202539032","out","","geoscience_general","periphery","","GraphRAG plus agentic architecture for geoscience document mining; reassigned to geoscience_general, which SCHEMA lists as a periphery subfield: the system's output is generic research assistance rather than an artefact in one of the ten core subfields"
"doi:10.5281/zenodo.19241166","out","","","not-geoscience","","adversarial jailbreak survey"
"doi:10.5194/egusphere-egu26-15632","in","context","engineering_geology","","","EGU abstract; multimodal multi-agent landslide risk management"
"doi:10.2139/ssrn.5758817","out","","","no-abstract-untriageable","","SSRN record carries no abstract; title alone cannot establish whether the Q and A system decides anything"
"doi:10.2118/229586-ms","in","context","reservoir_engineering","","","position paper on agentic AI for subsurface data and workflows"
"doi:10.2118/221864-ms","in","context","reservoir_engineering","","","GeoCopilot multimodal lithology interpretation while drilling"
"doi:10.3997/2214-4609.202639010","in","context","seismology","","","agentic workflows linking seismic interpretation to a data management platform"
"doi:10.48550/arxiv.2609.01777","in","core","seismology","","","TREMORS agentic assistant for multi-datacenter seismic data acquisition; LangGraph"
"doi:10.63374/qitp-ijpeat_07_02_001","in","context","reservoir_engineering","","","systematic literature review and taxonomy of GenAI and agentic AI in oil and gas"
"doi:10.3997/2214-4609.202639044","in","context","reservoir_engineering","","","agentic architecture for well analytics, contrasted with earlier RAG applications"
"doi:10.2523/iptc-25230-ms","in","context","reservoir_engineering","","","multi-agentic framework for field development planning; simulation compliance, insight, well placement"
"doi:10.2118/229423-ms","in","context","reservoir_engineering","","","multi-agent geophysical workflow for reservoir characterisation"
"doi:10.5194/egusphere-egu26-9051","in","context","engineering_geology","","","EGU abstract; TunnelSentinel agentic framework for immersed tunnel settlement"
"doi:10.3997/2214-4609.2024101588","in","context","reservoir_engineering","","","Geologist Copilot; earlier EAGE paper on the same system as SPE 221864"
"doi:10.2118/229603-ms","in","context","reservoir_engineering","","","agentic LLM workflow extracting and classifying drilling risk events"
"doi:10.30953/thmt.v10.639","out","","","not-geoscience","","medical education podcast; 'seismic shift' metaphor"
"doi:10.48550/arxiv.2603.13625","out","","","not-geoscience","","crisis-informatics tweet dataset generation; not a geoscience task"
"doi:10.5281/zenodo.19454990","out","","","not-a-source","","podcast episode"
"doi:10.3997/2214-4609.202637165","in","context","reservoir_engineering","","","conversational and agentic construction of differentiable reservoir simulation models"
"doi:10.20944/preprints202604.1814.v1","in","context","reservoir_engineering","","","survey of LLMs and foundation models in petroleum engineering"
"arxiv:2604.21501","in","core","reservoir_engineering","","","GeoMind agentic workflow for lithology classification with reasoned tool invocation over well logs"
"doi:10.48550/arxiv.2605.00060","in","core","reservoir_engineering","","","TADI agentic orchestration over Volve wellsite data; DuckDB plus WITSML"
"doi:10.5281/zenodo.21542369","out","","","not-geoscience","","runtime verification protocol; CCS acronym collision"
"doi:10.5281/zenodo.22054447","out","","","not-geoscience","","agent verification MCP server; CCS acronym collision"
"doi:10.5281/zenodo.22057050","out","","","not-geoscience","","cryptographic agent behaviour protocol"
"doi:10.5281/zenodo.22062491","out","","","not-geoscience","","agent evidence MCP server; CCS acronym collision"
"doi:10.3390/geosciences16050176","in","core","engineering_geology","","","LLM multi-agent evaluator-optimizer automating PPV prediction pipeline for tunnel blasting"
"doi:10.3997/2214-4609.202639113","in","context","geological_modelling","","","geological modelling agent generating realisations for static model uncertainty assessment"
"doi:10.3390/su18021014","out","","","not-geoscience","","disaster response coordination platform; the geoscience is upstream of the system"
"doi:10.2118/0324-0034-jpt","out","","","not-agentic","","trade-press article on LLMs as a coding tool; no decision loop"
"doi:10.1109/acait63902.2024.11022201","in","context","seismology","","","LangChain-based earthquake emergency decision assistance system"
"doi:10.2118/224532-ms","in","context","reservoir_engineering","","","AI agents automating well planning and execution workflows"
"doi:10.4043/35607-ms","in","context","reservoir_engineering","","","LLM-based workflow generating well design risk profiles from offset well data"
"doi:10.1007/s43503-026-00088-8","in","core","engineering_geology","","","router-driven multi-agent foundation design; single-agent, designer-checker and router configurations compared"
"doi:10.2118/222053-ms","in","context","reservoir_engineering","","","multi-modal geoscience copilot spanning document analysis, consultation and workflow planning"
"doi:10.22564/19cisbgf2025.335","in","context","seismology","","","BRISA, AI agents for initial inspection of seismic datasets"
"doi:10.5281/zenodo.21768634","in","context","seismology","","","ESHM20-MCP; MCP server exposing European seismic hazard and risk models as 24 typed agent endpoints over OpenQuake"
"doi:10.5281/zenodo.19358458","out","","","not-a-source","","podcast episode"
"doi:10.2118/229682-ms","in","context","reservoir_engineering","","","position paper on agentic AI in upstream"
"title:integratingaiagentsintobimforarchitecturaldesignsupportatorsionaleccentricityassessmentcase","out","","","not-geoscience","","BIM architectural design compliance"
"doi:10.5281/zenodo.21478284","out","","earth_observation","periphery","","cross-domain environmental anomaly detection over satellite and weather streams"
"doi:10.48550/arxiv.2607.16249","out","","","duplicate","","arXiv preprint of the npj natural hazards agentic PSHA interface"
"doi:10.2118/233094-ms","in","context","reservoir_engineering","","","specialised AI agents for plug and abandonment analysis and regulatory compliance"
"doi:10.2118/0925-0003-jpt","in","context","reservoir_engineering","","","JPT survey of deployed generative AI applications in the oil field"
"doi:10.5281/zenodo.19316139","out","","","not-geoscience","","LLM agent reliability note"
"doi:10.17632/mwwbc7cgy8.1","out","","","not-a-source","","Mendeley dataset deposit accompanying a paper, not the source itself"
"doi:10.64631/taxq7736","out","","","not-geoscience","","screened in the pre-refix audit sample; now shortlisted after the triage fix"
"doi:10.1080/10095020.2025.2514813","out","","","not-agentic","","knowledge graph construction plus retrieval-augmented generation; retrieval is not in a decision loop"
"doi:10.1109/fllm67465.2025.11391215","out","","","not-geoscience","","prompt injection detection"
"doi:10.1190/tle44020142.1","in","core","seismology","","","Intelligent seismic workflows (Kanfar et al., Saudi Aramco/NVIDIA); full text recovered from institutional access. ReAct agent selects and executes Madagascar seismic-processing tools by embedding similarity, guardrailed via NeMo. M1: only qualitative chatbot-transcript demonstrations on unidentified confidential data (data source not stated), including two documented failure cases (multi-step task failure, guardrail bypass). Promoted from context/abstract-only to core."
"doi:10.2118/0326-0003-jpt","in","context","reservoir_engineering","","","JPT guest editorial arguing for the agentic oil field; position piece"
"doi:10.20517/aiagent.2026.11","out","","","not-geoscience","","molten catalyst design for methane pyrolysis"
"doi:10.5194/egusphere-egu24-16101","out","","","not-agentic","","LLM information extraction from geoscience literature; single-pass extraction"
"doi:10.3390/computers15050294","in","context","seismology","","","self-adaptive LLM framework re-deriving extraction rules as web sources change"
"doi:10.1016/s1876-3804(26)60734-3","in","core","reservoir_engineering","","","Full text recovered from institutional access. Hierarchical multi-agent system (chief engineer + domain-expert agents) with MCP tool communication and a verify/retry loop; HITL is an intervention gate, not a substitute for agent planning. M2 (real but unnamed 100-well dataset). Promoted from context/abstract-only to core; subfield corrected from inversion to reservoir_engineering per the evaluation focus."
"doi:10.3997/2214-4609.2025101389","in","context","reservoir_engineering","","","specialised autonomous agents assess wellbore stability from images and mechanical parameters"
"doi:10.2118/229435-ms","in","core","reservoir_engineering","","","InsightsAI; full text recovered from institutional access. Decompose/select-connector/chain-reasoning agent over WITSML + unstructured DDRs; M3 on the named Volve field. Promoted from context/abstract-only to core."
"doi:10.48550/arxiv.2604.14572","out","","","not-geoscience","","enterprise knowledge base retrieval architecture"
"doi:10.2118/229646-ms","in","context","reservoir_engineering","","","LLM-empowered automated reservoir agent for reservoir management"
"doi:10.48550/arxiv.2608.27092","out","","","not-geoscience","","indirect prompt injection in tool-using agents"
"doi:10.5281/zenodo.21731397","out","","","not-geoscience","","self-evolving agent with MCP tools; security domain"
"doi:10.48550/arxiv.2512.04611","out","","","not-geoscience","","directed fuzzing; CCS here is the ACM conference name"
"doi:10.1038/s41598-026-61824-9","in","core","geological_modelling","","","LLM borehole-report pipeline generating executable coordinates for 3D geological modelling; multi-model comparison"
"doi:10.3390/geosciences15100382","out","","","not-agentic","","domain LLM plus lightweight RAG for question answering; no decision loop"
"doi:10.1007/s10916-025-02284-y","out","","","not-geoscience","","clinical triage evaluation"
"doi:10.3390/electronics14020232","out","","","not-geoscience","","motor drive tuning; CCS here is cascade control structure"
"doi:10.1109/wf-pst65083.2025.00037","out","","","not-geoscience","","personalised crisis guidance generation; no geoscience task"
"doi:10.1145/3731599.3767402","in","core","seismology","","","EQSIM Agent (Tang & McCallen, LBNL); full text recovered from institutional access. Tool-calling agent with vision and RAG sub-agents, self-corrects malformed tool calls. M2: evaluated against the named, reusable Simulated Ground Motion Database (SGMD) -- functions as a benchmark, not a live field campaign. Promoted from context/abstract-only to core; architecture corrected from single-agent to multi-agent-hierarchical given the visible main-agent/vision-subagent/RAG-subagent structure."
"doi:10.2118/229346-ms","in","context","inversion","","","GenAI orchestration layer giving non-specialists natural-language access to petrophysical log tools"
"doi:10.18653/v1/2025.findings-emnlp.1386","in","core","mining","","","STA-CoT orchestrates planning, execution and verification agents for multi-image mineral exploration reasoning"
"doi:10.3389/feart.2025.1738096","out","","","not-agentic","","LLM-driven knowledge graph construction for a tungsten deposit; extraction pipeline"
"doi:10.3997/2214-4609.202639107","in","context","seismology","","","GenAI and agentic assistant for seismic processing and imaging guidance"
"doi:10.3997/2214-4609.202639016","in","context","seismology","","","three autonomous agents for noise attenuation diagnostics, remediation and quality control"
"doi:10.3997/1365-2397.fb2026015","in","context","seismology","","","First Break; agent-driven reconstruction of seismic metadata from legacy SEG-Y headers"
"doi:10.5281/zenodo.19360598","out","","","not-a-source","","podcast episode"
"doi:10.2118/232332-ms","in","context","geothermal","","","agentic geothermal reservoir simulation and optimisation with surrogate models for site screening"
"doi:10.2118/229444-ms","in","context","reservoir_engineering","","","dual-layer OSDU and Fabric data architecture supporting agentic AI; ENERGYai"
"doi:10.64862/ajeg.2025.2sp.95.232","in","context","engineering_geology","","","agentic pipeline selecting models under concept drift for seismic debris-flow detection"
"doi:10.5194/isprs-archives-l-4-w1-2026-159-2026","out","","","not-agentic","","GIS and ensemble machine learning for multi-hazard risk; no decision loop"
"doi:10.51219/urforum.2024.oluwatimilehin-odubola","out","","","not-geoscience","","general disaster response coordination"
"doi:10.5281/zenodo.19054913","out","","","not-geoscience","","agent memory architecture; 'terrain' is metaphorical"
"title:computationalcomparativeanalysisofglobalwaterlegislationannlpandllmbasedframeworkforcrossjurisdictionalpolicyassessment","out","","","not-geoscience","","water law and policy text analysis"
"doi:10.36227/techrxiv.175979241.11582889/v1","in","context","reservoir_engineering","","","explainability requirements for agentic AI in well test interpretation and reservoir workflows"
"doi:10.2118/234989-ms","in","context","reservoir_engineering","","","agentic AI answering ad-hoc cross-domain questions over asset management data"
"doi:10.2523/iptc-25245-ms","in","context","reservoir_engineering","","","discipline-specific agents as a subsurface technical advisory assistant"
"doi:10.1109/icftic68075.2025.11324812","in","context","reservoir_engineering","","","knowledge-system-driven evolving agent architecture for exploration and production"
"doi:10.2118/230751-ms","in","context","reservoir_engineering","","","hybrid physics and AI agents for real-time stuck pipe risk across sticking mechanisms"
"doi:10.5194/egusphere-egu26-10918","in","context","geological_modelling","","","EGU abstract; human-in-the-loop LLM workflow turning unstructured logs into 3D model inputs"
"doi:10.2118/0226-0003-jpt","out","","","not-agentic","","general industry editorial; agents mentioned in passing, no system"
"doi:10.5281/zenodo.22055351","out","","","not-geoscience","","agent evidence MCP server; CCS acronym collision"
"arxiv:2607.18557","in","core","ccs","","","AGENTS4GEOS agentic platform generating and managing multi-physics CO2 storage simulation datasets for surrogate training"
"doi:10.20944/preprints202510.1990.v1","out","","","not-geoscience","","curriculum design for rare earth elements education"
"doi:10.1109/caibda65784.2025.11182767","in","context","mining","","","LLM agent automating mineralization prediction via function calling over preprocessing, model selection, training and visualisation"
"doi:10.2139/ssrn.6515171","in","context","engineering_geology","","","MAS-LAND multi-agent post-event landslide detection and response"
"doi:10.48550/arxiv.2606.10286","in","core","mining","","","Sim2Schedule; simulator-guided LLM scheduling for open-pit mines, MILP baseline"
"doi:10.5281/zenodo.19078874","in","context","geological_modelling","","","GeoSAGE code and notebooks; multi-agent workflow for joint gravity-magnetic inversion and geological reasoning"
"doi:10.5281/zenodo.19958815","out","","","duplicate","","third GeoSAGE deposit of the same project as zenodo.19078874"
"doi:10.1016/j.autcon.2025.106257","in","core","engineering_geology","","","multi-GeoLLM (Xu et al.); full text recovered from institutional access (previously no abstract in any API). Self-review module of three LLM agents iterates on its own extraction with a bounded retry loop; HITL approves/rejects but re-extraction and redesign run autonomously. M1: all 60+100 test cases are textbook-derived, no named site; authors state real-world validation is future work. Promoted from context/abstract-only to core."
"doi:10.1016/j.watres.2026.125886","in","core","hydrogeology","","","Hydro-Agent; full text recovered from institutional access. Closed-loop LLM multi-agent (Hydro-Coder + Executor) writes/self-debugs MODFLOW/TOUGHREACT calibration code; M3 on the named Aquia Aquifer case. Promoted from context/abstract-only to core."
"doi:10.1061/9780784485989.006","out","","","not-agentic","","benchmark of chat LLMs as a geotechnical assistant; prompt in, text out"
"doi:10.20965/jdr.2025.p0386","out","","","not-agentic","","performance comparison of LLMs at spatial information integration"
"doi:10.2118/229506-ms","in","context","reservoir_engineering","","","multi-agent retrieval augmented generation for oil and gas question answering"
"doi:10.48550/arxiv.2607.24984","in","core","seismology","","","LLM-driven knowledge graph construction and querying over earthquake catalogs; agentic status to be confirmed on full text"
"doi:10.32604/cmes.2026.084591","out","","","not-geoscience","","earthquake engineering review; structural response rather than solid-earth geoscience"
"doi:10.5281/zenodo.21833139","out","","","not-geoscience","","theoretical note on agent perception"
"doi:10.5281/zenodo.19035711","out","","","not-a-source","","podcast episode; 'seismic shift' metaphor"
"doi:10.1016/j.gsf.2026.102445","in","context","seismology","","","geospatial GPT framework automating earthquake building vulnerability assessment in GIS"
"doi:10.26190/unsworks/32312","out","","","not-geoscience","","water and wastewater treatment plant digital twins"
"doi:10.2118/227420-ms","in","context","reservoir_engineering","","","LLM assistant over historical drilling documents for well planning"
"doi:10.2118/227906-ms","in","context","reservoir_engineering","","","LLMs wrapped around drilling hazard detection to produce context-informed recommended actions"
"arxiv:2602.10986","out","","","not-geoscience","","tool-value caching for agent post-training"
"doi:10.48550/arxiv.2608.21976","out","","","not-geoscience","","agentic framework for mechanical engineering design"
"doi:10.1145/3793302.3793560","out","","","not-geoscience","","industrial code annotation; CCS is the ACM concepts header"
"doi:10.3997/2214-4609.202620128","in","context","mining","","","AI agent framework over the GEOH5 data structure for mineral exploration"
"doi:10.12677/ces.2026.143190","out","","","not-geoscience","","English-for-specific-purposes teaching agent"
"doi:10.1016/j.oregeorev.2026.107477","out","","","not-agentic","","Chagai Belt geological-unit-harmonization paper; full text recovered from institutional access (previously OA-but-blocked, see unreachable.md). The LLM performs one restricted, single-shot legend-text classification call feeding a wholly deterministic GIS pipeline (partition/dissolve/clip/overlay); no tool-calling, planning or iteration by the model. Reclassified from in/context to out/not-agentic on full-text evidence; removed from papers.csv."
"doi:10.1016/j.cacaie.2026.100079","in","core","engineering_geology","","","SRAB MAS (Qian & Shi); full text recovered from institutional access. Supervisor-ReAct-blackboard architecture: subagents plan/select tools/iterate via think-act-observe, with self-correction on schema mismatches between chained tools. Evaluated on real contractor-supplied borehole data from a Singapore tunnelling project, but the project itself is never given a name (only geo-located + borehole/dataset IDs) -- rated M2, consistent with this run's 'named site required for M3' standard applied elsewhere (cf. the well-log papers on '100 field wells'). Promoted from context/abstract-only to core."
"doi:10.1016/j.autcon.2025.106421","out","","","duplicate","","corrigendum to Automation in Construction 106257"
"doi:10.1016/j.geoai.2026.100106","in","context","engineering_geology","","","report on six teams building agentic geotechnical workflows at the 2nd GeoTechathon"
"doi:10.1130/abs/2025am-11110","out","","","not-agentic","","ontology-guided knowledge graph construction; GSA abstract, extraction only"
"doi:10.2139/ssrn.5520018","out","","","not-agentic","","Full text recovered from institutional access. LLM performs one-shot zero-/few-shot borehole-entity extraction and location-phrase parsing; downstream coordinate geometry and octree spatial partitioning are fixed deterministic code the LLM never calls or iterates on. Reclassified from in/context to out/not-agentic on full-text evidence; removed from papers.csv."
"title:chatwithpointllmdrivenvisualquestionansweringforinsarbaseddisastermanagement","out","","earth_observation","periphery","","InSAR persistent-scatterer interpretation; remote sensing product"
"doi:10.1016/j.jgsce.2024.205469","in","context","reservoir_engineering","","","review of artificial general intelligence for the upstream geoenergy industry"
"doi:10.1109/access.2025.3586370","out","","","not-agentic","","three-level prompt engineering for earthquake knowledge extraction into a graph"
"doi:10.2118/221883-ms","in","context","reservoir_engineering","","","methodology for tuning generative AI and agents to drilling data"
"doi:10.22541/au.175407961.15590722/v1","out","","ocean","periphery","","speculative deep-sea AGI architecture"
"doi:10.2118/224571-ms","out","","","not-agentic","","in-house extraction code over frac documents; no decision loop"
"doi:10.3997/2214-4609.202410350","in","context","seismology","","","ReAct-framework seismic processing chatbot selecting operations and parameters through Python tool wrappers"
"doi:10.2118/228117-ms","in","context","reservoir_engineering","","","agentic research assistant for well planning, measured over two summers"
"doi:10.48550/arxiv.2603.21152","in","core","seismology","","","TRACE multi-agent system for autonomous physical reasoning over earthquake sequences"
"doi:10.19987/j.dzkxjz.2025-081","out","","","not-agentic","","Neo4j knowledge graph question answering for network operations"
"doi:10.21275/sr26705204512","out","","","not-geoscience","","programming education study"
"doi:10.5281/zenodo.20520987","out","","","not-agentic","","spectral analysis library; no language model in a decision loop"
"doi:10.5281/zenodo.21300269","out","","","not-geoscience","","technology law commentary"
"doi:10.21275/sr25217143039","out","","","not-geoscience","","pharmaceutical business white paper; 'seismic shift' metaphor"
"doi:10.22564/19cisbgf2025.463","in","context","seismology","","","distributed computing plus agentic framework for petabyte-scale subsurface data"
"doi:10.1016/j.hazadv.2026.101103","out","","","not-agentic","","semi-automated LLM scoring of PFAS dataset quality"
"doi:10.5281/zenodo.18346658","out","","","pre-llm-only","","agent-based socio-hydrological model; agents are simulated households"
"doi:10.2118/233425-ms","in","context","reservoir_engineering","","","OCR plus LLM assistant generating drilling, completion and surface network designs at scale"
"doi:10.29121/jissi.v2.i2.2026.35","out","","","not-geoscience","","veterinary and health data analytics education"
"doi:10.3997/2214-4609.202539053","out","","","not-agentic","","prompted LLM analysis of drilling text; no decision loop"
"doi:10.3389/fsci.2026.1863571","out","","","not-geoscience","","soil science perspective; pedology rather than solid-earth"
"doi:10.5281/zenodo.21864187","out","","","not-geoscience","","HTN planning artifact for HPC service orchestration"
"doi:10.48550/arxiv.2503.11517","out","","","not-geoscience","","prompt injection defence"
"doi:10.1109/geoinformatics67279.2025.11173529","out","","","not-agentic","","spatiotemporal knowledge graph construction for carbon flux"
"doi:10.22214/ijraset.2025.75808","out","","","not-geoscience","","last-mile multilingual advisory delivery; the geoscience is upstream of the system"
"doi:10.5194/egusphere-2026-1960-cec1","out","","","not-a-source","","editor comment on a preprint"
"doi:10.5194/egusphere-2026-1960-rc1","out","","","not-a-source","","referee comment on a preprint"
"doi:10.5194/egusphere-2026-1960-ac1","out","","","not-a-source","","author reply to a comment"
"doi:10.1109/access.2024.3480250","out","","","not-geoscience","","general visual anomaly detection"
"doi:10.1016/j.jag.2025.104527","out","","","not-agentic","","LLM-driven knowledge representation for geospatial digital twins; construction and query, no loop"
"doi:10.1109/cvpr52734.2025.01849","out","","","not-geoscience","","visual hallucination evaluation dataset"
"doi:10.3390/min16010050","out","","","not-agentic","","ontology-guided LLM text-to-knowledge-graph transformation"
"doi:10.3997/2214-4609.2025101096","in","context","seismology","","","agentic AI autonomously managing data ingestion and model retraining for subsurface prediction"
"doi:10.1190/tle44020078.1","out","","","not-a-source","","introduction to a special section"
"doi:10.3390/en18215632","out","","","not-geoscience","","techno-economic analysis of anaerobic digestion"
"doi:10.4491/eer.2026.089","out","","","not-geoscience","","air pollution AI review"
"doi:10.1016/j.autcon.2026.107055","in","core","engineering_geology","","","Full text recovered from institutional access (previously a truncated, search-cache-only abstract). Closed-loop MLLM agent (perception-reasoning-scheme generation-feedback calibration) with GraphRAG-driven Cypher retrieval; M3 on five named Yunnan tunnels. Promoted from context/abstract-only to core."
"doi:10.2523/iptc-25138-ms","in","context","reservoir_engineering","","","AI-driven drill bit forensics with agentic automation"
"doi:10.67704/oep.2025.250012","in","context","seismology","","","distributed acoustic sensing system exposed to AI agents for intelligent response"
"arxiv:2511.19865","out","","","not-geoscience","","6G embodied intelligence networks"
"title:whenagenticaimeetsdataprotectionlawafundamentalmismatch","out","","","not-geoscience","","data protection law; 'seismic shift' metaphor"
"doi:10.6084/m9.figshare.32156774.v1","out","","","not-geoscience","","generic disaster prediction and response in cloud-edge networks"
"doi:10.15662/ijarcst.2026.0903007","out","","","not-geoscience","","insurance analytics"
"doi:10.1145/3786167.3788422","out","","","not-geoscience","","agentic software engineering vision paper; 'seismic' metaphor"
"doi:10.5281/zenodo.18371320","out","","","not-a-source","","unstructured compilation document"
"doi:10.1016/j.pdisas.2026.100571","out","","","not-agentic","","controlled comparison of LLM disaster assessments; prompt in, text out"
"arxiv:2605.00829","out","","","not-geoscience","","social media situational signal uncertainty"
"arxiv:2602.21212","out","","","not-agentic","","disaster question answering with LoRA fine-tuning"
"doi:10.1111/gwat.70067","out","","","not-agentic","","NLP extraction from groundwater documents"
"doi:10.13140/rg.2.2.28926.65602","out","","","pre-llm-only","","Full text recovered from institutional access. System is pure multi-agent reinforcement learning (PPO + DQN) over the Volve production dataset; the paper's own future-work section states GPT/LLM integration has not yet happened. No LLM or foundation model decides anything in the system as built. Reclassified from in/context to out/pre-llm-only on full-text evidence; removed from papers.csv."
"doi:10.2118/229716-ms","out","","","not-agentic","","Full text recovered from institutional access. The drill-bit-selection system is MLP/Random Forest classification branded as an 'AI agent'; the paper's only LLM use is a separate, non-agentic document-extraction/chatbot module. Reclassified from in/context to out/not-agentic on full-text evidence; removed from papers.csv."
"doi:10.3997/2214-4609.202535055","out","","","pre-llm-only","","CausX causal AI agent; no language model component stated"
"doi:10.5281/zenodo.21783722","out","","","not-geoscience","","agent runtime verification framework; CCS acronym collision"
"doi:10.5281/zenodo.21513650","out","","","not-geoscience","","tamper-evident agent authorisation audit trails"
