"query_id","api","band","scope","domain_group","query","status","n_available","n_results","n_new_unique","elapsed_s","note"
"q006:openalex","openalex","B_llm","core","hydrogeology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (hydrogeology OR groundwater OR aquifer OR ""vadose zone"" OR ""contaminant transport"")","ok","103","103","69","1.1",""
"q006:arxiv","arxiv","B_llm","core","hydrogeology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:hydrogeology OR abs:groundwater OR abs:aquifer OR abs:""vadose zone"" OR abs:""contaminant transport"")","ok","1","1","1","0.2",""
"q007:openalex","openalex","A_agentic","core","reservoir_engineering","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""reservoir engineering"" OR ""reservoir simulation"" OR ""well log"" OR ""petroleum engineering"" OR drilling OR ""production optimization"" OR ""history matching"")","ok","784","784","625","6.7",""
"q007:arxiv","arxiv","A_agentic","core","reservoir_engineering","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""reservoir engineering"" OR abs:""reservoir simulation"" OR abs:""well log"" OR abs:""petroleum engineering"" OR abs:drilling OR abs:""production optimization"" OR abs:""history matching"")","ok","25","23","5","0.3",""
"q008:openalex","openalex","B_llm","core","reservoir_engineering","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""reservoir engineering"" OR ""reservoir simulation"" OR ""well log"" OR ""petroleum engineering"" OR drilling OR ""production optimization"" OR ""history matching"")","ok","500","501","260","4.6",""
"q008:arxiv","arxiv","B_llm","core","reservoir_engineering","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""reservoir engineering"" OR abs:""reservoir simulation"" OR abs:""well log"" OR abs:""petroleum engineering"" OR abs:drilling OR abs:""production optimization"" OR abs:""history matching"")","ok","38","38","3","0.3",""
"q009:openalex","openalex","A_agentic","core","geothermal","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (geothermal OR ""enhanced geothermal"" OR ""heat flow"" OR ""geothermal reservoir"")","ok","184","184","130","1.4",""
"q009:arxiv","arxiv","A_agentic","core","geothermal","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:geothermal OR abs:""enhanced geothermal"" OR abs:""heat flow"" OR abs:""geothermal reservoir"")","ok","4","3","0","0.2",""
"q010:openalex","openalex","B_llm","core","geothermal","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (geothermal OR ""enhanced geothermal"" OR ""heat flow"" OR ""geothermal reservoir"")","ok","63","63","33","1.0",""
"q010:arxiv","arxiv","B_llm","core","geothermal","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:geothermal OR abs:""enhanced geothermal"" OR abs:""heat flow"" OR abs:""geothermal reservoir"")","ok","8","8","0","0.2",""
"q011:openalex","openalex","A_agentic","core","ccs","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""carbon capture"" OR ""CO2 storage"" OR ""carbon sequestration"" OR ""geological storage"" OR ""CCS"")","ok","798","799","618","9.4",""
"q011:arxiv","arxiv","A_agentic","core","ccs","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""carbon capture"" OR abs:""CO2 storage"" OR abs:""carbon sequestration"" OR abs:""geological storage"" OR abs:""CCS"")","ok","63","50","41","0.2",""
"q012:openalex","openalex","B_llm","core","ccs","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""carbon capture"" OR ""CO2 storage"" OR ""carbon sequestration"" OR ""geological storage"" OR ""CCS"")","ok","370","371","224","5.0",""
"q012:arxiv","arxiv","B_llm","core","ccs","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""carbon capture"" OR abs:""CO2 storage"" OR abs:""carbon sequestration"" OR abs:""geological storage"" OR abs:""CCS"")","ok","230","227","159","6.9",""
"q013:openalex","openalex","A_agentic","core","mining","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""mineral exploration"" OR ""mine planning"" OR ""ore body"" OR ""grade control"" OR ""mineral prospectivity"" OR ""mining engineering"")","ok","47","47","35","1.0",""
"q013:arxiv","arxiv","A_agentic","core","mining","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""mineral exploration"" OR abs:""mine planning"" OR abs:""ore body"" OR abs:""grade control"" OR abs:""mineral prospectivity"" OR abs:""mining engineering"")","ok","2","1","1","0.2",""
"q014:openalex","openalex","B_llm","core","mining","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""mineral exploration"" OR ""mine planning"" OR ""ore body"" OR ""grade control"" OR ""mineral prospectivity"" OR ""mining engineering"")","ok","58","58","35","1.0",""
"q014:arxiv","arxiv","B_llm","core","mining","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""mineral exploration"" OR abs:""mine planning"" OR abs:""ore body"" OR abs:""grade control"" OR abs:""mineral prospectivity"" OR abs:""mining engineering"")","ok","9","9","2","0.2",""
"q015:openalex","openalex","A_agentic","core","engineering_geology","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""engineering geology"" OR ""slope stability"" OR ""tunnel support"" OR ""landslide"" OR ""geotechnical"" OR ""site characterization"")","ok","227","227","147","2.6",""
"q015:arxiv","arxiv","A_agentic","core","engineering_geology","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""engineering geology"" OR abs:""slope stability"" OR abs:""tunnel support"" OR abs:""landslide"" OR abs:""geotechnical"" OR abs:""site characterization"")","ok","6","6","0","0.2",""
"q016:openalex","openalex","B_llm","core","engineering_geology","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""engineering geology"" OR ""slope stability"" OR ""tunnel support"" OR ""landslide"" OR ""geotechnical"" OR ""site characterization"")","ok","314","314","184","3.5",""
"q016:arxiv","arxiv","B_llm","core","engineering_geology","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""engineering geology"" OR abs:""slope stability"" OR abs:""tunnel support"" OR abs:""landslide"" OR abs:""geotechnical"" OR abs:""site characterization"")","ok","28","28","1","0.3",""
"q017:openalex","openalex","A_agentic","core","inversion","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""geophysical inversion"" OR ""full waveform inversion"" OR ""seismic interpretation"" OR ""electrical resistivity tomography"" OR ""subsurface imaging"" OR ""well logging"")","ok","75","75","12","1.1",""
"q017:arxiv","arxiv","A_agentic","core","inversion","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""geophysical inversion"" OR abs:""full waveform inversion"" OR abs:""seismic interpretation"" OR abs:""electrical resistivity tomography"" OR abs:""subsurface imaging"" OR abs:""well logging"")","ok","5","4","0","0.2",""
"q018:openalex","openalex","B_llm","core","inversion","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""geophysical inversion"" OR ""full waveform inversion"" OR ""seismic interpretation"" OR ""electrical resistivity tomography"" OR ""subsurface imaging"" OR ""well logging"")","ok","120","120","4","1.2",""
"q018:arxiv","arxiv","B_llm","core","inversion","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""geophysical inversion"" OR abs:""full waveform inversion"" OR abs:""seismic interpretation"" OR abs:""electrical resistivity tomography"" OR abs:""subsurface imaging"" OR abs:""well logging"")","ok","15","15","0","0.3",""
"q019:openalex","openalex","A_agentic","core","geological_modelling","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""geological modelling"" OR ""geological modeling"" OR ""geological map"" OR ""stratigraphy"" OR ""basin model"" OR ""digital geology"" OR ""geoscience knowledge graph"")","ok","95","95","33","1.1",""
"q019:arxiv","arxiv","A_agentic","core","geological_modelling","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""geological modelling"" OR abs:""geological modeling"" OR abs:""geological map"" OR abs:""stratigraphy"" OR abs:""basin model"" OR abs:""digital geology"" OR abs:""geoscience knowledge graph"")","ok","3","2","0","0.3",""
"q020:openalex","openalex","B_llm","core","geological_modelling","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""geological modelling"" OR ""geological modeling"" OR ""geological map"" OR ""stratigraphy"" OR ""basin model"" OR ""digital geology"" OR ""geoscience knowledge graph"")","ok","89","89","30","0.9",""
"q020:arxiv","arxiv","B_llm","core","geological_modelling","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""geological modelling"" OR abs:""geological modeling"" OR abs:""geological map"" OR abs:""stratigraphy"" OR abs:""basin model"" OR abs:""digital geology"" OR abs:""geoscience knowledge graph"")","ok","10","10","1","0.2",""
"q021:openalex","openalex","A_agentic","periphery","earth_observation","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""remote sensing"" OR ""satellite imagery"" OR ""earth observation"" OR ""land cover"")","ok","902","903","675","8.6",""
"q021:arxiv","arxiv","A_agentic","periphery","earth_observation","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""remote sensing"" OR abs:""satellite imagery"" OR abs:""earth observation"" OR abs:""land cover"")","ok","105","93","9","0.3",""
"q022:openalex","openalex","B_llm","periphery","earth_observation","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""remote sensing"" OR ""satellite imagery"" OR ""earth observation"" OR ""land cover"")","ok","3515","3519","2365","30.3",""
"q022:arxiv","arxiv","B_llm","periphery","earth_observation","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""remote sensing"" OR abs:""satellite imagery"" OR abs:""earth observation"" OR abs:""land cover"")","ok","884","879","44","26.7",""
"q023:openalex","openalex","A_agentic","periphery","climate_atmosphere","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (""climate model"" OR ""weather forecast"" OR atmospheric OR ""climate simulation"")","ok","2144","2145","1587","20.3",""
"q023:arxiv","arxiv","A_agentic","periphery","climate_atmosphere","(abs:""agentic AI"" OR abs:""agentic workflow"" OR abs:""AI agent"" OR abs:""LLM agent"" OR abs:""language model agent"" OR abs:""autonomous agent"" OR abs:""multi-agent system"" OR abs:""multi-agent LLM"" OR abs:""tool use"" OR abs:""function calling"" OR abs:""ReAct"" OR abs:""chain of thought"" OR abs:""AI scientist"" OR abs:""autonomous experimentation"" OR abs:""self-driving laboratory"" OR abs:""copilot"" OR abs:""AI assistant"" OR abs:""retrieval-augmented generation"" OR abs:""agent orchestration"" OR abs:""planning agent"" OR abs:""human-in-the-loop"") AND (abs:""climate model"" OR abs:""weather forecast"" OR abs:atmospheric OR abs:""climate simulation"")","ok","130","61","23","0.7",""
"q024:openalex","openalex","B_llm","periphery","climate_atmosphere","(""large language model"" OR ""foundation model"" OR ""GPT-4"" OR ""ChatGPT"" OR ""LLM"" OR ""generative AI"" OR ""prompt engineering"" OR ""vision language model"") AND (""climate model"" OR ""weather forecast"" OR atmospheric OR ""climate simulation"")","ok","977","979","518","8.6",""
"q024:arxiv","arxiv","B_llm","periphery","climate_atmosphere","(abs:""large language model"" OR abs:""foundation model"" OR abs:""GPT-4"" OR abs:""ChatGPT"" OR abs:""LLM"" OR abs:""generative AI"" OR abs:""prompt engineering"" OR abs:""vision language model"") AND (abs:""climate model"" OR abs:""weather forecast"" OR abs:atmospheric OR abs:""climate simulation"")","ok","188","187","36","4.6",""
"q025:openalex","openalex","A_agentic","periphery","ocean","(""agentic AI"" OR ""agentic workflow"" OR ""AI agent"" OR ""LLM agent"" OR ""language model agent"" OR ""autonomous agent"" OR ""multi-agent system"" OR ""multi-agent LLM"" OR ""tool use"" OR ""function calling"" OR ""ReAct"" OR ""chain of thought"" OR ""AI scientist"" OR ""autonomous experimentation"" OR ""self-driving laboratory"" OR ""copilot"" OR ""AI assistant"" OR ""retrieval-augmented generation"" OR ""agent orchestration"" OR ""planning agent"" OR ""human-in-the-loop"") AND (oceanography OR ""ocean model"" OR ""marine science"")","ok","91","91","59","1.5",""
