"identity_key","system_id","tango_touchpoints","what_it_drives","interface","autonomy","failure_handling","access_status"
"arxiv:2609.03598","RASER","hpc-scale-out","Slurm job arrays on a production HPC cluster","cli","not stated","the authors describe user-space checkpointing through application-level state serialization combined with Slurm requeue, and work stealing via shared filesystem queues","abstract-only"
"doi:10.1145/3731599.3767584","Jadhav2025-llm-hpc-scheduler","hpc-scale-out;optimisation-loop","an HPC job scheduler queue","api","not stated","not stated","abstract-only"
"doi:10.1016/j.coche.2025.101150","Boskabadi2025-industrial-agentic-opinion","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2601.01321","Zhou2026-digital-twin-ai-survey","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.3390/electronics15091869","VicenteMartinez2026-conversational-dt","config-generation","ARIMA, SARIMA, Random Forest and XGBoost occupancy forecasting models","api","executes-with-approval","not stated","abstract-only"
"title:aplatformforprescriptivedigitaltwinsinaec","Ravandi2026-prescriptive-dt-aec","none","a knowledge graph of facility data, no simulation engine named","not stated","not stated","not stated","abstract-only"
"doi:10.26434/chemrxiv.15005632/v1","Kalinin2026-dual-digital-twins","surrogate-modelling","physics-informed surrogate models of a sample and an instrument","not stated","not stated","not stated","abstract-only"
"title:intelligentdigitaltwinsystemforurbanmobility","Shikalgar2026-urban-mobility-dt","hpc-scale-out;provenance-reproducibility","urban transportation network simulation models, unnamed","not stated","not stated","not stated","abstract-only"
"doi:10.1145/3785462.3815852","Iris AI","hpc-scale-out","AlphaFold3 runs on the MSKCC on-premises HPC cluster","cli","not stated","not stated","abstract-only"
"doi:10.3390/a19030218","Nozari2026-food-logistics-agentic-dt","optimisation-loop","a fuzzy multi-objective logistics optimisation model","not stated","executes-and-iterates","not stated","abstract-only"
"doi:10.1109/icept67137.2025.11157286","Pan2025-llm-mesh-refinement","solver-control","finite element mesh refinement, mesher unnamed in the abstract","not stated","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2601.03513","Deploy-Master","tool-exposure;provenance-reproducibility","open-source scientific software repositories turned into containerised runnable capabilities","code-execution","not stated","not stated","abstract-only"
"doi:10.3390/smartcities8010028","I-UDT","config-generation","urban building energy models within an urban digital twin","not stated","not stated","not stated","abstract-only"
"doi:10.1080/00207543.2026.2630277","A-SCDT","optimisation-loop","supply chain optimisation and simulation models","not stated","not stated","not stated","abstract-only"
"doi:10.1109/etfa65518.2025.11205636","Xia2025-llm-dt-automation-architecture","none","a digital twin layer over a technical process and automation system","api","not stated","not stated","abstract-only"
"doi:10.1109/mcomstd.2026.3669229","Goyal2026-agentic-dt-survey","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.1063/5.0330986","Wang2026-street-canyon-llm-workflow","config-generation;hpc-scale-out","CFD simulations of urban street canyons, solver unnamed in the abstract","not stated","not stated","not stated","abstract-only"
"doi:10.17605/osf.io/w4sc9","Ramadan2026-agentic-dt-health-review","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.20054226","Ban2026-smartfarm-nutrient-agents","none","ODE network models of nutrient solutions coupled to plant uptake dynamics","not stated","not stated","not stated","abstract-only"
"arxiv:2608.03600","Wan2026-pde-llm-review","none","not stated","not stated","not stated","not stated","abstract-only"
"arxiv:2509.08269","Zhang2025-llm-evolutionary-survey","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.26153/tsw/62180","X2Sim","config-generation;hpc-scale-out","landslide, flood and storm surge simulations of real-world 3D objects on TACC HPC","not stated","not stated","not stated","abstract-only"
"doi:10.3390/electronics14244806","Laukaitis2025-dual-robot-twin","verification-regression","the Webots and MuJoCo robot simulators","not stated","not stated","not stated","abstract-only"
"doi:10.2118/230773-ms","Chatar2026-drilling-language-ai","none","not stated","not stated","not stated","not stated","abstract-only"
"arxiv:2506.11057","STRCMP","optimisation-loop","combinatorial optimisation solvers through synthesised solver-specific code","code-execution","not stated","not stated","abstract-only"
"doi:10.5281/zenodo.21938270","Open Modeling Foundation Agent Skills","provenance-reproducibility;uncertainty-quantification","computational models the agent builds under skill guidance, engine unnamed","not stated","not stated","not stated","abstract-only"
"doi:10.1109/ticps.2026.3665499","DTAI","verification-regression","a symbiotic simulation of a production process","not stated","not stated","not stated","abstract-only"
"doi:10.3997/2214-4609.2024637030","Li2024-lifecycle-subsurface-uq","uncertainty-quantification","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2607.10081","Sochat2026-descriptive-execution","hpc-scale-out;config-generation","HPC job specifications and a scaling study on an AWS cluster","cli","not stated","not stated","abstract-only"
"doi:10.3389/frai.2025.1655470","AI-DT","none","3D virtual testing environments generated from multiview video","not stated","not stated","not stated","abstract-only"
"doi:10.1109/e-cargo65996.2025.11139170","DT Agent","none","not stated","not stated","not stated","not stated","abstract-only"
"doi:10.1007/s10270-025-01306-0","Liu2025-ai-simulation-survey","none","digital twins used as virtual training environments for AI agents","not stated","not stated","not stated","abstract-only"
"doi:10.48550/arxiv.2505.10852","MatTools","tool-exposure","the pymatgen materials science package","code-execution","not stated","not stated","abstract-only"
"title:openfoammcpopenfoammcpserverforreadingandmodifyingopenfoamconfigurationfiles","openfoam-mcp","config-generation;tool-exposure","OpenFOAM case directories and dictionary files, including buoyantSimpleFoam and buoyantBoussinesqSimpleFoam setups","mcp","suggests","not stated","abstract-only"
"title:runspecspectreaiagenticgenerationanditerationofopmflowreservoirsimulationdecks","RUNSPEC","config-generation;uncertainty-quantification","OPM Flow reservoir simulation decks","gui","executes-with-approval","not stated","abstract-only"
"title:synopsyslaunchesansys2026r1meshagentdiscoveryvalidationagentandengineeringcopilot","Ansys agents","solver-control;config-generation","Ansys Mechanical meshing and Ansys Discovery simulation setup","gui","suggests","the Mesh Agent is described as helping engineers debug and resolve meshing failures during model pre-processing","abstract-only"
"doi:10.1016/j.enbuild.2024.114788","Zhang2024-energyplus-llm-exploration","config-generation;results-interpretation","EnergyPlus building energy models","file-io","not stated","not stated","abstract-only"
"doi:10.1145/3731599.3767349","SimAgent","hpc-scale-out;tool-exposure","OpenMM molecular dynamics simulations with GROMACS pdb2gmx topology preparation under a Charmm36m force field, dispatched through Parsl to local V100 GPUs and to Polaris/ALCF A100 nodes via the PBS queue","api","executes-and-iterates","not stated for the driven code - no recovery mechanism is described for a failed or non-convergent simulation. The version of record does report three agent-level failures it does not handle. Hallucination: with only five search results returned, ""it fetched PDB IDs of 148L, 1B7E, 1LYZ, 2LYZ, 3WEL, 5R2Z, 7BVM, and 7F26 ... These PDB IDs were hallucinated by the LLM agent, as only 5 search results were generated from the researcher"", and ""Based only on the model context, it failed to provide correct information for the following simulation runs."" A scaling limit: ""the number of tool calls that LLM agent made were capped around 24, with 100 simulations specified in the input prompt during the experiment"", worked around by moving parallelism inside a single ensemble tool rather than by recovery. And scheduler behaviour: ""The tasks waited in the queue for ~265 minutes, until 25 nodes were available"", with ""~177 seconds difference in execution time"" of load imbalance between workers","full-text"
"doi:10.48550/arxiv.2604.07681","Pham2026-multi-agent-mof-screening","config-generation;solver-control;hpc-scale-out;tool-exposure;results-interpretation","gRASPA grand-canonical Monte Carlo simulations of CoRE MOF 2025 structures, dispatched through Parsl on the Aurora supercomputer and exposed via a Chemistry MCP server","mcp","executes-and-iterates","failed runs were restarted from the initial query; the authors attribute 4 of 25 failures to invalid generated arguments, which led to workflow termination","full-text"
"doi:10.48550/arxiv.2512.07917","CFD-copilot","config-generation;solver-control;tool-exposure;results-interpretation","OpenFOAM-v2406 case directories - solver dictionaries and control files generated, the solver executed, and post-processing utilities run","mcp","executes-and-iterates","the corrector agent analyses error logs and iteratively prompts for adjustments until successful completion; the authors report the average number of correction iterations increases as flow complexity rises, and unrecovered cases count against the success rate","full-text"
"doi:10.48550/arxiv.2606.07850","PDE-Agents","config-generation;solver-control;verification-regression;provenance-reproducibility;results-interpretation;tool-exposure","DOLFINx 0.10.0 finite-element solves with Gmsh mesh generation and PETSc linear algebra, driven through a HeatConfig JSON configuration posted to a FastAPI endpoint","api","executes-and-iterates","the residual 2.2% of runs fail on invalid boundary condition combinations, mesh resolution requests exceeding GPU memory, and numerical divergence on stiff transients; a debug_simulation tool and a 25-step ReAct budget bound the retry loop","full-text"
"doi:10.11578/dc.20260516.1","matsim-agents","none","VASP 6.6 and Quantum ESPRESSO pw.x DFT calculations and HydraGNN, UMA, MACE and NequIP interatomic potentials driven through ASE relaxations, with jobs submitted via SLURM on Frontier and Perlmutter and PBS on Aurora","cli","not stated","not stated","full-text"
"doi:10.1016/j.dche.2026.100312","APS-Agent","topology-construction;optimisation-loop;results-interpretation;tool-exposure","AVEVA Process Simulation 2025 flowsheets through a Python MCP server - the C1 Water Methanol Separation distillation model in case studies 1 and 2, and an ammonia synthesis flowsheet with branched topology and a recycle loop in the stability case study","mcp","executes-with-approval","the convergence-sensitive step is deliberately withheld from the agent: ""At this stage, a critical manual intervention is required because the user must shift the distillation column setup from 'Configure' mode to 'Solve' mode to obtain rigorous simulation results. This step is intentionally delegated to the human user rather than the LLM agent because it frequently triggers convergence issues that experienced process engineers can quickly diagnose and resolve."" The authors add that ""both inexperienced users and LLM agents often struggle to obtain a converged simulation flowsheet when switching on rigorous simulations in the distillation column model"", and that the design ""avoids forcing the agent to handle challenges that may exceed its current capabilities"". Advanced convergence troubleshooting is named as future functionality, not present","full-text"
"doi:10.48550/arxiv.2605.20819","DynaMate2","tool-exposure;config-generation;solver-control;results-interpretation","an ASE Langevin-thermostat NVT molecular dynamics run using the MACE-POLAR-1-M interatomic potential, preceded by RDKit SMILES-to-XYZ conversion and a Packmol periodic box build","code-execution","executes-and-iterates","the authors describe only agent-level failure, not driven-code failure: the common failure mode in which a specialist transfers control back to the supervisor without performing any work, mitigated by a fixed execution rule and a recursion limit of 25 hops. What happens when the molecular dynamics run itself fails is not stated","full-text"
"doi:10.1145/3815572.3815744","KBase Research Agent","config-generation;tool-exposure;results-interpretation;provenance-reproducibility","KBase applications executed as jobs in the KBase Narrative platform - FastQC read QC, SPAdes assembly, Prokka and RAST annotation and GTDB-Tk taxonomic classification","api","executes-and-iterates","a self-correction loop in which the Validation and Handle Error nodes iteratively refine parameters to resolve runtime failures without human intervention; if human-in-the-loop approval is enabled the agent pauses and waits for confirmation or revision","full-text"
"doi:10.1016/j.cma.2026.118985","ALL-FEM","config-generation;solver-control;verification-regression","legacy FEniCS finite element Python scripts, generated and then executed by the Executor agent","code-execution","executes-and-iterates","the Executor returns run-time output and errors to the Coder agent; the loop continues until the code executes without errors or the LLM reaches its token limit, so it is bounded by the token budget rather than by a convergence check","full-text"
"doi:10.5281/zenodo.19597589","aihydro-tools","tool-exposure;provenance-reproducibility","HBV-light differentiable calibration and NeuralHydrology zoo rainfall-runoff models, plus watershed delineation and terrain-analysis routines over retrieved streamflow, climate, land-cover and soil datasets","mcp","not stated","validators never raise; failures appear in quality_flags without crashing the tool, and nothing is said about what the calling agent then does","full-text"
"doi:10.25394/pgs.32118403","PUR-1 GPT","surrogate-modelling;uncertainty-quantification;results-interpretation;tool-exposure","Gaussian-process and HOSVD/conditional-autoencoder surrogates of a PUR-1 OpenMC Monte Carlo neutronics model, itself coupled to COMSOL thermal-hydraulics and a point-kinetics module, invoked on live PUR-1 control-rod positions","api","executes-and-iterates","not stated","full-text"
"doi:10.48550/arxiv.2603.12813","Schafer2026-chemasim-process-agent","config-generation;topology-construction;solver-control;results-interpretation","Chemasim, BASF in-house rigorous process flowsheet simulator - the agent writes and edits Chemasim input files and triggers the simulation engine through an editor extension","file-io","executes-and-iterates","the agent recognises error messages, which for syntax errors often include precise information on the location of the error, and directly corrects the syntax error and runs the simulation again; nothing is said about convergence failure of the flowsheet solve itself","full-text"
"doi:10.48550/arxiv.2608.14573","WARA","config-generation;solver-control;optimisation-loop;verification-regression","Python/CVXPY convex-optimisation programs solved by a designated convex or conic solver, executed inside a fixed validation harness","code-execution","executes-and-iterates","on validation failure the code, execution logs, validation report and frozen contracts are returned to the experiment agent for bounded repair, with the budget explicitly capped at two contract-repair rounds, three experiment-code repair rounds and three final review-repair rounds; solver non-convergence specifically is not addressed","full-text"
"doi:10.48550/arxiv.2509.18178","Foam-Agent","config-generation;topology-construction;solver-control;hpc-scale-out;results-interpretation","OpenFOAM case directories (0/, constant/, system/ dictionaries and Allrun scripts), Gmsh mesh generation scripts, ParaView/PyVista scripts and Slurm submission scripts on Perlmutter","file-io","executes-and-iterates","the Reviewer Agent performs error contextualisation, reviews the trajectory of previous attempts and generates structured modifications to the problematic files, repeated until the errors are resolved or a user-specified maximum number of attempts is reached","full-text"
"arxiv:2602.11666","PhyNiKCE","config-generation;solver-control","OpenFOAM case dictionaries (0/, constant/, system/fvSchemes, system/fvSolution) for simpleFoam, rhoCentralFoam and sonicFoam runs on NACA 0012 airfoil and de Laval nozzle grids","file-io","executes-and-iterates","on failure the agent triggers an autonomous error-reflection loop iterating up to 30 times, parsing the execution log and configuration files to pinpoint the error location and root cause; 7% of cases were terminated after failing to resolve errors within the 30-round limit and a further 32% halted on divergence or unphysical results","full-text"
"doi:10.48550/arxiv.2511.03852","GAIA","optimisation-loop;results-interpretation","an OpenEvolve evolutionary program-search loop over a reduced-order fracture-network forward model, and ObsPy-based seismic subroutines - STA/LTA and an ML phase picker, the Geiger location method, Richter magnitude and an ETAS forecasting model","api","executes-and-iterates","not stated","full-text"
"doi:10.48550/arxiv.2608.29665","Bhandari2026-local-agentic-dft-audit","config-generation;solver-control;verification-regression;provenance-reproducibility;results-interpretation","SIESTA 5.4.2 input files - mesh cutoff, basis size, k-grid, force and energy thresholds, vacuum spacing - and variable-cell relaxation runs for pentagonal 2D monolayers","file-io","executes-and-iterates","non-converged calculations trigger an automated Diagnostician agent that parses error logs and extracts supporting failure lines; the relaxation loop is capped at six iterations and a four-hour wall-clock budget per target, and malformed agent proposals are programmatically overridden with physically consistent fallback parameters and logged","full-text"
"doi:10.2139/ssrn.4921381","MetaOpenFOAM","config-generation;solver-control","OpenFOAM 10 case input files (0/, constant/, system/ dictionaries) and the Allrun execution script for eight tutorial-derived cases","file-io","executes-and-iterates","on error the Runner passes the failing command and error context to the Reviewer, which examines the file architecture and returns revised instructions to the InputWriter; the loop repeats until no errors occur or a user-defined maximum iteration or token budget is reached. Non-convergence is scored rather than repaired - executability 2 means the case is runnable but does not converge","full-text"
"doi:10.48550/arxiv.2603.26005","AutoB2G","config-generation;topology-construction;solver-control;optimisation-loop;results-interpretation;verification-regression","a CityLearn V2 building-control environment coupled step by step to Pandapower and OpenDSS power-flow models of low-voltage feeder networks, with EnergyPlus invoked for custom building datasets and Stable-Baselines3 controllers trained inside the loop","code-execution","executes-and-iterates","detected violations or failures are converted into structured feedback that triggers targeted code updates, additional retrieval and regeneration in an iterative loop until a stable executable simulator is obtained; separately, grid contingencies that result in divergence or violation of network limits are classified as unsafe and counted","full-text"
"doi:10.48550/arxiv.2605.06607","AI CFD Scientist","config-generation;solver-control;optimisation-loop;results-interpretation;verification-regression","OpenFOAM cases driven through Foam-Agent, including modification and wmake compilation of case-local C++ turbulence-model source - a runtime correction to the Spalart-Allmaras model","code-execution","executes-and-iterates","when a verification gate rejects a run the rerun controller revises the requirement, and may reuse nearby successful cases such as relaxation factors or schemes","full-text"
"doi:10.48550/arxiv.2505.04997","Foam-Agent","config-generation;solver-control;results-interpretation;tool-exposure;verification-regression","OpenFOAM case directories and their solver executables, plus blockMesh, snappyHexMesh and gmshToFoam meshing and Allrun execution scripts","file-io","executes-and-iterates","the Reviewer node runs three sequential LLM calls - an analysis call producing a diagnosis from the extracted error set, a plan call turning it into a minimal rewrite plan, and a rewrite call realising the edit - with the explicit gap that errors bypassing the FatalErrorIn macros fall outside the extractor","full-text"
"doi:10.1016/j.compenvurbsys.2026.102449","Xu2026-agentic-urban-digital-twins","none","not stated - the authors drive nothing themselves; the paper names software that agents could drive and reports that the cited RECOIL prototype drives freight simulations and the Gurobi solver","mcp","not stated","not stated","full-text"
"doi:10.48550/arxiv.2508.07035","VASPilot","config-generation;solver-control;hpc-scale-out;results-interpretation;verification-regression","VASP DFT calculations - INCAR, POSCAR, KPOINTS and POTCAR decks generated via pymatgen and submitted as Slurm batch jobs","mcp","executes-and-iterates","for failed jobs the tool returns the VASP error messages; the results narrate one concrete recovery, a Bravais-lattice inconsistency error returned during an initial SCF calculation after which VASPilot adjusted the symmetry-tolerance parameter and the job ran","full-text"
"arxiv:2607.20346","IteraSim RAG","config-generation;solver-control;verification-regression","OpenFOAM case files for icoFoam, simpleFoam, interFoam, buoyantBoussinesqSimpleFoam and MPPICFoam, plus blockMesh, snappyHexMesh and Gmsh meshing and custom solvers compiled with wmake, on OpenFOAM v2506","file-io","executes-and-iterates","a dedicated error locator extracts the first physically meaningful error and feeds it back to the InputWriter as a targeted correction request, with the corrective loop bounded to ten cycles","full-text"
"doi:10.31223/x5f47g","Agentic SWMM","config-generation;solver-control;results-interpretation;verification-regression;provenance-reproducibility;tool-exposure","the EPA SWMM 5.2.4 command-line engine run on agent-generated INP input decks for the Tod Creek catchment in Saanich, British Columbia, plus pysheds/rasterio DEM preprocessing and matplotlib figures","mcp","executes-and-iterates","failure modes are documented per tool in a table rather than in prose - for the run tool, swmm5 missing, INP errors, runDir not writable and nonzero return code; the Skill layer adds automatic repair rules for common pitfalls and continuity quality gates, and the manifest records the swmm5 return code","full-text"
"doi:10.1080/09544828.2026.2624356","Jadhav2024-llm-fem-truss-designer","optimisation-loop;topology-construction;results-interpretation","an in-house Python 2D-truss finite element evaluator, unnamed; the NSGA-II baseline drives a pymoo optimisation loop","code-execution","executes-and-iterates","format-nonconforming LLM output is retried with up to 10 attempts; a design that violates constraints triggers a separate constraint-correction prompt instructing the LLM to analyse the violations and either improve, redesign or reuse a previous solution","full-text"
"doi:10.48550/arxiv.2604.27753","Jan2026-agentic-digital-twin-ATSC","optimisation-loop","an in-house traffic-network digital twin simulator, unnamed, representing intersections, signal phases and queues, and downstream traffic-signal controllers through an MCP gateway","mcp","executes-and-iterates","not stated","full-text"
"doi:10.48550/arxiv.2412.17146","FoamPilot","config-generation;solver-control;hpc-scale-out;results-interpretation","FireFOAM case directories and the fireFoam OpenFOAM solver, including blockMesh and snappyHexMeshDict case files, plus SLURM job submission on an AWS ParallelCluster","cli","executes-with-approval","no recovery mechanism is described; the authors report failures as outcomes - in the failing run the agent hallucinated the existence of files in the case directory and ultimately failed to recover, and in one failing case it failed to identify the HPC environment and issued incorrect SLURM commands","full-text"
"arxiv:2607.01812","TO-Master","config-generation;topology-construction;optimisation-loop;results-interpretation","a JAX-FEM-based topology-optimisation solver performing residual assembly, adjoint sensitivities and MMA density updates, with gmsh-based and gmsh-free mesh generators, driven through an MCP tool server","mcp","executes-with-approval","if a tool returns a warning or failure status the agent reports the issue and pauses instead of continuing silently; in scoring, a run is counted as failed if the checker reports a warning or timeout","full-text"
"doi:10.1063/5.0257555","OpenFOAMGPT","config-generation;solver-control","OpenFOAM-v2406 case directories and solvers, writing blockMeshDict, transportProperties, turbulenceProperties and codedFixedValue boundary-condition snippets, then executing the solver","file-io","executes-and-iterates","error logs are monitored throughout the simulation and on failure detection the error data is appended to the user query and the process iterates","full-text"
"doi:10.1038/s43246-025-00994-x","MatSciAgent","config-generation;results-interpretation","ASE-based molecular dynamics runs with the EMT potential, an in-house cellular-automata solidification code and a Monte-Carlo annealing grain-growth code, CrystaLLM for CIF generation, and the Materials Project and MatWeb APIs","api","executes-with-approval","not stated","full-text"
"doi:10.48550/arxiv.2602.04850","El Agente Quntur","config-generation;solver-control;results-interpretation","ORCA 6.0 input files and calculations - geometry optimisations, frequencies, NEB and IRC transition-state searches, excited-state and spectroscopy runs and solvation models - plus GFNn-xTB pre-relaxation, executed through Python and Bash","code-execution","executes-and-iterates","when a job fails, produces a warning, or the computed properties indicate a change in methodology is needed, the system does not stop but diagnoses the issue and tries a solution; one worked example shows it eliminating an imaginary frequency after a transition state converged to a second-order saddle point","full-text"
"arxiv:2604.18233","Aether","verification-regression;solver-control;results-interpretation","Batfish model-based verification jobs, a custom NS-3 flow-level simulator, RouteNet performance prediction and Diffy anomaly detection over a network digital twin whose state lives in an ArangoDB knowledge graph","api","executes-with-approval","if test results indicate issues the user may iterate on the change implementation and re-initiate validation; no mechanism is described for a verification tool itself erroring, the nearest statement being that redundant tests give robustness","full-text"
"doi:10.1039/d6dd00060f","text2flowsheet","topology-construction;config-generation;optimisation-loop","an Aspen Plus flowsheet simulation, built unit by unit from a generated process-flow-diagram-level flowsheet graph","api","executes-and-iterates","if the black-box optimisation does not yield a converged flowsheet, or a unit that fulfils its task meaningfully as defined by thresholds on the objective functions, the most recently added unit is systematically simplified","full-text"
"doi:10.2139/ssrn.6074109","SwarmFoam","config-generation;solver-control;results-interpretation","OpenFOAM-9 case directories - blockMeshDict, controlDict, fvSchemes, fvSolution, transportProperties, initial fields and Allrun - with the solver executed through the Allrun script","file-io","executes-and-iterates","the Runner Agent captures error messages from each log file and the Reviewer applies a first-error-priority principle, assuming the first error is the root cause and returning only its reason and path to the InputWriter; a maximum of 20 correction iterations is allowed, after which tasks are forcibly terminated","full-text"
"arxiv:2607.05134","PDEFlow","config-generation;solver-control;surrogate-modelling","a FEniCSx finite-element solve configured from a generated JSON PDE specification, plus the neural-operator training pipeline fed by its outputs","code-execution","executes-and-iterates","validation failures are handled by a validator and repairer loop on the specification - invalid patches are not applied and the repairer returns a corrected patch for another validation pass; nothing is stated about FEniCSx solver-level failure or non-convergence","full-text"
"arxiv:2605.14154","TSAgent","config-generation;solver-control;hpc-scale-out;results-interpretation","VASP 6.3 DFT calculations - nudged elastic band and dimer transition-state searches - built with ASE and submitted to a SLURM-managed HPC cluster","cli","executes-and-iterates","failures are summarised by the Execution Agent and diagnosed by the Planner Agent, which replans using convergence diagnostics, prior-step diagnostics, expert-crafted debugging guidelines and a replan log of previous replanning decisions and their outcomes","full-text"
"doi:10.48550/arxiv.2511.00122","Engineering.ai","config-generation;solver-control;optimisation-loop;hpc-scale-out","OpenFOAM simpleFoam CFD cases, CalculiX finite element runs meshed by Gmsh on FreeCAD geometry, and a Python acoustic model, over a parametric NACA-airfoil UAV wing design space","file-io","executes-and-iterates","automatic recovery rules - mesh refinement parameters cut by 20% on meshing failure, relaxation factors lowered from 0.7 to 0.3 for pressure and 0.5 to 0.2 for velocity on solver divergence, with automatic rollback to the last valid checkpoint if recovery fails","full-text"
