"identity_key","tier","system_id","url","title","authors","year","venue","source_type","subfield","subfield_secondary","task","agentic_techniques","architecture","base_model","tools_used","evaluation_method","baseline","held_out","data_type","reported_result","maturity_claimed","maturity_demonstrated","author_stated_limitations","code_availability","access_status","found_via"
"doi:10.3997/2214-4609.202637165","context","Lie2026-differentiable-reservoir-agent","https://doi.org/10.3997/2214-4609.202637165","Conversational and Agentic Workflows for Constructing and Executing Fully-Differentiable Reservoir Simulation Models","K. Lie; O. Møyner; J. Torben; E. Svee","2026","not stated","peer-reviewed","geoenergy_subsurface","","conversational construction, execution and analysis of conceptual reservoir simulation models from natural language","planning;tool-calling;code-execution;simulator-in-the-loop","agent-plus-simulator","not stated","a modular, fully differentiable reservoir simulator","demonstrated using a modular, fully differentiable reservoir simulator","none stated in the abstract","not stated","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5194/egusphere-egu26-15002","context","Chiltepin","https://doi.org/10.5194/egusphere-egu26-15002","Toward Federated Agentic Workflows for Numerical Weather Prediction With Chiltepin","Christopher W. Harrop; Isidora Jankov","2026","not stated","peer-reviewed","scientific_computing","","federated agentic workflows for numerical weather prediction across heterogeneous HPC and cloud","tool-calling;planning","pipeline-with-agent","not stated","the Chiltepin workflow management system across on-premises and cloud HPC","not stated in the abstract","none","not stated","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5281/zenodo.21854862","context","AOBench","https://doi.org/10.5281/zenodo.21854862","AOBench: a role-aware, RBAC-enforced benchmark for LLM agents in HPC operations","Mohsen Seyedkazemi Ardebili; Andrea Bartolini","2026","Zenodo (CERN European Organization for Nuclear Research)","repo","scientific_computing","","benchmark for LLM agents operating HPC systems under role-based access control","tool-calling;guardrails-validation","single-agent","not stated","mock HPC tools - SLURM, telemetry, RBAC, documentation and facility interfaces","88 tasks over a five-role by ten-category grid against 29 deterministic environment snapshots, six snapshots and eight tasks grounded in the public Marconi100 ExaData dataset from CINECA","none stated in the abstract","not stated","benchmark","a corpus of 88 tasks over a five-role by ten-category grid","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.2196/preprints.87374","context","Li2025-diabetes-dt-agents","https://doi.org/10.2196/preprints.87374","Building Personalized Digital Twins from Public Health Data: An Agentic AI and Ontology-Guided Framework for Diabetes Progression Simulation and Risk Prediction (Preprint)","Qingrui Li; Kapileshwor Ray Amat; Eric L. Johnson; Juan Li","2025","not stated","preprint","simulation_general","","ontology-guided agentic construction of simulation-capable personalised digital twins from public health data","knowledge-graph;planning;tool-calling","pipeline-with-agent","not stated","an ontology and the MIDUS public health dataset","not stated in the abstract beyond design, implementation and evaluation of the framework","none stated","not stated","not stated","not stated","a scalable, ontology-guided, and agentic-AI framework","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5281/zenodo.21841883","context","diagnose_project","https://doi.org/10.5281/zenodo.21841883","Artifact for """"Works but Wrong: Static Diagnosis of HPC Simulation Setup Errors for AI Agents""""","Youngsung Kim; Sudershan Gangrade; Mario Morales‐Hernández; Shih‐Chieh Kao","2026","Zenodo (CERN European Organization for Nuclear Research)","repo","scientific_computing","","static diagnosis of HPC simulation setup errors for AI agents","tool-calling;guardrails-validation","single-agent","not stated","diagnose_project, a static checker that reads a TRITON flood-inundation project configuration and its named input files without running the solver","a 32-project TRITON test corpus - 15 with an injected fault, 5 user-rule, 12 deliberately clean - with machine-readable verdicts against a solver oracle","the agent without the static checker","not stated","benchmark","32-project corpus with 15 injected faults","not stated","not stated (abstract only)","not stated","https://doi.org/10.5281/zenodo.21841883","abstract-only","harvest"
"doi:10.1016/j.array.2026.100721","context","Hasan2026-agentic-dt-framework","https://doi.org/10.1016/j.array.2026.100721","Integrating agentic AI and digital twins for intelligent decision-making systems","Agus Hasan; Dong Trong Nguyen","2026","Array","peer-reviewed","simulation_orchestration","","multilayer framework integrating agentic AI with digital twins for closed-loop decision making","planning;tool-calling;memory","pipeline-with-agent","not stated","a digital twin providing real-time state, simulation capabilities and policy constraints","a use-case demonstration in power balancing for electricity systems","none stated in the abstract","not stated","not stated","not stated","operationalizes continuous learning and closed-loop autonomy","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.67294/knpyhb26","context","SilvaSprock2026-cognitive-dt-review","https://doi.org/10.67294/knpyhb26","Conceptualizing Cognitive and Agentic Digital Twins","Antonio Silva Sprock; Oscar Antonio Silva Sprock","2026","International Multidisciplinary Journal of Emerging Technologies and Applications","peer-reviewed","simulation_orchestration","","narrative literature review conceptualising cognitive and agentic digital twins","retrieval","not stated","not stated","not applicable - a review of other systems","organized narrative literature review","none","no","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.48550/arxiv.2609.00795","context","DeMARS","https://doi.org/10.48550/arxiv.2609.00795","Agentic programs: an emerging form of scientific software in computational materials science","Yunsung Lim; Hyejin Jeon; Jaesun Kim; Jisu Kim; Seungwu Han","2026","arXiv (Cornell University)","preprint","scientific_computing","","concept paper arguing agentic programs are an emerging form of scientific software","tool-calling;code-execution;guardrails-validation","single-agent","not stated","deterministic algorithms combined with bounded LLM-based judgement and task-specific verification","illustrated with DeMARS; no evaluation of its own reported in the abstract","none","no","not stated","not stated","an emerging form of scientific software, agentic programs","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.2118/232332-ms","context","Pal2026-geothermal-agentic-screening","https://doi.org/10.2118/232332-ms","Agentic AI-Driven Geothermal Reservoir Simulation and Optimization Using Surrogate Modelling for Rapid Site Screening","Mayur Pal; Abdul Rashid Abdul Nabi Memon; Vaibhav Valmik Khedekar","2026","not stated","peer-reviewed","geoenergy_subsurface","","agentic geothermal reservoir simulation and surrogate-based optimisation for rapid site screening","planning;tool-calling;simulator-in-the-loop","agent-plus-simulator","not stated","conventional physics-based numerical reservoir simulators and surrogate models","not readable - full text blocked","none stated in the abstract","not stated","not stated","not stated","an innovative agentic artificial intelligence approach","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1109/sci68648.2025.11333875","context","CoMAS-HPC","https://doi.org/10.1109/sci68648.2025.11333875","CoMAS-HPC: A Collaborative Multi-Agent System for HPC Administration","P Tejas Vinay; Sumit Kumar Saurav","2025","not stated","peer-reviewed","scientific_computing","","collaborative multi-agent administration of HPC systems","role-specialisation;tool-calling","multi-agent-flat","not stated","Google Agent Development Kit agents communicating over a RESTful agent-to-agent interface","not stated in the abstract","single-agent or monolithic approaches","not stated","not stated","not stated","shifts HPC administration from a centralized, rigid approach to a distributed, adaptive system","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"arxiv:2605.00803","context","AutoMat","https://arxiv.org/abs/2605.00803","Can Coding Agents Reproduce Findings in Computational Materials Science?","Ziyang Huang; Yi Cao; Ali K. Shargh; Jing Luo; Ruidong Mei; Mohd Zaki; Zhan Liu; Wyatt Bunstine; William Jurayj; Somdatta Goswami; Tyrel McQueen; Michael Shields","2026","arXiv (Cornell University)","preprint","scientific_computing","","benchmark of LLM coding agents reproducing claims from computational materials science papers","code-execution;tool-calling;planning","single-agent","not stated","specialised computational materials science toolchains","a curated set of claims from real materials science papers, posing recovery of underspecified procedures, toolchain navigation and claim adjudication","software engineering benchmark performance","not stated","benchmark","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.48550/arxiv.2409.11363","context","CORE-Bench","https://doi.org/10.48550/arxiv.2409.11363","CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark","Zachary S. Siegel; Sayash Kapoor; Nitya Nagdir; Benedikt Stroebl; Arvind Narayanan","2024","arXiv (Cornell University)","preprint","scientific_computing","","benchmark of AI agents reproducing published computational results from the authors code and data","code-execution;tool-calling","single-agent","not stated","the code and data shipped with each paper","270 tasks based on 90 scientific papers across computer science, social science and medicine, at three difficulty levels","none stated in the abstract","not stated","benchmark","270 tasks based on 90 scientific papers","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"arxiv:2607.18485","context","Li2026-hpc-agent-security","https://arxiv.org/abs/2607.18485","Trusted Credentials, Untrusted Behavior: Benchmarking LLM-Agent Security in High-Performance Computing","Jie Li","2026","arXiv (Cornell University)","preprint","scientific_computing","","security benchmark for LLM agents acting under user credentials on HPC systems","tool-calling;guardrails-validation","single-agent","not stated","Slurm job monitoring, build diagnosis, simulation output inspection and workflow coordination","not stated in the abstract beyond the framing of the hijacked authorized agent problem","existing agent-security studies in web and enterprise settings","not stated","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1007/s44212-025-00099-3","context","AUDiTs","https://doi.org/10.1007/s44212-025-00099-3","Towards Agentic Urban Digital Twins (AUDiTs): advancing new urban science through Human-AI co-learning agents","Xinyue Ye; Wenjing Gong; Yifan Yang; Lei Zou; Zhengzhong Tu; Xiao Huang; Zhenlong Li; Huan Ning; Ling Lin Wu","2026","Urban Informatics","peer-reviewed","simulation_orchestration","","research agenda for integrating LLM and multimodal agents into urban digital twin environments","planning;human-in-the-loop","not stated","not stated","not stated - a vision paper","none - the authors describe it as a vision paper","none","no","not stated","not stated","a research agenda for integrating large language model and multimodal agents into digital twin environments","not stated (abstract only)","the authors identify bias and fairness among critical challenges","not stated","abstract-only","harvest"
"doi:10.54941/ahfe1007674","context","Norton2026-shm-causal-agents","https://doi.org/10.54941/ahfe1007674","Agentic LLMs for Scalable, Verifiable System Health Digital Twins","Chris Norton; K. Pattipati; Jordan Thurston; D. Haste; Sudipto Ghoshal; Somnath Deb; William Lawless","2026","AHFE international","peer-reviewed","simulation_orchestration","","agentic LLM extraction and symbolic validation of causal models for system health digital twins","knowledge-graph;guardrails-validation;role-specialisation","pipeline-with-agent","not stated","a symbolic reasoning core grounded in multi-functional causal modelling","not stated in the abstract","labor-intensive, expert-driven model construction","not stated","not stated","not stated","verifiable, executable diagnostic models","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1109/tii.2026.3669495","context","ModSolAgent","https://doi.org/10.1109/tii.2026.3669495","ModSolAgent: Automated Finite Element Code Generation for Abaqus via LLM-Based Agent","Zidi Li; Hongwei Ge; Guozhi Tang; Yuxuan Liu","2026","IEEE Transactions on Industrial Informatics","peer-reviewed","solver_control","","automated generation of finite element simulation scripts for Abaqus","code-execution;tool-calling;guardrails-validation","agent-plus-solver","not stated","Abaqus finite element simulation scripting","not readable - full text blocked","general-purpose code generation","not stated","not stated","not stated","not stated","not stated (abstract only)","the authors name AI-generated hallucination as a key challenge for tasks requiring precise intent","not stated","abstract-only","harvest"
"doi:10.48550/arxiv.2512.09209","context","Cen2025-swarm-prompt-coevolution","https://doi.org/10.48550/arxiv.2512.09209","Beyond Algorithm Evolution: An LLM-Driven Framework for the Co-Evolution of Swarm Intelligence Optimization Algorithms and Prompts","Shipeng Cen; Ying Tan","2025","arXiv (Cornell University)","preprint","optimisation_uq","","co-evolution of swarm intelligence optimisation algorithms and the prompts that guide their design","code-execution;self-reflection","single-agent","not stated","a single LLM generating and revising optimisation algorithm code and prompt templates","evaluated on a range of NP problems","EoH, FunSearch and Reevo","not stated","benchmark","demonstrated superior performance compared with the named automated algorithm design frameworks","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.36227/techrxiv.175979241.11582889/v1","context","Bahukhandi2025-xai-subsurface-review","https://doi.org/10.36227/techrxiv.175979241.11582889/v1","Explainability as a Catalyst for Agentic AI Adoption in Subsurface Oil & Gas Workflows","Naveen Bahukhandi","2025","not stated","preprint","geoenergy_subsurface","","review of explainability as a precondition for agentic AI adoption in subsurface workflows","human-in-the-loop","not stated","not stated","not applicable - a review of other systems","structured literature survey 2020-2025 across petroleum engineering, computer science and industrial AI","none","no","not stated","not stated","not stated","not stated (abstract only)","the author names lack of explainability as the major barrier to adoption in high-stakes decision-making","not stated","abstract-only","harvest"
"doi:10.26190/unsworks/32312","context","Zhu2026-water-treatment-dt","https://doi.org/10.26190/unsworks/32312","Transforming Water and Wastewater Treatment with Digital Twins","Jason Zhu","2026","UNSWorks (University of New South Wales, Sydney, Australia)","preprint","simulation_orchestration","","doctoral thesis on digital twins for water and wastewater treatment infrastructure","retrieval","not stated","not stated","process modelling integrated with artificial intelligence","not stated at the abstract level","experience-guided rules and reactive process control","not stated","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1609/aaai.v39i28.35373","context","Timms2025-shipping-agentic-dt","https://doi.org/10.1609/aaai.v39i28.35373","Agentic AI for Digital Twin","Alexander Timms; Abigail Langbridge; Antonis Antonopoulos; Antonis Mygiakis; Eleni Voulgari; Fearghal O’Donncha","2025","Proceedings of the AAAI Conference on Artificial Intelligence","peer-reviewed","simulation_orchestration","","agentic LLM interface selecting tools and data streams for a shipping digital twin","tool-calling;planning","router","not stated","external tools and data streams attached to a shipping digital twin","an interactive demonstration","none","not stated","not stated","not stated","enabling language to serve as a universal interface between digital twins and various stakeholders","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"arxiv:2603.25898","context","FactoryFlow","https://arxiv.org/abs/2603.25898","On Integrating Resilience and Human Oversight into LLM-Assisted Modeling Workflows for Digital Twins","Lekshmi P; Neha Karanjkar","2026","arXiv (Cornell University)","preprint","simulation_orchestration","","design principles for resilience and human oversight in LLM-assisted construction of executable digital twins","planning;human-in-the-loop;guardrails-validation","pipeline-with-agent","not stated","FactoryFlow, an open-source LLM-assisted framework for building simulation-based digital twins of manufacturing systems","insights derived from the authors work on FactoryFlow; no controlled evaluation reported in the abstract","none","not stated","not stated","not stated","three critical design principles for integrating resilience and oversight into such workflows","not stated (abstract only)","the authors state that resilience to LLM hallucination, human oversight and real-time model adaptability remain challenging and often mutually conflicting requirements","not stated","abstract-only","harvest"
"doi:10.3778/j.issn.1673-9418.2508051","context","AutoCode4OF","https://doi.org/10.3778/j.issn.1673-9418.2508051","Multimodal Information Fusion-Guided Graphical Interface Code Generation Framework for OpenFOAM","LU Bin, LIU Jianfeng, WANG Haolin, ZHANG Yuzhi, CHEN Rui","2025","DOAJ (DOAJ: Directory of Open Access Journals)","peer-reviewed","solver_control","","end-to-end generation of OpenFOAM executable interface code from multimodal inputs","retrieval;knowledge-graph;guardrails-validation;role-specialisation","multi-agent-flat","not stated","a CFD knowledge graph, retrieval-augmented generation, and dual front-end and back-end validation mechanisms over OpenFOAM","not readable - no retrievable full text","traditional simulation interface development","not stated","not stated","not stated","significantly enhances the physical rationality","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.5281/zenodo.21841882","context","diagnose_project","https://doi.org/10.5281/zenodo.21841882","Artifact for """"Works but Wrong: Domain Tools Sharpen AI Diagnosis of HPC Simulation Setup Errors""""","Youngsung Kim; Sudershan Gangrade; Mario Morales‐Hernández; Shih‐Chieh Kao","2026","Zenodo (CERN European Organization for Nuclear Research)","repo","scientific_computing","","companion artifact studying whether a domain static checker sharpens AI diagnosis of HPC simulation setup errors","tool-calling;guardrails-validation","single-agent","not stated","diagnose_project, a static checker over TRITON flood-inundation project configuration and input files","a 32-project test corpus - 15 setup-fault, 5 user-rule, 12 clean - with machine-readable tool findings, solver outcomes and ground truth, plus a 248-cell human audit of the LLM judge","the agent without the domain static checker","not stated","benchmark","a 248-cell human audit of the LLM judge","not stated","not stated (abstract only)","not stated","https://doi.org/10.5281/zenodo.21841882","abstract-only","harvest"
"arxiv:2609.03598","context","RASER","https://arxiv.org/abs/2609.03598","RASER: Resilient Agent Scheduling and Execution Runtime for HPC Clusters","Sima Attar-Khorasani; Matthias Lieber; Siavash Ghiasvand","2026","arXiv (Cornell University)","preprint","scientific_computing","","user-space runtime executing long-horizon agentic workflows on production HPC clusters","tool-calling;memory","pipeline-with-agent","not stated","Slurm internal primitives, shared filesystem queues, Apptainer containers","not stated in the abstract","traditional HPC job schedulers such as Slurm","not stated","not stated","not stated","enables seamless execution of agentic workflows on production HPC clusters","not stated (abstract only)","the authors state that traditional HPC job schedulers such as Slurm are not designed for dynamic, agentic workflows","not stated","abstract-only","harvest"
"doi:10.1145/3731599.3767584","context","Jadhav2025-llm-hpc-scheduler","https://doi.org/10.1145/3731599.3767584","Evaluating the Efficacy of LLM-Based Reasoning for Multiobjective HPC Job Scheduling","Prachi Jadhav; Hongwei Jin; Ewa Deelman; Prasanna Balaprakash","2025","arXiv (Cornell University)","peer-reviewed","scientific_computing","","ReAct-style LLM scheduler for multiobjective HPC job scheduling","planning;self-reflection;memory;guardrails-validation","single-agent","OpenAI O4-Mini and an Anthropic model","a scratchpad memory tracking scheduling history and a constraint enforcement module","evaluated against heuristic schedulers on HPC scheduling objectives","First-Come-First-Served and Shortest Job First heuristics","not stated","not stated","not stated","enabling iterative, interpretable decision-making","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.1016/j.coche.2025.101150","context","Boskabadi2025-industrial-agentic-opinion","https://doi.org/10.1016/j.coche.2025.101150","Industrial Agentic AI and generative modeling in complex systems","Mohammad Reza Boskabadi; Yudong Cao; Behnam Khadem; William R. Clements; Z. Nevin Gerek; Eric Reuthe; Abhishek Sivaram; Christopher J. Savoie; Seyed Soheil Mansouri","2025","Current Opinion in Chemical Engineering","peer-reviewed","simulation_orchestration","","opinion piece on industrial agentic AI and generative modelling for process control and optimisation","planning","not stated","not stated","digital twinning and process simulation","none - an opinion piece","none","no","not stated","not stated","not stated","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.48550/arxiv.2601.01321","context","Zhou2026-digital-twin-ai-survey","https://doi.org/10.48550/arxiv.2601.01321","Digital Twin AI: Opportunities and Challenges from Large Language Models to World Models","Rong Zhou; Dongping Chen; Zihan Jia; Yao Su; Yixin Liu; Yiwen Lu; Dongwei Shi; Yue Huang; Tianyang Xu; Yi Pan; Xinliang Li; Yohannes Abate","2026","arXiv (Cornell University)","preprint","simulation_orchestration","","survey characterising AI integration across the digital twin lifecycle","retrieval","not stated","not stated","not applicable - a survey of other systems","synthesis of existing technologies and practices into a four-stage framework","none","no","not stated","not stated","a unified four-stage framework","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
"doi:10.3390/electronics15091869","context","VicenteMartinez2026-conversational-dt","https://doi.org/10.3390/electronics15091869","Integrating Conversational AI Agents with Digital Twins: A Systems Engineering Approach to Complex Infrastructure Management and Predictive Decision-Making","Pablo Vicente-Martínez; Emilio Soria-Olivas; Sergio Sebastiá-García; Claudia Vizcaíno-Ramírez; Adrián Chust-Ros; María Ángeles García-Escrivà; Edu William-Secin","2026","Electronics","peer-reviewed","simulation_orchestration","","conversational agent orchestrating configuration and execution of an occupancy-forecasting digital twin","tool-calling;planning","pipeline-with-agent","Gemini 2.5 Flash Lite","data ingestion, model execution and query actions over ARIMA, SARIMA, Random Forest and XGBoost prediction models","a TRL4 proof of concept in which users upload their own datasets and configure prediction models","none stated in the abstract","not stated","not stated","a TRL4 proof of concept","the AI agent functions as an orchestration layer, translating natural language instructions into data ingestion, model execution, and query actions","not stated (abstract only)","the authors state that additional variables such as energy, water and waste are envisioned for future work and were not part of the current validation","not stated","abstract-only","harvest"
"title:aplatformforprescriptivedigitaltwinsinaec","context","Ravandi2026-prescriptive-dt-aec","https://hdl.handle.net/1807/153711","A Platform for Prescriptive Digital Twins in AEC","Amirhossein Babaei Ravandi","2026","TSpace (University of Toronto)","preprint","simulation_orchestration","","platform for prescriptive digital twins in architecture, engineering and construction facility management","knowledge-graph;retrieval;planning","agent-plus-database","not stated","knowledge graphs bridging structured and unstructured facility datasets","not stated at the abstract level","rigid schemas or predefined ontologies","not stated","not stated","not stated","supports prescriptive digital twins that evolve in parallel with the built environment","not stated (abstract only)","not stated","not stated","abstract-only","harvest"
