"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.1016/j.procir.2026.03.308","out","","","not-geoscience","no","factory layout and dispatching"
"doi:10.5281/zenodo.21513535","out","","","not-geoscience","no","agent guardrail module; CCS acronym collision"
"doi:10.2118/229512-ms","in","context","reservoir_engineering","","no","agentic RAG over real-time drilling data with visualisation"
"doi:10.2118/230772-ms","in","context","reservoir_engineering","","no","self-improving generative AI agents parsing daily mud reports"
"doi:10.2118/0326-0015-jpt","in","context","reservoir_engineering","","no","JPT synopsis of SPE 226728, multiagent offshore production surveillance"
"doi:10.3997/2214-4609.202539032","in","context","geological_modelling","","no","GraphRAG plus agentic architecture for geoscience document mining"
"doi:10.5194/egusphere-egu26-15632","in","context","engineering_geology","","no","EGU abstract; multimodal multi-agent landslide risk management"
"doi:10.1016/j.bdes.2026.100042","in","core","inversion","","no","automated geophysical agent workflow, ingestion to inversion to petrophysical conversion, for subsurface hydrology"
"doi:10.2139/ssrn.5758817","out","","","no-abstract-untriageable","no","SSRN record carries no abstract; title alone cannot establish whether the Q and A system decides anything"
"doi:10.2118/229586-ms","in","context","reservoir_engineering","","no","position paper on agentic AI for subsurface data and workflows"
"doi:10.2118/221864-ms","in","context","reservoir_engineering","","no","GeoCopilot multimodal lithology interpretation while drilling"
"doi:10.3997/2214-4609.202639010","in","context","seismology","","no","agentic workflows linking seismic interpretation to a data management platform"
"doi:10.48550/arxiv.2609.01777","in","core","seismology","","no","TREMORS agentic assistant for multi-datacenter seismic data acquisition; LangGraph"
"doi:10.5281/zenodo.20109894","in","context","reservoir_engineering","","no","conceptual multi-agent reference architecture; authors state it is conceptual"
"doi:10.3997/2214-4609.202639027","in","context","reservoir_engineering","","no","Open-DARTS-MCP exposes reservoir simulation through MCP for agentic workflows"
"doi:10.63374/qitp-ijpeat_07_02_001","in","context","reservoir_engineering","","no","systematic literature review and taxonomy of GenAI and agentic AI in oil and gas"
"doi:10.2523/iptc-25230-ms","in","context","reservoir_engineering","","no","multi-agentic framework for field development planning; simulation compliance, insight, well placement"
"doi:10.5194/egusphere-egu26-9051","in","context","engineering_geology","","no","EGU abstract; TunnelSentinel agentic framework for immersed tunnel settlement"
"doi:10.3997/2214-4609.2024101588","in","context","reservoir_engineering","","no","Geologist Copilot; earlier EAGE paper on the same system as SPE 221864"
"doi:10.2118/229603-ms","in","context","reservoir_engineering","","no","agentic LLM workflow extracting and classifying drilling risk events"
"doi:10.1038/s44304-026-00262-z","in","core","seismology","","no","LLM-agent interface to end-to-end probabilistic seismic hazard and risk chain over MCP"
"doi:10.30953/thmt.v10.639","out","","","not-geoscience","no","medical education podcast; 'seismic shift' metaphor"
"doi:10.48550/arxiv.2603.13625","out","","","not-geoscience","no","crisis-informatics tweet dataset generation; not a geoscience task"
"doi:10.5281/zenodo.19454990","out","","","not-a-source","no","podcast episode"
"doi:10.3997/2214-4609.202637165","in","context","reservoir_engineering","","no","conversational and agentic construction of differentiable reservoir simulation models"
"doi:10.20944/preprints202604.1814.v1","in","context","reservoir_engineering","","no","survey of LLMs and foundation models in petroleum engineering"
"arxiv:2604.21501","in","core","reservoir_engineering","","no","GeoMind agentic workflow for lithology classification with reasoned tool invocation over well logs"
"doi:10.2118/0426-0008-jpt","in","context","reservoir_engineering","","no","JPT case study; agentic framework for large-scale well modelling offshore"
"doi:10.48550/arxiv.2605.00060","in","core","reservoir_engineering","","no","TADI agentic orchestration over Volve wellsite data; DuckDB plus WITSML"
"doi:10.5281/zenodo.21542369","out","","","not-geoscience","no","runtime verification protocol; CCS acronym collision"
"title:largelanguagemodelagentsindynamicmineplanningamodulardecisionsupportframework","in","core","mining","","no","thesis; modular LLM-agent decision support for dynamic mine planning"
"doi:10.1109/access.2026.3714775","in","context","mining","","no","review of LLM agents for dynamic mine planning; companion to the Arizona thesis"
"doi:10.3390/geosciences16050176","in","core","engineering_geology","","no","LLM multi-agent evaluator-optimizer automating PPV prediction pipeline for tunnel blasting"
"doi:10.1016/j.aei.2026.105065","in","core","engineering_geology","","no","LLM multi-agent framework automating surrogate-based reliability analysis of spatially variable soils"
"doi:10.2118/0324-0034-jpt","out","","","not-agentic","no","trade-press article on LLMs as a coding tool; no decision loop"
"doi:10.2118/224532-ms","in","context","reservoir_engineering","","no","AI agents automating well planning and execution workflows"
"doi:10.4043/35607-ms","in","context","reservoir_engineering","","no","LLM-based workflow generating well design risk profiles from offset well data"
"doi:10.1007/s43503-026-00088-8","in","core","engineering_geology","","no","router-driven multi-agent foundation design; single-agent, designer-checker and router configurations compared"
"doi:10.22564/19cisbgf2025.335","in","context","seismology","","no","BRISA, AI agents for initial inspection of seismic datasets"
"doi:10.5281/zenodo.19358458","out","","","not-a-source","no","podcast episode"
"doi:10.2118/233094-ms","in","context","reservoir_engineering","","no","specialised AI agents for plug and abandonment analysis and regulatory compliance"
"doi:10.48550/arxiv.2511.03852","in","core","geothermal","","no","GAIA agentic framework for geothermal field development and monitoring"
"doi:10.5281/zenodo.19316139","out","","","not-geoscience","no","LLM agent reliability note"
"doi:10.5281/zenodo.19241166","out","","","not-geoscience","no","adversarial jailbreak survey"
"doi:10.17632/mwwbc7cgy8.1","out","","","not-a-source","no","Mendeley dataset deposit accompanying a paper, not the source itself"
"doi:10.1080/10095020.2025.2514813","out","","","not-agentic","no","knowledge graph construction plus retrieval-augmented generation; retrieval is not in a decision loop"
"doi:10.1109/fllm67465.2025.11391215","out","","","not-geoscience","no","prompt injection detection"
"doi:10.2118/0326-0003-jpt","in","context","reservoir_engineering","","no","JPT guest editorial arguing for the agentic oil field; position piece"
"doi:10.5194/egusphere-egu24-16101","out","","","not-agentic","no","LLM information extraction from geoscience literature; single-pass extraction"
"doi:10.3390/computers15050294","in","context","seismology","","no","self-adaptive LLM framework re-deriving extraction rules as web sources change"
"doi:10.3997/2214-4609.2025101389","in","context","reservoir_engineering","","no","specialised autonomous agents assess wellbore stability from images and mechanical parameters"
"doi:10.2118/229435-ms","in","context","reservoir_engineering","","no","InsightsAI proof of concept over WITSML logs and PDFs via ontology and knowledge graph"
"doi:10.3997/2214-4609.202639044","in","context","reservoir_engineering","","no","agentic architecture for well analytics, contrasted with earlier RAG applications"
"doi:10.48550/arxiv.2604.14572","out","","","not-geoscience","no","enterprise knowledge base retrieval architecture"
"doi:10.48550/arxiv.2608.27092","out","","","not-geoscience","no","indirect prompt injection in tool-using agents"
"doi:10.48550/arxiv.2512.04611","out","","","not-geoscience","no","directed fuzzing; CCS here is the ACM conference name"
"doi:10.5281/zenodo.19078873","out","","","duplicate","no","GeoSAGE outputs deposit; the code deposit zenodo.19078874 is retained for this system"
"doi:10.1038/s41598-026-61824-9","in","core","geological_modelling","","no","LLM borehole-report pipeline generating executable coordinates for 3D geological modelling; multi-model comparison"
"doi:10.3390/geosciences15100382","out","","","not-agentic","no","domain LLM plus lightweight RAG for question answering; no decision loop"
"doi:10.1007/s10916-025-02284-y","out","","","not-geoscience","no","clinical triage evaluation"
"doi:10.3390/electronics14020232","out","","","not-geoscience","no","motor drive tuning; CCS here is cascade control structure"
"doi:10.1109/wf-pst65083.2025.00037","out","","","not-geoscience","no","personalised crisis guidance generation; no geoscience task"
"doi:10.1145/3731599.3767402","in","core","seismology","","no","EQSIM Agent, conversational tool-calling interface to large-scale earthquake simulation output"
"doi:10.18653/v1/2025.findings-emnlp.1386","in","core","mining","","no","STA-CoT orchestrates planning, execution and verification agents for multi-image mineral exploration reasoning"
"doi:10.3389/feart.2025.1738096","out","","","not-agentic","no","LLM-driven knowledge graph construction for a tungsten deposit; extraction pipeline"
"doi:10.3997/2214-4609.202639107","in","context","seismology","","no","GenAI and agentic assistant for seismic processing and imaging guidance"
"doi:10.3997/2214-4609.202639016","in","context","seismology","","no","three autonomous agents for noise attenuation diagnostics, remediation and quality control"
"doi:10.3997/1365-2397.fb2026015","in","context","seismology","","no","First Break; agent-driven reconstruction of seismic metadata from legacy SEG-Y headers"
"doi:10.5281/zenodo.19360598","out","","","not-a-source","no","podcast episode"
"doi:10.2118/232332-ms","in","context","geothermal","","no","agentic geothermal reservoir simulation and optimisation with surrogate models for site screening"
"doi:10.2118/229444-ms","in","context","reservoir_engineering","","no","dual-layer OSDU and Fabric data architecture supporting agentic AI; ENERGYai"
"doi:10.64862/ajeg.2025.2sp.95.232","in","context","engineering_geology","","no","agentic pipeline selecting models under concept drift for seismic debris-flow detection"
"doi:10.51219/urforum.2024.oluwatimilehin-odubola","out","","","not-geoscience","no","general disaster response coordination"
"doi:10.5281/zenodo.19361485","out","","","not-a-source","no","podcast episode"
"doi:10.5281/zenodo.19054913","out","","","not-geoscience","no","agent memory architecture; 'terrain' is metaphorical"
"title:computationalcomparativeanalysisofglobalwaterlegislationannlpandllmbasedframeworkforcrossjurisdictionalpolicyassessment","out","","","not-geoscience","no","water law and policy text analysis"
"doi:10.36227/techrxiv.175979241.11582889/v1","in","context","reservoir_engineering","","no","explainability requirements for agentic AI in well test interpretation and reservoir workflows"
"doi:10.2118/234989-ms","in","context","reservoir_engineering","","no","agentic AI answering ad-hoc cross-domain questions over asset management data"
"doi:10.2523/iptc-25245-ms","in","context","reservoir_engineering","","no","discipline-specific agents as a subsurface technical advisory assistant"
"doi:10.2118/230751-ms","in","context","reservoir_engineering","","no","hybrid physics and AI agents for real-time stuck pipe risk across sticking mechanisms"
"doi:10.5194/egusphere-egu26-10918","in","context","geological_modelling","","no","EGU abstract; human-in-the-loop LLM workflow turning unstructured logs into 3D model inputs"
"doi:10.2118/0226-0003-jpt","out","","","not-agentic","no","general industry editorial; agents mentioned in passing, no system"
"doi:10.20944/preprints202510.1990.v1","out","","","not-geoscience","no","curriculum design for rare earth elements education"
"doi:10.1109/caibda65784.2025.11182767","in","core","mining","","no","LLM agent automating mineralization prediction via function calling over preprocessing, model selection, training and visualisation"
"doi:10.2139/ssrn.6515171","in","context","engineering_geology","","no","MAS-LAND multi-agent post-event landslide detection and response"
"doi:10.48550/arxiv.2606.10286","in","core","mining","","no","Sim2Schedule; simulator-guided LLM scheduling for open-pit mines, MILP baseline"
"doi:10.5281/zenodo.19078874","in","core","geological_modelling","","no","GeoSAGE code and notebooks; multi-agent workflow for joint gravity-magnetic inversion and geological reasoning"
"doi:10.5281/zenodo.19958815","out","","","duplicate","no","third GeoSAGE deposit of the same project as zenodo.19078874"
"doi:10.1016/j.autcon.2025.106257","in","core","engineering_geology","","no","multimodal multi-agent framework for geotechnical design; no abstract in the harvest, admitted on title and venue"
"doi:10.1016/j.watres.2026.125886","in","core","hydrogeology","","no","physics-integrated LLM multi-agent framework for autonomous groundwater inverse modelling; no abstract in the harvest"
"doi:10.3390/su18021014","out","","","not-geoscience","no","disaster response coordination platform; the geoscience is upstream of the system"
"doi:10.1109/acait63902.2024.11022201","in","context","seismology","","no","LangChain-based earthquake emergency decision assistance system"
"doi:10.2139/ssrn.5340542","out","","","duplicate","no","SSRN preprint of the Soils and Foundations landslide reconstruction paper"
"doi:10.1061/9780784485989.006","out","","","not-agentic","no","benchmark of chat LLMs as a geotechnical assistant; prompt in, text out"
"doi:10.2118/222053-ms","in","context","reservoir_engineering","","no","multi-modal geoscience copilot spanning document analysis, consultation and workflow planning"
"doi:10.20965/jdr.2025.p0386","out","","","not-agentic","no","performance comparison of LLMs at spatial information integration"
"doi:10.1016/j.petsci.2026.05.031","in","core","inversion","","no","LLM AI agent orchestrating well logging data processing, feature construction and parameter inversion"
"doi:10.2118/229506-ms","in","context","reservoir_engineering","","no","multi-agent retrieval augmented generation for oil and gas question answering"
"doi:10.1016/j.sandf.2026.101789","in","core","engineering_geology","","no","LLM agentic reconstruction of urban landslide events from multimodal data"
"doi:10.48550/arxiv.2607.24984","in","core","seismology","","no","LLM-driven knowledge graph construction and querying over earthquake catalogs; agentic status to be confirmed on full text"
"doi:10.5281/zenodo.21768634","in","core","seismology","","no","ESHM20-MCP; MCP server exposing European seismic hazard and risk models as 24 typed agent endpoints over OpenQuake"
"doi:10.32604/cmes.2026.084591","out","","","not-geoscience","no","earthquake engineering review; structural response rather than solid-earth geoscience"
"doi:10.2118/229682-ms","in","context","reservoir_engineering","","no","position paper on agentic AI in upstream"
"title:integratingaiagentsintobimforarchitecturaldesignsupportatorsionaleccentricityassessmentcase","out","","","not-geoscience","no","BIM architectural design compliance"
"doi:10.5281/zenodo.21833139","out","","","not-geoscience","no","theoretical note on agent perception"
"doi:10.5281/zenodo.21478284","out","","earth_observation","periphery","no","cross-domain environmental anomaly detection over satellite and weather streams"
"doi:10.5281/zenodo.19035711","out","","","not-a-source","no","podcast episode; 'seismic shift' metaphor"
"doi:10.48550/arxiv.2607.16249","out","","","duplicate","no","arXiv preprint of the npj natural hazards agentic PSHA interface"
"doi:10.1016/j.gsf.2026.102445","in","context","seismology","","no","geospatial GPT framework automating earthquake building vulnerability assessment in GIS"
"doi:10.48550/arxiv.2608.13889","in","core","seismology","","no","consensus-gated multi-agent neural architecture search for seismic fault segmentation; LLM involvement to be confirmed on full text"
"doi:10.26190/unsworks/32312","out","","","not-geoscience","no","water and wastewater treatment plant digital twins"
"doi:10.2118/227420-ms","in","context","reservoir_engineering","","no","LLM assistant over historical drilling documents for well planning"
"doi:10.2118/227906-ms","in","context","reservoir_engineering","","no","LLMs wrapped around drilling hazard detection to produce context-informed recommended actions"
"doi:10.2118/0925-0003-jpt","in","context","reservoir_engineering","","no","JPT survey of deployed generative AI applications in the oil field"
"arxiv:2602.10986","out","","","not-geoscience","no","tool-value caching for agent post-training"
"doi:10.5281/zenodo.19313733","out","","","not-geoscience","no","agent temporal drift measurement; CCS acronym collision"
"doi:10.48550/arxiv.2608.21976","out","","","not-geoscience","no","agentic framework for mechanical engineering design"
"doi:10.1145/3793302.3793560","out","","","not-geoscience","no","industrial code annotation; CCS is the ACM concepts header"
"doi:10.3997/2214-4609.202620128","in","context","mining","","no","AI agent framework over the GEOH5 data structure for mineral exploration"
"doi:10.12677/ces.2026.143190","out","","","not-geoscience","no","English-for-specific-purposes teaching agent"
"doi:10.1016/j.oregeorev.2026.107477","in","core","mining","","no","LLM-assisted geological unit harmonisation and map generalisation with copper occurrence overlay"
"doi:10.1016/j.cacaie.2026.100079","in","core","engineering_geology","","no","uncertainty-aware multi-agent system for real-time geotechnical analysis in tunnelling"
"doi:10.1016/j.autcon.2025.106421","out","","","duplicate","no","corrigendum to Automation in Construction 106257"
"doi:10.1016/j.geoai.2026.100106","in","context","engineering_geology","","no","report on six teams building agentic geotechnical workflows at the 2nd GeoTechathon"
"doi:10.1130/abs/2025am-11110","out","","","not-agentic","no","ontology-guided knowledge graph construction; GSA abstract, extraction only"
"doi:10.2139/ssrn.5520018","in","context","geological_modelling","","no","LLM data automation for 3D geological model updating; no abstract in the harvest"
"title:chatwithpointllmdrivenvisualquestionansweringforinsarbaseddisastermanagement","out","","earth_observation","periphery","no","InSAR persistent-scatterer interpretation; remote sensing product"
"doi:10.1016/j.jgsce.2024.205469","in","context","reservoir_engineering","","no","review of artificial general intelligence for the upstream geoenergy industry"
"doi:10.1109/access.2025.3586370","out","","","not-agentic","no","three-level prompt engineering for earthquake knowledge extraction into a graph"
"doi:10.1190/tle44020142.1","in","core","seismology","","no","LLM-based autonomous agent driving seismic processing software through geophysical workflows"
"doi:10.2118/221883-ms","in","context","reservoir_engineering","","no","methodology for tuning generative AI and agents to drilling data"
"doi:10.2118/224571-ms","out","","","not-agentic","no","in-house extraction code over frac documents; no decision loop"
"doi:10.3997/2214-4609.202410350","in","context","seismology","","no","ReAct-framework seismic processing chatbot selecting operations and parameters through Python tool wrappers"
"doi:10.2118/226728-ms","in","context","reservoir_engineering","","no","SPE original of the multiagent offshore surveillance system summarised in JPT 0326-0015"
"doi:10.2118/228117-ms","in","context","reservoir_engineering","","no","agentic research assistant for well planning, measured over two summers"
"doi:10.20517/aiagent.2026.11","out","","","not-geoscience","no","molten catalyst design for methane pyrolysis"
"doi:10.48550/arxiv.2603.21152","in","core","seismology","","no","TRACE multi-agent system for autonomous physical reasoning over earthquake sequences"
"doi:10.19987/j.dzkxjz.2025-081","out","","","not-agentic","no","Neo4j knowledge graph question answering for network operations"
"doi:10.21275/sr26705204512","out","","","not-geoscience","no","programming education study"
"doi:10.5281/zenodo.20520987","out","","","not-agentic","no","spectral analysis library; no language model in a decision loop"
"doi:10.5281/zenodo.21300269","out","","","not-geoscience","no","technology law commentary"
"doi:10.21275/sr25217143039","out","","","not-geoscience","no","pharmaceutical business white paper; 'seismic shift' metaphor"
"doi:10.22564/19cisbgf2025.463","in","context","seismology","","no","distributed computing plus agentic framework for petabyte-scale subsurface data"
"doi:10.1016/j.hazadv.2026.101103","out","","","not-agentic","no","semi-automated LLM scoring of PFAS dataset quality"
"doi:10.1016/s1876-3804(26)60734-3","in","core","inversion","","no","role-based multi-agent system with human in the loop for well log interpretation; agents, tools and environment"
"doi:10.2118/233425-ms","in","context","reservoir_engineering","","no","OCR plus LLM assistant generating drilling, completion and surface network designs at scale"
"doi:10.2118/229423-ms","in","context","reservoir_engineering","","no","multi-agent geophysical workflow for reservoir characterisation"
"doi:10.29121/jissi.v2.i2.2026.35","out","","","not-geoscience","no","veterinary and health data analytics education"
"doi:10.2118/229646-ms","in","context","reservoir_engineering","","no","LLM-empowered automated reservoir agent for reservoir management"
"doi:10.3997/2214-4609.202539053","out","","","not-agentic","no","prompted LLM analysis of drilling text; no decision loop"
"doi:10.5281/zenodo.21731397","out","","","not-geoscience","no","self-evolving agent with MCP tools; security domain"
"doi:10.1109/geoinformatics67279.2025.11173529","out","","","not-agentic","no","spatiotemporal knowledge graph construction for carbon flux"
"doi:10.22214/ijraset.2025.75808","out","","","not-geoscience","no","last-mile multilingual advisory delivery; the geoscience is upstream of the system"
"doi:10.1109/access.2024.3480250","out","","","not-geoscience","no","general visual anomaly detection"
"doi:10.1016/j.jag.2025.104527","out","","","not-agentic","no","LLM-driven knowledge representation for geospatial digital twins; construction and query, no loop"
"doi:10.1109/cvpr52734.2025.01849","out","","","not-geoscience","no","visual hallucination evaluation dataset"
"doi:10.3390/min16010050","out","","","not-agentic","no","ontology-guided LLM text-to-knowledge-graph transformation"
"doi:10.3997/2214-4609.2025101096","in","context","seismology","","no","agentic AI autonomously managing data ingestion and model retraining for subsurface prediction"
"doi:10.1190/tle44020078.1","out","","","not-a-source","no","introduction to a special section"
"doi:10.2118/229346-ms","in","context","inversion","","no","GenAI orchestration layer giving non-specialists natural-language access to petrophysical log tools"
"doi:10.3390/en18215632","out","","","not-geoscience","no","techno-economic analysis of anaerobic digestion"
"doi:10.4491/eer.2026.089","out","","","not-geoscience","no","air pollution AI review"
"doi:10.1016/j.autcon.2026.107055","in","core","engineering_geology","","no","AI agent for geological forecasting and risk control in rock tunnelling; no abstract in the harvest"
"doi:10.2523/iptc-25138-ms","in","context","reservoir_engineering","","no","AI-driven drill bit forensics with agentic automation"
"doi:10.67704/oep.2025.250012","in","context","seismology","","no","distributed acoustic sensing system exposed to AI agents for intelligent response"
"arxiv:2511.19865","out","","","not-geoscience","no","6G embodied intelligence networks"
"title:whenagenticaimeetsdataprotectionlawafundamentalmismatch","out","","","not-geoscience","no","data protection law; 'seismic shift' metaphor"
"doi:10.6084/m9.figshare.32156774.v1","out","","","not-geoscience","no","generic disaster prediction and response in cloud-edge networks"
"doi:10.15662/ijarcst.2026.0903007","out","","","not-geoscience","no","insurance analytics"
"doi:10.1145/3786167.3788422","out","","","not-geoscience","no","agentic software engineering vision paper; 'seismic' metaphor"
"doi:10.5194/isprs-archives-l-4-w1-2026-159-2026","out","","","not-agentic","no","GIS and ensemble machine learning for multi-hazard risk; no decision loop"
"doi:10.5281/zenodo.18371320","out","","","not-a-source","no","unstructured compilation document"
"doi:10.1016/j.pdisas.2026.100571","out","","","not-agentic","no","controlled comparison of LLM disaster assessments; prompt in, text out"
"arxiv:2605.00829","out","","","not-geoscience","no","social media situational signal uncertainty"
"arxiv:2602.21212","out","","","not-agentic","no","disaster question answering with LoRA fine-tuning"
"doi:10.1111/gwat.70067","out","","","not-agentic","no","NLP extraction from groundwater documents"
"doi:10.13140/rg.2.2.28926.65602","in","context","reservoir_engineering","","no","multi-agent reinforcement learning with agentic AI for Volve production optimisation; no abstract in the harvest"
"doi:10.2118/229716-ms","in","context","reservoir_engineering","","no","AI agent for real-time drill bit selection"
"doi:10.3997/2214-4609.202535055","out","","","pre-llm-only","no","CausX causal AI agent; no language model component stated"
"doi:10.1109/icftic68075.2025.11324812","in","context","reservoir_engineering","","no","knowledge-system-driven evolving agent architecture for exploration and production"
"doi:10.5281/zenodo.22054447","out","","","not-geoscience","no","agent verification MCP server; CCS acronym collision"
"doi:10.5281/zenodo.21783722","out","","","not-geoscience","no","agent runtime verification framework; CCS acronym collision"
"doi:10.5281/zenodo.22057050","out","","","not-geoscience","no","cryptographic agent behaviour protocol"
"doi:10.5281/zenodo.21513650","out","","","not-geoscience","no","tamper-evident agent authorisation audit trails"
"doi:10.20944/preprints202609.0201.v1","out","","","not-geoscience","no","explainability benchmark for energy-system edge agents"
"doi:10.1145/3719027.3767663","out","","","not-a-source","no","workshop front matter"
"arxiv:2607.18557","in","core","ccs","","no","AGENTS4GEOS agentic platform generating and managing multi-physics CO2 storage simulation datasets for surrogate training"
"doi:10.2118/0725-0006-jpt","out","","","not-agentic","no","interview article"
"doi:10.5281/zenodo.19361183","out","","","not-a-source","no","podcast episode"
"doi:10.22541/au.177188048.80779493/v2","out","","","not-geoscience","no","LLMs in museums"
"doi:10.1007/s10462-026-11637-z","in","context","geological_modelling","","no","review of geoscience-oriented LLMs, their tasks and evaluation needs"
"doi:10.56726/irjmets86671","out","","","not-geoscience","no","generic disaster alerting service"
"doi:10.1109/cieec60922.2024.10583297","out","","","pre-llm-only","no","support vector regression with a metaheuristic optimiser called an agent model"
"doi:10.5281/zenodo.21512815","out","","","not-agentic","no","multimodal landslide response pipeline; no decision loop"
"doi:10.3997/2214-4609.202639113","in","context","geological_modelling","","no","geological modelling agent generating realisations for static model uncertainty assessment"
"doi:10.5194/epsc2026-883","out","","planetary","periphery","no","lunar swirl analysis with a multimodal transformer"
"doi:10.1111/modl.12930","out","","","not-geoscience","no","language education essay"
"doi:10.2118/0423-0008-jpt","out","","","not-agentic","no","commentary on chat LLMs"
"doi:10.4043/35625-ms","in","context","reservoir_engineering","","no","generative AI pipeline for daily mud report processing; predecessor of SPE 230772"
"doi:10.48550/arxiv.2411.13239","out","","","not-geoscience","no","hybrid cloud infrastructure white paper"
"doi:10.1145/3720554.3736184","out","","","not-geoscience","no","provenance auditing for web science"
"doi:10.1061/nhrefo.nheng-2256","out","","","not-agentic","no","NLP-assisted reconnaissance reporting"
"doi:10.2118/225325-ms","in","context","reservoir_engineering","","no","position paper on multi-agent AI teams in petroleum engineering"
"doi:10.1038/s44387-026-00106-1","out","","","not-geoscience","no","metal-organic framework property prediction; materials chemistry"
"doi:10.3724/j.issn.1007-2802.20260008","out","","","not-agentic","no","LLM-built prospecting knowledge graph; extraction only"
"doi:10.1021/acs.accounts.6c00187","out","","","not-geoscience","no","upconverting nanoparticle chemistry; 'subsurface imaging' is optical"
"doi:10.5281/zenodo.19354173","out","","","not-a-source","no","podcast episode"
"doi:10.48550/arxiv.2605.20539","out","","","not-agentic","no","open seismic and well-log dataset release"
"doi:10.1038/s41598-025-23044-5","out","","","not-agentic","no","fine-tuned visual foundation model for fault interpretation; no decision loop"
"doi:10.25781/kaust-x37tz","out","","","not-agentic","no","deep learning pipeline for seismic processing and velocity model building"
"doi:10.2118/230773-ms","in","context","reservoir_engineering","","no","high-level evaluation of language-based and agentic AI across drilling"
"doi:10.2118/229358-ms","out","","","not-geoscience","no","occupational knee joint health simulation"
"doi:10.3997/1365-2397.fb2026014","in","context","reservoir_engineering","","no","semantic enrichment of unstructured OSDU records as an agent-ready foundation"
"doi:10.82419/426","out","","","not-agentic","no","time-series language model for drilling sensor data; no decision loop"
"doi:10.5281/zenodo.18819639","out","","","not-geoscience","no","software release notes for a coding agent"
"doi:10.1515/icom-2025-0053","out","","","not-geoscience","no","user study of tool-calling confirmation strategies"
"doi:10.20944/preprints202607.2303.v1","in","context","mining","","no","review of AI methods and foundation models for mineral exploration"
"doi:10.26153/tsw/62180","in","context","engineering_geology","","no","X2Sim; rapid digital twin creation for landslide, flood and storm surge modelling on HPC"
"doi:10.56952/igs-2025-0391","in","core","geomechanics","","no","Geo-Resource Agent; LangGraph agent over a domain toolbox for reservoir and mechanical earth model characterisation"
"doi:10.22541/au.175407961.15590722/v1","out","","ocean","periphery","no","speculative deep-sea AGI architecture"
"doi:10.4337/clpd.2025.0004","out","","","not-geoscience","no","competition law primer"
"doi:10.1016/j.petsci.2025.08.018","out","","","not-agentic","no","segment-anything bubble segmentation"
"title:artificialintelligenceingeoscienceapplicationsaimodelsforseismicdenoisingearthquakesourcecharacterizationandgroundmotion","out","","","not-agentic","no","deep learning thesis on seismic denoising and source characterisation"
"doi:10.20944/preprints202606.1741.v1","out","","","not-agentic","no","hybrid deep learning prediction of tunnel lining thickness"
"doi:10.5281/zenodo.17650213","out","","","not-a-source","no","speculative cosmology deposit"
"doi:10.2118/0526-0001-jpt","out","","","not-agentic","no","society president's column"
"doi:10.5281/zenodo.17666734","out","","","not-a-source","no","speculative cosmology deposit"
"doi:10.5281/zenodo.18972263","out","","","not-a-source","no","podcast episode"
"doi:10.1162/daed.a.995","in","context","reservoir_engineering","","no","essay on scaling physics-based AI for the subsurface"
"doi:10.1525/rep.2025.172.12.173","out","","","not-a-source","no","poem"
"doi:10.48550/arxiv.2608.18272","in","core","seismology","","no","SeisEvo; agents evolving seismic data reconstruction algorithms as inspectable operators"
"doi:10.21203/rs.3.rs-8118076/v1","in","context","seismology","","no","Telegram bot automating OpenQuake ground-motion intensity estimation with AI interpretation"
