"identity_key","decision","tier","subfield","cut_reason","from_audit_sample","note"
"doi:10.1063/5.0257555","in","core","solver_control","","no","OpenFOAMGPT; retrieval-augmented LLM agent for OpenFOAM CFD"
"doi:10.18653/v1/2025.findings-naacl.420","out","","computational_discovery","no-simulation-target","no","goal-driven LLM agents generating materials hypotheses as text; nothing is simulated"
"doi:10.1038/s43246-025-00994-x","in","core","computational_discovery","","no","MatSciAgent; master agent routing to continuum simulation, crystal structure generation and molecular dynamics"
"doi:10.1002/aic.70488","out","","simulation_orchestration","duplicate","no","AIChE Journal version of record of doi:10.48550/arxiv.2603.12813; the publisher returned HTTP 403, and the readable preprint is admitted instead"
"doi:10.48550/arxiv.2602.04850","in","core","computational_discovery","","no","El Agente Quntur; research collaborator agent driving quantum chemistry software"
"arxiv:2604.18233","in","core","simulation_general","","no","Aether; agentic AI validating network changes against a network digital twin"
"doi:10.48550/arxiv.2506.03543","out","","simulation_orchestration","no-simulation-target","no","CogniPair; cognitive digital twins of people for dating and hiring, no engineering or physical model"
"title:mechanicaldesignusingmultiphysicsagenticaivolume4advancedaiintegrationsinenergysystemstoolcouplingrloptimizationrealengi","out","","simulation_orchestration","not-a-source","no","volume 4 of a textbook series; teaching material, presents no system and no evaluation"
"doi:10.1109/ojcoms.2026.3724461","out","","simulation_orchestration","not-agentic","no","federated digital-twin expert selection for 6G vehicular edge; no LLM or foundation model decides anything in the abstract"
"doi:10.1039/d6dd00060f","in","core","simulation_orchestration","","no","text-to-flowsheet; LLM-assisted digitisation and automated simulation of chemical processes, benchmarked against experts"
"doi:10.2139/ssrn.6074109","in","core","solver_control","","no","SwarmFoam; OpenFOAM multi-agent system mixing several model types"
"arxiv:2607.05134","in","core","solver_control","","no","PDEFlow; agentic pipelines that configure and solve governing equations to train neural operators"
"arxiv:2605.14154","in","core","computational_discovery","","no","TSAgent; agentic workflow for autonomous transition state search with heterogeneous failure modes"
"doi:10.20944/preprints202605.2011.v1","out","","simulation_general","no-simulation-target","no","survey of automated optimisation of LLM multi-agent systems; the object optimised is the agent system"
"doi:10.5194/egusphere-egu25-16905","out","","scientific_computing","no-simulation-target","no","FrevaGPT copilot analyses and plots climate model output in JupyterLab; it does not drive the model"
"doi:10.48550/arxiv.2511.00122","in","core","solver_control","","no","Engineering.ai; teams of AI engineers in computational design, successor to OpenFOAMGPT"
"doi:10.5281/zenodo.21854862","in","context","scientific_computing","","no","AOBench; benchmark for LLM agents operating HPC systems - job scheduling and telemetry for scientific codes, thin on any single simulator"
"doi:10.48550/arxiv.2507.14267","in","core","computational_discovery","","no","DREAMS; hierarchical multi-agent DFT framework with verification against agents gaming checks"
"doi:10.1063/5.0294696","in","core","solver_control","","no","CFDAgent; zero-shot multi-agent preprocessing, solver and postprocessing agents for flow simulation"
"doi:10.1145/3731599.3767401","out","","software_engineering","periphery","no","agentic AI versus ML autotuning for loop reordering; the artefact is source code"
"doi:10.5281/zenodo.22230054","out","","software_engineering","periphery","no","position piece on the research software engineer role under generative and agentic AI"
"arxiv:2605.23273","in","core","solver_control","","no","self-refining LLM multi-agent topology optimisation"
"doi:10.1109/access.2024.3415470","out","","simulation_orchestration","no-simulation-target","no","LLM agents generate Asset Administration Shell semantic models; the artefact is an interoperability data model, nothing is simulated"
"doi:10.48550/arxiv.2512.06404","in","core","computational_discovery","","no","GENIUS; agentic workflow over a Quantum ESPRESSO knowledge graph designing and executing simulation protocols"
"doi:10.48550/arxiv.2504.08846","out","","solver_control","no-simulation-target","no","AI University; RAG course assistant for a finite element course, it answers questions rather than running a solver"
"doi:10.48550/arxiv.2512.13930","in","core","computational_discovery","","no","MASTER; active learning framework where LLMs design, execute and interpret atomistic simulations"
"doi:10.65713/ijaraiv13i1210","out","","simulation_orchestration","no-simulation-target","no","perspective on foundation models and digital twins in precision oncology; no simulator, solver or model driven"
"doi:10.2196/preprints.87374","in","context","simulation_general","","no","agentic and ontology-guided construction of diabetes progression simulations from public health data; preprint, thin on the interface"
"doi:10.48175/ijarsct-11962a","out","","simulation_general","no-simulation-target","no","explainable multi-agent analytics across retail, finance and networking; simulation named but nothing is driven"
"arxiv:2603.23884","out","","simulation_general","no-simulation-target","no","POSIM; the LLM agents are themselves the simulated population, there is no external engine they drive"
"doi:10.48550/arxiv.2605.24002","in","core","computational_discovery","","no","AtomisticSkills; open-source harness giving general coding agents atomistic research capability"
"arxiv:2605.26179","in","core","computational_discovery","","no","AutoDFT; closed-loop multi-agent framework adjusting algorithms when DFT convergence stalls"
"arxiv:2607.19822","out","","simulation_general","duplicate","no","earlier arXiv version of WARA, same system and near-identical abstract as doi:10.48550/arxiv.2608.14573 which is admitted"
"doi:10.5281/zenodo.21841883","in","context","scientific_computing","","no","artifact record for an SC26 workshop paper on static diagnosis of HPC simulation setup errors for AI agents"
"doi:10.48550/arxiv.2509.10210","in","core","computational_discovery","","no","multi-agent framework planning molecular simulations, assembling force fields, executing and interpreting"
"doi:10.1109/ipdps65963.2026.00114","in","core","scientific_computing","","no","federated agents deployed and managed across scientific computing resources"
"doi:10.20944/preprints202607.0644.v1","out","","computational_discovery","not-agentic","no","mini-review of AI for advanced materials; the AI described predicts and designs, nothing in it plans or calls tools"
"doi:10.1109/mipro60963.2024.10569919","out","","simulation_orchestration","no-simulation-target","no","LLM agent retrieves and summarises data for a cognitive digital twin of a country; nothing is simulated"
"doi:10.1016/j.array.2026.100721","in","context","simulation_orchestration","","no","multilayer framework integrating agentic AI with digital twins including action execution; framework paper"
"doi:10.67294/knpyhb26","in","context","simulation_orchestration","","no","narrative literature review conceptualising cognitive and agentic digital twins; survey, not a system"
"doi:10.48550/arxiv.2608.15881","in","core","simulation_orchestration","","no","MOOSEnger; tool-enabled AI agent for the MOOSE multiphysics finite element framework"
"doi:10.48550/arxiv.2608.00937","out","","simulation_orchestration","no-simulation-target","no","governance framework verifying agent identity, capability and policy compliance; nothing is simulated"
"doi:10.1109/cai68641.2026.11536542","out","","simulation_orchestration","not-agentic","no","vision paper on a V2X transport digital twin; agentic AI is named as a future direction, nothing decides anything yet"
"doi:10.48550/arxiv.2609.00795","in","context","scientific_computing","","no","concept paper arguing agentic programs are a new form of scientific software; illustrated with DeMARS, no evaluation of its own"
"doi:10.26434/chemrxiv.15002405/v1","in","context","computational_discovery","","no","Q-planner; harness confining LLM calls to three stages and delegating tool dispatch and scheduling; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.2118/232332-ms","in","context","geoenergy_subsurface","","no","agentic AI driving geothermal reservoir simulation and surrogate-based optimisation for site screening; demoted core->context at the step 3a handoff: full text blocked, not in the local PDF store"
"doi:10.1109/sci68648.2025.11333875","in","context","scientific_computing","","no","CoMAS-HPC; multi-agent HPC administration, the artefact is cluster operations rather than a simulation"
"doi:10.3389/frma.2025.1595824","out","","scientific_computing","no-simulation-target","no","essay on open science under generative AI; no system and no simulation target"
"doi:10.1145/3770855.3818856","in","core","optimisation_uq","","no","Battery-Sim-Agent; LLM agent reframing inverse battery parameter estimation against a physics model"
"doi:10.48550/arxiv.2604.22571","in","core","scientific_computing","","no","LARA; validation-driven agentic supercomputer workflows for atomistic modelling"
"doi:10.48550/arxiv.2604.11945","in","core","geoenergy_subsurface","","no","AutoSurrogate; multi-agent construction of deep learning surrogates for subsurface flow; system_id shared with 01 run"
"arxiv:2605.00803","in","context","scientific_computing","","no","benchmark asking whether general coding agents can reproduce computational materials science findings"
"doi:10.1021/acs.chemrev.6c00154","out","","lab_automation","periphery","no","review of AI for materials discovery ending in autonomous experimental realisation; self-driving laboratory literature"
"doi:10.48550/arxiv.2409.11363","in","context","scientific_computing","","no","CORE-Bench; benchmark of agents reproducing published computational results by running the authors' code"
"doi:10.20381/ruor-31909","out","","simulation_orchestration","no-simulation-target","no","emotion-aware digital twin for personalised therapy; no engineering or physical model driven"
"doi:10.5281/zenodo.22145004","out","","solver_control","no-simulation-target","no","a chain-of-thought protocol document for empirical inquiry; no system and no simulation target"
"arxiv:2607.18485","in","context","scientific_computing","","no","security benchmark for LLM agents acting under user credentials on HPC, including inspecting simulation output"
"arxiv:2607.11084","in","core","scientific_computing","","no","NVAITC AI Scientist; governed end-to-end agentic research system with a GWAS case study"
"title:atestbedframeworkforestimatingtheenvironmentalimpactofagenticaiworkflowsinhpc","out","","scientific_computing","no-simulation-target","no","life-cycle assessment of the environmental impact of agentic AI workflows; measures the agents, drives no model"
"doi:10.26434/chemrxiv.15007941/v1","in","context","simulation_general","","no","MCP server exposing Tanabe-Sugano diagram computation as a conversational scientific tool; demoted core->context at step 4: full text unreadable, see paywalled.md"
"arxiv:2604.02688","in","core","computational_discovery","","no","MatClaw; code-first agent writing and executing Python to orchestrate multi-code workflows on remote HPC clusters"
"doi:10.2139/ssrn.6942178","in","context","computational_discovery","","no","closed-loop LLM-guided molecular dynamics screening of medium-entropy alloys; demoted core->context at step 4: full text unreadable, see paywalled.md"
"doi:10.1002/csc3.70015","out","","computational_discovery","not-agentic","no","review of generative and screening AI for energy materials; nothing plans or calls tools"
"doi:10.1016/j.jmsy.2025.03.022","out","","simulation_orchestration","no-simulation-target","no","multi-agent LLM interprets real-time and historical factory machine data through an IIoT digital twin; retrieval and interpretation only"
"doi:10.1007/s44212-025-00099-3","in","context","simulation_orchestration","","no","conceptual proposal for agentic urban digital twins with human-AI co-learning agents"
"doi:10.26434/chemrxiv.15001581/v1","out","","simulation_orchestration","duplicate","no","ChemRxiv preprint of the same paper as doi:10.1039/d6dd00060f, which is admitted as the version of record"
"doi:10.1145/3774748.3776593","out","","simulation_orchestration","not-agentic","no","overview of combining digital twins and AI agents; presents no system that decides anything"
"doi:10.54941/ahfe1007674","in","context","simulation_orchestration","","no","agentic LLMs creating and validating causal models for system health digital twins; conference paper, thin"
"doi:10.48550/arxiv.2608.11679","out","","simulation_orchestration","no-simulation-target","no","AgenticTwin; LLM reasoning explains anomalies detected in digital twin pipelines, it does not drive the twin"
"doi:10.1109/tii.2026.3669495","in","context","solver_control","","no","ModSolAgent; LLM agent generating finite element simulation scripts for Abaqus; demoted core->context at the step 3a handoff: full text blocked, not in the local PDF store"
"doi:10.48550/arxiv.2512.09209","in","context","optimisation_uq","","no","LLM co-evolves swarm optimisation algorithms and the prompts guiding them; the agent designs the optimiser rather than driving an existing one"
"doi:10.36227/techrxiv.175979241.11582889/v1","in","context","geoenergy_subsurface","","no","position piece on explainability as a precondition for agentic AI adoption in subsurface workflows"
"doi:10.2523/iptc-25245-ms","out","","geoenergy_subsurface","no-simulation-target","no","discipline-specific advisory assistant over technical literature and procedures; petrotechnical software named but not driven"
"arxiv:2409.00853","out","","simulation_general","no-simulation-target","no","JaxLife; the evolved agents are themselves the simulation, there is no external engine they drive"
"doi:10.5281/zenodo.21721947","out","","simulation_general","no-simulation-target","no","LLM personas used as simulated survey respondents; no simulator, solver or model driven"
"doi:10.36347/sjet.2025.v13i12.006","out","","simulation_orchestration","not-agentic","no","pan-disciplinary review of data science and AI; presents no system that decides anything"
"arxiv:2606.18425","in","core","scientific_computing","","no","AI-assisted scientific workflow management; agents generate workflow specifications rather than raw code"
"arxiv:2512.23010","in","core","computational_discovery","","no","Masgent; unifies preparation, execution and analysis of DFT and machine-learning-potential simulations on HPC"
"doi:10.48550/arxiv.2401.17244","out","","computational_discovery","no-simulation-target","no","LLaMP; ReAct-style retrieval-augmented generation over materials data, the abstract describes retrieval and distillation rather than driving a simulator"
"doi:10.1016/j.taml.2025.100623","in","core","solver_control","","no","OpenFOAMGPT extended to further models; same system as doi:10.1063/5.0257555, share system_id"
"doi:10.48550/arxiv.2602.00185","in","core","computational_discovery","","no","QUASAR; universal autonomous system for atomistic simulation with its own capability benchmark"
"doi:10.1145/3788149.3788227","out","","software_engineering","periphery","no","agentic LLM pipelines for packaging and reproducing scientific software environments; the artefact is software"
"doi:10.48550/arxiv.2602.17886","in","core","computational_discovery","","no","El Agente Solido; agentic design, execution and troubleshooting of solid state first-principles workflows"
"doi:10.26190/unsworks/32312","in","context","simulation_orchestration","","no","doctoral thesis on digital twins for water and wastewater treatment; agentic copilots named, the thesis is about the twin infrastructure"
"doi:10.48550/arxiv.2504.08621","in","core","solver_control","","no","MooseAgent; multi-agent automation of MOOSE pre-processing, solver configuration and post-processing"
"doi:10.1145/3708035.3736023","out","","software_engineering","periphery","no","multi-agent automation of HPC software compilation, deployment and error resolution; the artefact is builds"
"doi:10.2139/ssrn.6547019","out","","scientific_computing","no-simulation-target","no","agentic AI fitting and interpreting XPS spectra; the artefact is measurement data analysis"
"doi:10.1038/s41598-025-92337-6","in","core","computational_discovery","","no","fine-tuned LLM agent generating molecular dynamics code to obtain thermodynamic parameters"
"doi:10.1609/aaai.v39i28.35373","in","context","simulation_orchestration","","no","agentic LLMs autonomously selecting tools and data streams for a shipping digital twin"
"doi:10.48550/arxiv.2509.20705","out","","lab_automation","periphery","no","BIM2RDT; agentic framework turning building information models into robot-ready site twins for field operations"
"doi:10.5194/egusphere-egu25-19197","out","","simulation_orchestration","duplicate","no","EGU abstract with near-identical text to doi:10.1609/aaai.v39i28.35373, which is admitted"
"doi:10.65713/ijaraiv14i1225","out","","simulation_orchestration","no-simulation-target","no","review of cancer digital twins; no agent drives a simulator, solver or model"
"doi:10.65713/ijaraiv14i1216","out","","simulation_orchestration","no-simulation-target","no","review of foundation models and digital twins in oncology; no agent drives a simulator, solver or model"
"doi:10.48550/arxiv.2504.06260","in","core","solver_control","","no","FEABench; benchmark of LLMs and LLM agents solving engineering problems through finite element analysis"
"doi:10.65713/ijaraiv14i1212","out","","simulation_orchestration","no-simulation-target","no","review of oncology digital twins; no agent drives a simulator, solver or model"
"doi:10.65713/ijaraiv14i1218","out","","simulation_orchestration","no-simulation-target","no","review of digital twin enabled precision oncology; no agent drives a simulator, solver or model"
"arxiv:2603.25898","in","context","simulation_orchestration","","no","design principles for resilience and human oversight in LLM-assisted construction of executable digital twins"
"doi:10.5281/zenodo.19910215","out","","simulation_orchestration","duplicate","no","code record for the Text-to-Flowsheet paper already admitted as doi:10.1039/d6dd00060f"
"doi:10.3778/j.issn.1673-9418.2508051","in","context","solver_control","","no","AutoCode4OF; multi-agent generation of OpenFOAM graphical interface code from multimodal inputs"
"arxiv:2604.01520","out","","simulation_general","no-simulation-target","no","S-Researcher; LLM agents stand in for human participants in social science studies"
"arxiv:2607.06080","out","","simulation_general","no-simulation-target","no","SocaSim; LLM agents are themselves the simulated society, there is no external engine"
"doi:10.18653/v1/2026.findings-acl.188","out","","software_engineering","periphery","no","Apeiron; autonomous application synthesis, the artefact is software"
"doi:10.48550/arxiv.2603.03372","in","core","computational_discovery","","no","TritonDFT; multi-agent full workflow automation with accuracy-cost trade-off optimisation in DFT configuration"
"doi:10.5281/zenodo.21841882","in","context","scientific_computing","","no","artifact record for a second SC26 workshop paper on domain tools for diagnosing HPC simulation setup errors"
"doi:10.1002/adma.202515941","out","","optimisation_uq","not-agentic","no","perspective on the history of materials informatics; nothing plans or calls tools"
"doi:10.20944/preprints202608.1323.v1","in","core","scientific_computing","","no","early experiences report using AI software agents on OLCF systems for molecular and materials simulation workflows"
"doi:10.5281/zenodo.20386682","out","","software_engineering","periphery","no","NoseSense; benchmarking tool for LLMs on software engineering tasks"
"doi:10.48550/arxiv.2608.26016","out","","optimisation_uq","not-agentic","no","review of Bayesian optimisation algorithms for self-driving laboratories; the decision engine is BO, not an LLM"
"arxiv:2609.03598","in","context","scientific_computing","","no","RASER; scheduling and execution runtime adapting Slurm to long-horizon agentic workflows"
"doi:10.1016/j.taml.2025.100594","in","core","solver_control","","no","NL2FOAM; fine-tuned domain LLM plus multi-agent system automating OpenFOAM from natural language; version of record read from the local store in v0.2, quotes verified unchanged"
"doi:10.1016/j.ecmx.2025.101329","out","","energy_systems","not-agentic","no","bibliometric review of AI and ML for smart grids; proposes hybrid frameworks but presents no acting system"
