"identity_key","title","authors","year","venue","first_query","n_queries_returning","subfield_guess","lineage_guess","highest_pass","cut_reason","abstract_stored"
"pmc_11597998","Detection and Monitoring of Mining-Induced Seismicity Based on Machine Learning and Template Matching: A Case Study from Dongchuan Copper Mine, China","not stated (title-level only)","not stated","PMC","2","1","2 seismology (secondary: 7 mining)","2 pre-llm","1","not agentic: ML detection pipeline, no agent/autonomy framing","no"
"doi_10.3390_s26113542","Safety-Constrained Reinforcement Learning for Energy-Aware Transmission Scheduling in Seismic Wireless Sensor Networks","not stated (title-level only)","2026","Sensors (MDPI)","2","1","2 seismology","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"pmc_10844195","Deep learning forecasting of large induced earthquakes via precursory signals","not stated (title-level only)","not stated","PMC","2","1","2 seismology","2 pre-llm","1","not agentic: forecasting model, no agent/autonomy framing","no"
"sciencedirect_S3050740526000024","A generalizable automated geophysical agent workflow for accessible subsurface hydrology analysis","not stated (title-level only)","not stated","ScienceDirect","3","4","3 hydrogeology (secondary: 9 subsurface characterisation)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"researchgate_389855223","Embracing Large Language Model (LLM) Technologies in Hydrology Research","not stated (title-level only)","not stated","ResearchGate (preprint/perspective)","3","1","3 hydrogeology","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"sciencedirect_S0043135426005683","Autonomous inverse modeling of complex groundwater systems via a physics-integrated large language model multi-agent framework","not stated (title-level only)","not stated","ScienceDirect (Water Research)","3","3","3 hydrogeology","1 llm","1","pass1 survivor; not selected for mechanics slice (ScienceDirect full text access untested this run; arXiv candidates prioritised for the PDF-download mechanics check)","no"
"arxiv_2508.02936","AQUAH: Automatic Quantification and Unified Agent in Hydrology","not stated","not stated","arXiv","3","1","3 hydrogeology","1 llm","3","admitted; mechanics-slice candidate A","full"
"sciencedirect_S1364815224000410","Agent-based models of groundwater systems: A review of an emerging approach to simulate the interactions between groundwater and society","not stated (title-level only)","not stated","ScienceDirect","3","1","3 hydrogeology","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2304.00116","Enhancing Large Language Models with Climate Resources","not stated (title-level only)","not stated","arXiv","3","1","out-of-scope","1 llm","1","out-of-scope: excluded domain (climate)","no"
"dl4water_hydrology-agent","Large Language Model (LLM) Agent in Hydrology","not stated (title-level only)","not stated","DL4Water (tutorial/course page)","3","1","3 hydrogeology","1 llm","1","non-primary source: tutorial/course page, not a paper","no"
"arxiv_2607.00436","PHREEQC-MCQ-200: A Diagnostic Benchmark for Tool-Augmented Scientific Simulator Agents","not stated (title-level only)","not stated","arXiv","3","1","3 hydrogeology (geochemistry-adjacent)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"researchgate_285187763","Closed Loop Reservoir Management","not stated (title-level only)","not stated","ResearchGate (SPE/journal reprint)","4","1","4 reservoir engineering","2 pre-llm","1","pass1 survivor; foundational/canonical reference candidate, not selected for mechanics slice (test-mode budget)","no"
"doi_10.1007_s10596-023-10255-w","Multi-Asset Closed-Loop Reservoir Management Using Deep Reinforcement Learning","not stated (title-level only)","2023","Computational Geosciences (Springer); preprint also at arXiv:2207.10376","4","3","4 reservoir engineering","2 pre-llm","1","pass1 survivor; initially earmarked for the mechanics slice but not actually fetched within the 20-call cap (corrected after a bookkeeping error - see RUN.md) - not selected for mechanics slice","no"
"purl_stanford_kc218fg2056","Deep reinforcement learning for practical closed-loop reservoir management","not stated (title-level only)","not stated","Stanford Digital Repository (thesis); mirrored on ResearchGate as 'Practical Closed-Loop Reservoir Management Using Deep Reinforcement Learning'","4","2","4 reservoir engineering","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"researchgate_330050767","A reinforcement learning approach for waterflooding optimization in petroleum reservoirs","not stated (title-level only)","not stated","ResearchGate","4","1","4 reservoir engineering","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"onepetro_25adip_792990","Agentic Framework for Intelligent Surrogate Modeling of Simulator-Driven Workflows","not stated (title-level only)","2025","SPE Abu Dhabi International Petroleum Exhibition and Conference (OnePetro)","5","2","5 geothermal (secondary: 4 reservoir engineering, 9 subsurface characterisation)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2607.18557","Agents4GEOS: Agentic Platform for Open-Source Multi-physics Simulation","not stated","not stated","arXiv","5","1","5 geothermal (secondary: 10 geological modelling)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2511.03852","Advancing Subsurface Discovery and Geothermal Monitoring with an Agentic Artificial Intelligence Framework","not stated","not stated","arXiv","5","2","5 geothermal","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"nvidia_blog_247simulationloops","24/7 Simulation Loops: How Agentic AI Keeps Subsurface Engineering Moving","not stated","not stated","NVIDIA Technical Blog (industry/vendor)","5","1","5 geothermal (secondary: 4 reservoir engineering)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2604.11945","AutoSurrogate: An LLM-Driven Multi-Agent Framework for Autonomous Construction of Deep Learning Surrogate Models in Subsurface Flow","not stated","not stated","arXiv","5","2","6 CCS (secondary: 10 geological modelling)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2509.13380","ASTREA: Introducing Agentic Intelligence for Orbital Thermal Autonomy","not stated","not stated","arXiv","5","1","out-of-scope","1 llm","1","out-of-scope: aerospace/orbital, keyword collision on 'thermal'","no"
"pmc_8742009","Monitoring geological storage of CO2 using a new rock physics model","not stated (title-level only)","not stated","PMC","6","1","6 CCS","2 pre-llm","1","not agentic: rock physics forward model, no agent/autonomy framing","no"
"sciencedirect_S0306261924022165","Agent-based modeling for multimodal transportation of CO2 for carbon capture, utilization, and storage: CCUS-agent","not stated (title-level only)","2024","ScienceDirect","6","1","6 CCS","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2605.02405","Closed-Loop CO2 Storage Control With History-Based Reinforcement Learning and Latent Model-Based Adaptation","not stated","not stated","arXiv","6","1","6 CCS","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget) - this row was omitted on first pass and added during the count-reconciliation check documented in RUN.md","no"
"arxiv_2508.11618","Optimal CO2 storage management considering safety constraints in multi-stakeholder multi-site CCS projects: a Markov game perspective","Jungang Chen; Seyyed A. Hosseini","not stated","arXiv","6","1","6 CCS","2 pre-llm","3","admitted; mechanics-slice candidate B; full-text extraction was only partially successful (see RUN.md and abstracts/arxiv_2508.11618.md)","snippet-only"
"sciencedirect_S0309170821001640","CCSNet: A deep learning modeling suite for CO2 storage","not stated (title-level only)","2021","ScienceDirect / arXiv:2104.01795 (preprint) / ResearchGate (mirror)","6","3","6 CCS","2 pre-llm","1","not agentic: deep-learning surrogate model, no agent/autonomy framing","no"
"globalccsinstitute_monitoring2025","The Monitoring of CO2 Geological Storage (September 2025 Perspective)","not stated","2025","Global CCS Institute (industry/consortium report)","6","1","6 CCS","n/a","1","not agentic: policy/perspective document, no agent/autonomy framing","no"
"sciencedirect_S1750583625002403","A smart injection optimization for CO2 sequestration: ensuring storage integrity through adaptive control and real-time monitoring","not stated (title-level only)","not stated","ScienceDirect","6","1","6 CCS","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"emergentmind_copilot-agent-mode","Copilot Agent Mode in Code Migration","not stated","not stated","emergentmind.com","7","1","out-of-scope","1 llm","1","out-of-scope: software engineering, not geoscience","no"
"arxiv_2404.18074","MMAC-Copilot: Multi-modal Agent Collaboration Operating Copilot","not stated","not stated","arXiv","7","1","out-of-scope","1 llm","1","out-of-scope: general computer-use agent, not geoscience","no"
"arxiv_2411.00188","Building Multi-Agent Copilot towards Autonomous Agricultural Data Management and Analysis","not stated","not stated","arXiv","7","1","out-of-scope","1 llm","1","out-of-scope: agriculture, not solid-earth/subsurface geoscience","no"
"doi_10.1080_17538947.2025.2497489","GIS Copilot: towards an autonomous GIS agent for spatial analysis","not stated","2025","International Journal of Geographical Information Science","7","1","out-of-scope","1 llm","1","out-of-scope: general GIS/geospatial analysis, not solid-earth/subsurface-specific","no"
"arxiv_2512.18582","Wireless Copilot: An AI-Powered Partner for Navigating Next-Generation Wireless Complexity","not stated","not stated","arXiv","7","1","out-of-scope","1 llm","1","out-of-scope: telecommunications, not geoscience","no"
"intuitionlabs_llm-copilots-bench-scientists","LLM Copilots for Bench Scientists: A Practical Guide","not stated","not stated","IntuitionLabs (industry blog)","7","1","out-of-scope","1 llm","1","out-of-scope: wet-lab bench science, not geoscience","no"
"arxiv_2506.09420","A Call for Collaborative Intelligence: Why Human-Agent Systems Should Precede AI Autonomy","not stated","not stated","arXiv","7","1","out-of-scope","1 llm","1","out-of-scope: general AI-autonomy position paper, not geoscience-specific","no"
"research.google_blackboard-mas-datascience","Blackboard Multi-Agent Systems for Information Discovery in Data Science","not stated","not stated","Google Research publication page","8","1","out-of-scope","2 pre-llm / hybrid","1","out-of-scope: general data-science multi-agent system, not geoscience-specific","no"
"doi_jcde_9_2_480","Agent-based blackboard system for multi-objective optimization","not stated (title-level only)","not stated","Journal of Computational Design and Engineering (Oxford Academic)","8","1","out-of-scope","2 pre-llm","1","not subfield-specific: general engineering-design optimization, no stated geoscience application","no"
"openreview_egTQgf89Lm","LLM-Based Multi-Agent Blackboard System","not stated","not stated","OpenReview","8","1","out-of-scope","1 llm","1","out-of-scope: general multi-agent architecture paper, not geoscience-specific","no"
"github_claudioed_agent-blackboard","agent-blackboard: Multi-agent coordination system for software engineering","not stated","not stated","GitHub repository","8","1","out-of-scope","1 llm","1","out-of-scope: software-engineering tool, not geoscience","no"
"medium_dp2580_blackboard-mcp","Building Intelligent Multi-Agent Systems with MCPs and the Blackboard Pattern","not stated","not stated","Medium (blog)","8","1","out-of-scope","1 llm","1","out-of-scope and non-primary source: general blog post, not geoscience-specific","no"
"arxiv_2605.02431","ARIADNE: Agentic Reward-Informed Adaptive Decision Exploration via Blackboard-Driven MCTS for Competitive Program Generation","not stated","not stated","arXiv","8","1","out-of-scope","1 llm","1","out-of-scope: competitive programming, not geoscience","no"
"medium_edoardoschepis_blackboard-pt1","Patterns for Democratic Multi-Agent AI: Blackboard Architecture Part 1","not stated","not stated","Medium (blog)","8","1","out-of-scope","1 llm","1","out-of-scope and non-primary source: general blog post, not geoscience-specific","no"
"researchgate_238687110","Blackboard and Multi-Agent Systems & the Future","not stated (title-level only)","not stated","ResearchGate","8","1","out-of-scope","2 pre-llm","1","not subfield-specific: general AI-architecture paper, no stated geoscience application","no"
"arxiv_cs0211029","Modelling intracellular signalling networks using behaviour-based systems and the blackboard architecture","not stated","not stated","arXiv","8","1","out-of-scope","2 pre-llm","1","out-of-scope: computational biology, not geoscience","no"
"emergentmind_llm-based-scientific-agents","LLM-Based Scientific Agents","not stated","not stated","emergentmind.com (topic aggregator page)","9","1","cross-cutting (not subfield-specific)","1 llm","1","non-primary source: topic-aggregator page, not a paper","no"
"arxiv_2604.21501","GeoMind: An Agentic Workflow for Lithology Classification with Reasoned Tool Invocation","not stated","not stated","arXiv","9","1","9 subsurface characterisation and geophysical inversion","1 llm","3","admitted; mechanics-slice candidate D","full"
"arxiv_2507.05613","Domain adaptation of large language models for geotechnical applications","not stated","not stated","arXiv","9","2","1 rock mechanics/geomechanics (secondary: 9 subsurface characterisation)","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2405.01392","LLMSat: A Large Language Model-Based Goal-Oriented Agent for Autonomous Space Exploration","not stated","not stated","arXiv","9","1","out-of-scope","1 llm","1","out-of-scope: planetary/space exploration, excluded domain","no"
"doi_10.1080_17538947.2026.2633849","Bridging natural language and GIS: a multi-agent framework for LLM-driven autonomous geospatial analysis","not stated","2026","International Journal of Geographical Information Science","9","1","out-of-scope","1 llm","1","out-of-scope: general GIS/geospatial analysis, closest to excluded Earth-observation/remote-sensing bucket","no"
"arxiv_2506.06935","An Agentic Framework for Autonomous Metamaterial Modeling and Inverse Design","not stated","not stated","arXiv","9","1","out-of-scope","1 llm","1","out-of-scope: materials science, not geoscience","no"
"arxiv_2501.11283","Large Language Model Agents for Radio Map Generation and Wireless Network Planning","not stated","not stated","arXiv","9","1","out-of-scope","1 llm","1","out-of-scope: telecommunications, not geoscience","no"
"usgs_coupled-agent-based-sts-model","Coupled Agent-Based and State-and-Transition Simulation Model","not stated","not stated","USGS (software release page)","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; regulatory/survey source of interest, not selected for mechanics slice (test-mode budget)","no"
"sciencedirect_S0198971508000628","Key challenges in agent-based modelling for geo-spatial simulation","not stated (title-level only)","not stated","ScienceDirect","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"academia_23998233","An Architecture for Agent-based Modelling and Simulation of Geospatial Phenomena","not stated","not stated","academia.edu (hosted copy; original venue not verified at title level)","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"doi_10.5194_gmd-14-6661-2021","Spatial agents for geological surface modelling","not stated (title-level only)","2021","Geoscientific Model Development (Copernicus)","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; strong candidate for full-run admission, not selected for mechanics slice (test-mode budget capped at 3 candidates)","no"
"researchgate_252334983","Agent Based Modeling Applications for Geosciences","not stated (title-level only)","not stated","ResearchGate","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"pmc_8885700","Agent based simulation with data driven parameterization for evaluation of social acceptance of a geothermal development: a case study in Tsuchiyu, Fukushima, Japan","not stated (title-level only)","not stated","PMC","10","1","5 geothermal (secondary: 10 geological modelling)","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"researchgate_226383283","The Integration of Agent-Based Modelling and Geographical Information for Geospatial Simulation","not stated (title-level only)","not stated","ResearchGate","10","1","10 geological modelling","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"ssrn_5340542","Reconstruction of Landslide Events Using LLM-Based Agentic AI with Multimodal Data","Hansong Pang; Man Kong Lo; Yat Fai Leung; Stephen Wu","not stated","SSRN (preprint)","11","1","8 engineering geology","1 llm","1","preprint duplicate of sciencedirect_S0038080626000612 (published version); not independently admitted","no"
"sciencedirect_S0038080626000612","Reconstruction of landslide events in urban setting using LLM-based Agentic AI with multimodal data","Hansong Pang; Man Kong Lo; Yat Fai Leung; Stephen Wu (author overlap with SSRN preprint, not independently verified)","not stated","ScienceDirect","11","1","8 engineering geology","1 llm","1","pass1 survivor; strong candidate for full-run admission, not selected for mechanics slice (test-mode budget capped at 3 candidates)","no"
"sciencedirect_S0266352X25005531","Artificial intelligence transformations in geotechnics: progress, challenges and future enablers","not stated (title-level only)","not stated","ScienceDirect","11","1","1 rock mechanics/geomechanics (secondary: 8 engineering geology)","1 llm (general AI review, not agent-specific)","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"geoinstitute_wang2020","Study of AI Based Methods for Characterization of Geotechnical Site Investigation Data","Wang","2020","Geo-Institute (report/proceedings PDF)","11","1","8 engineering geology","2 pre-llm","1","not agentic: classical ML characterization methods, no agent/autonomy framing","no"
"sciencedirect_S3050483X2600016X","GEOAI Editorial Volume 6: First Anniversary of Geodata and AI","not stated","not stated","ScienceDirect (Geodata and AI)","11","1","cross-cutting (not subfield-specific)","n/a","1","non-primary source: journal editorial, not a research paper","no"
"researchgate_221028824","Mine Detection and Route Planning in Military Warfare using Multi Agent System","not stated (title-level only)","not stated","ResearchGate","12","1","out-of-scope","2 pre-llm","1","out-of-scope: keyword collision, 'mine' = military landmine, not mineral extraction","no"
"pmc_12430893","Development of a Dynamic Path Planning System for Autonomous Mobile Robots Using a Multi-Agent System Approach","not stated (title-level only)","not stated","PMC","12","1","out-of-scope","2 pre-llm","1","not subfield-specific: generic robotics path planning, no stated mining application","no"
"azomining_1891","Why Underground Exploration Needs Autonomous Multi-Robot Systems","not stated","not stated","AZoMining (industry trade article)","12","1","7 mining","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"arxiv_2509.16267","Underground Multi-robot Systems at Work: a revolution in mining","not stated","not stated","arXiv","12","1","7 mining","2 pre-llm","1","pass1 survivor; strong candidate for full-run admission, not selected for mechanics slice (test-mode budget capped at 3 candidates)","no"
"arxiv_1809.06244","A Virtual Testbed for Critical Incident Investigation with Autonomous Remote Aerial Vehicle Surveying, Artificial Intelligence, and Decision Support","not stated","not stated","arXiv","12","1","out-of-scope","2 pre-llm","1","not subfield-specific: general incident-investigation testbed, no stated mining application","no"
"pmc_12196989","Autonomous Mobile Inspection Robots in Deep Underground Mining - The Current State of the Art and Future Perspectives","not stated (title-level only)","not stated","PMC","12","1","7 mining","2 pre-llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"sciencedirect_S0926580526003134","LLM-powered natural language interaction for voxel-based underground digital twin using task-aware retrieval and prompt engineering","not stated (title-level only)","not stated","ScienceDirect","13","1","10 geological modelling","1 llm","1","pass1 survivor; not selected for mechanics slice (test-mode budget)","no"
"copernicus_egu26-10918","EGU General Assembly 2026 abstract EGU26-10918 (title not resolvable from title-level search result)","not stated","2026","EGU General Assembly (Copernicus Meeting Organizer)","13","1","not stated (insufficient information from title alone)","not stated","1","insufficient information to classify from title alone; not fetched within test-mode budget","no"
"arxiv_2509.08863","GeoJSON Agents: A Multi-Agent LLM Architecture for Geospatial Analysis - Function Calling vs Code Generation","not stated","not stated","arXiv","14","1","out-of-scope","1 llm","1","out-of-scope: general GIS/geospatial analysis, not solid-earth/subsurface-specific","no"
"arxiv_2601.16965","Spatial-Agent: Agentic Geo-spatial Reasoning with Scientific Core Concepts","not stated","not stated","arXiv","14","1","out-of-scope","1 llm","1","out-of-scope: general geospatial reasoning, not solid-earth/subsurface-specific","no"
"arxiv_2410.18792","An LLM Agent for Automatic Geospatial Data Analysis","not stated","not stated","arXiv","14","1","out-of-scope","1 llm","1","out-of-scope: general geospatial data analysis, not solid-earth/subsurface-specific","no"
"arxiv_2503.05854","Accelerating Earth Science Discovery via Multi-Agent LLM Systems","not stated","not stated","arXiv","14","1","cross-cutting (not subfield-specific; framing is general Earth science)","1 llm","1","pass1 survivor, borderline: title does not identify a solid-earth/subsurface subfield; kept pending full-run pass 2","no"
"arxiv_2602.21351","A Hierarchical Multi-Agent System for Autonomous Discovery in Geoscientific Data Archives","not stated","not stated","arXiv","14","1","cross-cutting (not subfield-specific; cites ClimSight, a climate example, as an analogue)","1 llm","1","pass1 survivor, borderline: framing and cited analogue (ClimSight) are climate-adjacent; kept pending full-run pass 2 to confirm whether solid-earth content is present","no"
"onepetro_25pbec_793947","Physics-Informed Agentic AI: An Intelligent Assistant for Production Management and Optimization","not stated","2025","SPE Permian Basin Energy Conference (OnePetro)","15","1","4 reservoir engineering","1 llm","1","pass1 survivor; industry source, not selected for mechanics slice (test-mode budget)","no"
"onepetro_speoe_789376","Offshore Production Surveillance and Intervention Using Multi Agent AI","not stated","2025","SPE Offshore Europe Conference and Exhibition (OnePetro)","15","1","4 reservoir engineering","1 llm","1","pass1 survivor; industry source, not selected for mechanics slice (test-mode budget)","no"
"onepetro_25adip_793001","Large Language Model Empowered Automated Reservoir Agent: A Win-Win Strategy for Reservoir Intelligent Management and Transformation","not stated","2025","SPE Abu Dhabi International Petroleum Exhibition and Conference (OnePetro)","15","1","4 reservoir engineering","1 llm","1","pass1 survivor; industry source, not selected for mechanics slice (test-mode budget)","no"
"onepetro_25adip_792913","Exploring The Potential of Multi-Agent Models for Reservoir Characterization & Production Prediction","not stated","2025","SPE Abu Dhabi International Petroleum Exhibition and Conference (OnePetro)","15","1","4 reservoir engineering (secondary: 9 subsurface characterisation)","1 llm","1","pass1 survivor; industry source, not selected for mechanics slice (test-mode budget)","no"
"onepetro_25atce_792055","Integrating Data-Driven Insights with Domain Expertise Using Agentic Conversational Analytics for Well Completions Optimization","not stated","2025","SPE Annual Technical Conference and Exhibition (OnePetro)","15","1","4 reservoir engineering","1 llm","1","pass1 survivor; industry source, not selected for mechanics slice (test-mode budget)","no"
"onepetro_25adip_792904","Prompting Autonomous Agents and LLMs in Energy Operations, Efficiency Gains or Hidden Liabilities?","not stated","2025","SPE Abu Dhabi International Petroleum Exhibition and Conference (OnePetro)","15","1","4 reservoir engineering","1 llm","1","pass1 survivor; industry source with a critical/skeptical stance, of interest for a future disagreement section, not selected for mechanics slice (test-mode budget)","no"
