"candidate_id","run","kind","subject","statement","evidence_ref","count","denominator"
"c026","01_landscape/v0.5","author-limitation","Evaluator-Optimizer workflow","Authors state the small dataset (n=102, 21 test cases) is the dominant limitation; no head-to-head AutoML baseline; prompt-length and nested-CV cost at larger scale; fitted PPV models are site-tied.","doi:10.3390/geosciences16050176","",""
"c027","01_landscape/v0.5","author-limitation","not stated","AI cannot and should not replace a drilling engineer or automate the entire drilling cycle","doi:10.2118/224532-ms","",""
"c028","01_landscape/v0.5","author-limitation","Youwai2026-foundation-router","Authors call this a preliminary study: 'the limited sample size necessitates comprehensive validation on larger, more diverse datasets before deployment recommendations'; 'Safety-critical requirements necessitate continued human oversight'; with 27 test cases 'statistical power for detecting small effect sizes is inherently limited' (standard error about +/- 4-6 percentage points).","doi:10.1007/s43503-026-00088-8","",""
"c029","01_landscape/v0.5","author-limitation","ESHM20-MCP","not available - software deposit description only","doi:10.5281/zenodo.21768634","",""
"c030","01_landscape/v0.5","author-limitation","ENERGYai","key challenges remain in ensuring data quality; implementing robust QA/QC processes; and building trust in autonomous decision-making systems","doi:10.2118/229682-ms","",""
"c031","01_landscape/v0.5","author-limitation","not stated","extraction completeness depends on input data quality; the system does not replace engineering judgement","doi:10.2118/233094-ms","",""
"c032","01_landscape/v0.5","author-limitation","not stated","worries linger about the technology's tendency to hallucinate when providing answers","doi:10.2118/0925-0003-jpt","",""
"c033","01_landscape/v0.5","author-limitation","kanfar2025-seismic-assistant","dependency on predefined tools/workflows limits handling of novel or highly specialized tasks; likely to hallucinate when multiple requests are given in a single query; demonstrated failure to execute three chained tasks and a guardrail bypass on an out-of-scope query","doi:10.1190/tle44020142.1","",""
"c034","01_landscape/v0.5","author-limitation","not stated","primary challenges are noisy HTML structures and incorrect DOM element selection","doi:10.3390/computers15050294","",""
"c035","01_landscape/v0.5","author-limitation","chen2026-well-log-multiagent","operation is strictly confined to a predefined toolset, preventing agents from independently writing or debugging new scripts to handle unexpected issues; the agent interaction structure still relies on manual presets, limiting adaptive adjustment to new scenarios; growing information/tool scale increases processing noise on the shared memory environment","doi:10.1016/s1876-3804(26)60734-3","",""
"c036","01_landscape/v0.5","author-limitation","not stated","Phi-3 Mini exhibited occasional hallucinations despite being cost-efficient","doi:10.3997/2214-4609.2025101389","",""
"c037","01_landscape/v0.5","author-limitation","InsightsAI","not stated as explicit limitations; future scope named instead: hybrid ML+GenAI workflow for auto-calibration of torque/drag friction factors; RAG-based ingestion of legacy systems into OSDU; reading PDFs containing trajectories, motor specifications, ladder plots and spider diagrams","doi:10.2118/229435-ms","",""
"c038","01_landscape/v0.5","author-limitation","geo-drill-extractor","Single-project dataset; confidentiality and no released real documents; no manually verified coordinate ground truth so CSR is executable-output compliance not geometric accuracy; provider-dependent latency.","doi:10.1038/s41598-026-61824-9","",""
"c039","01_landscape/v0.5","author-limitation","EQSIM Agent","models cannot always self-correct malformed tool calls after several attempts; only one user request supported at a time (no concurrent task execution); non-vectorizable multi-step tasks show degraded accuracy; LLM may misrepresent correct tool output when summarizing","doi:10.1145/3731599.3767402","",""
"c040","01_landscape/v0.5","author-limitation","STA-CoT","Authors state increased computational overhead from multi-step execution and iterative refinement, 'which may result in higher inference latency and resource usage'; that 'the toolkit design is tailored to domain-specific characteristics, and the scalability of STA-CoT to larger-scale or cross-domain multi-image reasoning tasks remains to be systematically validated'.","doi:10.18653/v1/2025.findings-emnlp.1386","",""
"c041","01_landscape/v0.5","author-limitation","not stated","challenges remain in reliably interpreting user intent and ensuring context-aware responses","doi:10.3997/2214-4609.202639107","",""
"c042","01_landscape/v0.5","author-limitation","Agents4GEOS","Authors state 'several limitations remain': meshing complex reservoirs 'is particularly challenging and warrants a dedicated specialized agent'; although jobs can be launched on clusters, 'more robust skill coverage is needed to ensure all simulations complete correctly'; interacting with running simulations 'remains an open direction'; and token usage 'has emerged as a meaningful factor in the overall budget, one that is no longer secondary to CPU or GPU hours'. Within the session they report unresolved issues verbatim: an injection-rate discrepancy between the two source papers that 'remains unreconciled in the sources', a relative permeability that is 'an endpoint fit rather than the raw published curve', plan-view maps that 'used a density-based proxy', GEOS rejecting the first deck twice at run time despite valid XML, and the post-processing subagent initially plotting the domain maximum instead of the benchmark observation points. They also note only 9 of 1,490 ALE task instances come from Mining, Petroleum and Geological Engineering.","arxiv:2607.18557","",""
"c043","01_landscape/v0.5","author-limitation","not stated","not available - abstract only","doi:10.1109/caibda65784.2025.11182767","",""
"c044","01_landscape/v0.5","author-limitation","Sim2Schedule","No limitations section. In the conclusion and results the authors acknowledge that evaluation has not been extended to 'larger real-world block models', that geological grade uncertainty and commodity price variability are not in the simulator state, that a 'remaining optimality gap' persists, that DeepSeek 'yields a lower NPV at N = 45, indicating reduced robustness at larger scales', and that 'the local LLM implementation lacks native long-term memory'.","doi:10.48550/arxiv.2606.10286","",""
"c045","01_landscape/v0.5","author-limitation","GeoSAGE","not available - software deposit description only","doi:10.5281/zenodo.19078874","",""
"c046","01_landscape/v0.5","author-limitation","xu2025-multi-geollm","relies on reference examples and if-elif-else logic tools, so engineers must prepare examples and manually update tools for new design logic; initialized for idealized, horizontally layered homogeneous strata and rigid/flexible footings, with reduced performance expected for heterogeneous strata or semi-rigid footings; effective agents require powerful commercial LLMs, creating cost/latency dependence","doi:10.1016/j.autcon.2025.106257","",""
"c047","01_landscape/v0.5","author-limitation","ma2026-hydroagent","the current implementation operates within a predefined conceptual model and does not independently revise stratigraphic interpretations, modify facies distributions, or adjust boundary conditions based on site-history information; the coupled hydrogeochemical models assumed spatially homogeneous reaction parameters and did not invert spatially distributed geochemical reaction fields; LLMs cannot yet substitute for the diagnostic capacity of a hydrogeologist in interpreting the mechanistic implications of modeling discrepancies","doi:10.1016/j.watres.2026.125886","",""
"c048","01_landscape/v0.5","author-limitation","Zhou2026-GraphRAG-catalogs","Authors state precise-statistics queries remain weak across all conditions (0.50-1.04/3), attributing this to 'a fundamental structural flaw in retrieval-then-synthesize architectures when handling aggregate or ranking tasks' and recommending such questions be routed to deterministic database queries; that residual hallucinations persist after the fixes, including the true Ridgecrest M7.1 mainshock being misdated in 50-70% of relevant answers and an out-of-catalog Maduo mainshock presented as the catalog's own largest event in up to 60% of narrative-enriched answers; that per-catalog verification remains necessary before deployment, especially for well-known events; that narrative-text enrichment lowered scores for two of three catalogs and should be adopted only with per-catalog verification; and that because all results rely on a single model, hallucination rates and fix effectiveness might differ with another model.","doi:10.48550/arxiv.2607.24984","",""
"c049","01_landscape/v0.5","author-limitation","GeoIME-GPT","some data privacy and algorithm optimization issues","doi:10.1016/j.gsf.2026.102445","",""
"c050","01_landscape/v0.5","author-limitation","not stated","insights were extracted from simulated field data; future enhancements needed for retrieval, validation and reasoning modules","doi:10.2118/227420-ms","",""
"c051","01_landscape/v0.5","author-limitation","not stated","proof-of-concept implementation focused only on stuck pipe","doi:10.2118/227906-ms","",""
"c052","01_landscape/v0.5","author-limitation","qian2026-srab","does not adopt multiple forward-backward algorithms for autonomous rollback, citing context-management risk in multi-step reasoning; does not automatically switch to backup models; does not employ parallel agent execution; streaming-data anomaly detection is out of scope; robustness on other large-scale infrastructure projects left to future work","doi:10.1016/j.cacaie.2026.100079","",""
"c053","01_landscape/v0.5","author-limitation","not stated","important questions remain regarding reliability, robustness, evaluation, and human oversight","doi:10.1016/j.geoai.2026.100106","",""
"c054","01_landscape/v0.5","author-limitation","not stated","need for skilled professionals for implementation and limitations of model training on constrained datasets affecting adaptability across contexts","doi:10.1016/j.jgsce.2024.205469","",""
"c055","01_landscape/v0.5","author-limitation","not stated","ensuring data quality and navigating the complexity of operations","doi:10.2118/221883-ms","",""
"c056","01_landscape/v0.5","author-limitation","not stated","token limitations in interacting with the LLM","doi:10.3997/2214-4609.202410350","",""
"c057","01_landscape/v0.5","author-limitation","not stated","difficulty compiling answers across a large set of documents and finding information within plots and graphs","doi:10.2118/228117-ms","",""
"c058","01_landscape/v0.5","author-limitation","TRACE","Authors state the efficacy of TRACE 'remains intrinsically bounded by the fidelity of underlying physical models and the computational cost of high-fidelity simulations', and that its performance 'under extreme or data-sparse seismic events requires further validation through the integration of real-time observational streams and adaptive learning algorithms'; they describe a 'dual-ceiling effect' in which seismological tool precision sets the operational baseline while scientific rigour is capped by the reasoning depth of the underlying LLM.","doi:10.48550/arxiv.2603.21152","",""
"c059","01_landscape/v0.5","author-limitation","sun2026-tunnel-agent","open-source multimodal LLMs (e.g. Qwen2.5-VL) still exhibit a noticeable gap in image recognition capability; since drill-and-blast tunnelling remains predominantly manual, the risk-control decisions generated by the agent and fed back through the iS3 platform must ultimately be executed by human operators, so fully automated or mechanized execution is not yet achievable","doi:10.1016/j.autcon.2026.107055","",""
"c060","01_landscape/v0.5","author-limitation","Geo-Resource Agent","our evaluation remains preliminary; the case studies illustrate feasibility but do not exhaust the range of geological and engineering scenarios where such agents could be deployed; demonstrating the full benefits of the framework will require more extensive benchmarking, rigorous validation across datasets, and careful testing of corner cases","doi:10.56952/igs-2025-0391","",""
"c061","01_landscape/v0.5","author-limitation","not stated","LLMs operate without inherent grounding in physical feasibility and can produce plausible but non-physical explanations; over-trust, automation bias and de-contextualized reasoning erode reliability","doi:10.2118/230773-ms","",""
"c062","01_landscape/v0.5","author-limitation","not stated","extreme label scarcity in a positive-unlabeled setting, spatial non-stationarity that violates i.i.d. assumptions, and multi-format data heterogeneity","doi:10.20944/preprints202607.2303.v1","",""
"c063","01_landscape/v0.5","author-limitation","X2Sim","may not match the accuracy of high-fidelity numerical methods","doi:10.26153/tsw/62180","",""
"c064","01_landscape/v0.5","author-limitation","ccsnet.ai","such work still needs to be scaled up to support industrial use","doi:10.1162/daed.a.995","",""
"c065","01_landscape/v0.5","author-limitation","SeisEvo","Authors state the discovered mechanisms 'are not conceptually new'; that the offline search cost is 'substantially more expensive than running a fixed hand-designed solver'; that the present evidence 'is restricted to seismic data reconstruction' and extension to denoising, deconvolution and inversion 'remains a hypothesis to be tested rather than a demonstrated capability'; that the seed and objective are fixed before each run and the effect of their choice 'has not been studied systematically'; that a single search trajectory per case cannot establish whether the budget is adequate; that the SNR and SSIM objectives require a complete reference so the protocol suits offline discovery only; and that for Evo-MSSA at low input SNR 'its error volume still contains coherent signal energy and random noise, indicating signal leakage and residual noise'.","doi:10.48550/arxiv.2608.18272","",""
"c066","01_landscape/v0.5","author-limitation","not stated","ensuring project-level access controls are respected, handling heterogeneous geospatial references, providing tailored representations across spatial scales, and maintaining transparency and reliability in automatically generated outputs","doi:10.5194/egusphere-egu26-20914","",""
"c067","01_landscape/v0.5","author-limitation","AI Drilling Agent","presents ongoing research progress; real-time data and digital twins left to future work","doi:10.2118/223828-ms","",""
"c068","01_landscape/v0.5","author-limitation","not stated","the reported F1 score characterizes the end-to-end verification task rather than an autonomous safety decision capability","doi:10.3390/app16168089","",""
"c069","01_landscape/v0.5","author-limitation","OntoGRC","pretraining-corpus opacity of the base LLM cannot rule out prior exposure to geological literature; results derived from Chinese-language texts only and may reflect regional terminology; long-range inter-sentence metallogenic information can exceed the model's effective context window and break the affiliation chain; synonym mapping/coreference resolution can fail under concise or thematically volatile paragraphs; spatial modelling and ontology interoperability comparatively weak; numerical-attribute (grade/threshold) representation not yet strengthened","doi:10.1016/j.oregeorev.2026.107411","",""
"c070","01_landscape/v0.5","author-limitation","LandslideAgent","Authors state their findings 'delineate the inherent cognitive boundaries of the current static reasoning paradigm': spectral confusion from high intra-class variance 'imposes a persistent bottleneck on fine-grained classification', and marginal gains on kinematic characteristics show that 'relying on single-frame static snapshots fundamentally restricts the agent's capacity to reconstruct complex hazard dynamics', which they call 'an ill-posed challenge even for advanced multimodal architectures'. They acknowledge LandslideVLM's 52.05% fine-grained accuracy 'still lags significantly behind the dedicated pure-vision models', so VLMs 'cannot yet entirely supplant specialized interpretative models'; that SegFormer's Landslide-IoU ceiling below 77% means unimodal optical features 'remain insufficient for precise landslide delimitation'; and that the agent's own report states 'no calibrated overall confidence score is reported'.","doi:10.48550/arxiv.2606.18661","",""
"c071","01_landscape/v0.5","author-limitation","GWFlowAI","limitations related to data resolution, uncertainty, and spatial coverage","doi:10.5194/egusphere-egu26-20010","",""
"c072","01_landscape/v0.5","author-limitation","not stated","challenges remain including data quality, model interpretability, and the need for high-performance computing resources","doi:10.3390/pr13051413","",""
"c073","01_landscape/v0.5","author-limitation","not stated","not available - abstract only","doi:10.3997/2214-4609.202535040","",""
"c074","01_landscape/v0.5","author-limitation","GAGAW","abstract says limitations are outlined but does not state them","doi:10.22541/essoar.176336946.65126612/v1","",""
"c075","01_landscape/v0.5","author-limitation","AGeoKE","vocabulary-adaptive extraction still requires configuration and relies on hard-coded vocabulary parsing; GeoSciML vocabulary is terrestrial-biased and misapplies Earth-centric terms to lunar samples; output is limited to controlled-vocabulary terms, lacking relational/assertion-level knowledge; manual evaluation used a single reviewer with no inter-rater reliability reported","doi:10.1016/j.acags.2026.100362","",""
"c076","01_landscape/v0.5","author-limitation","specfem-mcp","none stated - the Conclusion and Outlook contains only forward-looking statements about future capability (expanding MCP coverage to preprocessing, postprocessing, imaging, inversion and interpretation tools, deeper integration with inversion workflows, and enhancing error correction and experience summarization), and no shortcoming of the present system is acknowledged","doi:10.48550/arxiv.2512.14429","",""
"c077","01_landscape/v0.5","author-limitation","not stated","not available - abstract only","doi:10.3997/2214-4609.202639012","",""
"c078","01_landscape/v0.5","author-limitation","not stated","Future work aims to validate across diverse geological settings","doi:10.3997/2214-4609.2025640024","",""
"c079","01_landscape/v0.5","author-limitation","GALA","not available - abstract only","doi:10.1109/cait70489.2026.11553853","",""
"c080","01_landscape/v0.5","author-limitation","MINDS","LLM non-determinism needing industrial guardrails; demonstration relied on synthetic Marvin and curated news feeds; debate currently evaluates commodity price only.","doi:10.3390/mining6020026","",""
"c081","01_landscape/v0.5","author-limitation","Mining AGI Platform","conceptual and methodological article; explicitly not presented as an autonomous AGI system, a generic language-model assistant, or a replacement for Competent Persons, Qualified Persons or statutory engineering authorities","doi:10.5281/zenodo.21204632","",""
"c082","01_landscape/v0.5","author-limitation","AutoSurrogate","No dedicated limitations section. Residual saturation errors 'are primarily concentrated near the plume boundaries'; 'discrepancies may also be attributed to limitations in the available training data'. Pressure self-correction exhausted its retry budget and fell back to the global-best ResUNet3D checkpoint. The generator LLM is never named.","doi:10.1016/j.aei.2026.105058","",""
"c083","01_landscape/v0.5","author-limitation","HERMES","Authors state the two-stage strategy 'introduces potential error propagation' with 'cascading errors in the output structure' when entities are missed or merged; that conservative paragraph filtering 'can also reduce recall when genuinely relevant fossil descriptions are incomplete or expressed without these cues'; that chunking and RAG on extremely long documents 'inevitably introduces a trade-off between efficiency and recall', consistent with lost-in-the-middle findings; that cross-page discontinuity can split a description so 'the latter part of the split description can be excluded'; that 'fully understanding table semantics remains difficult' for cross-page tables, merged cells and footnotes; that performance 'is influenced by the underlying OCR and layout analysis algorithms', worse for older scans; and that expert verification throughput 'represents a practical bottleneck'.","doi:10.48550/arxiv.2608.14055","",""
"c084","01_landscape/v0.5","author-limitation","GeoMCP","Section 6.3 states 'The JRC validation demonstrates precision within a specific problem class' and that 'A production-ready release of GeoMCP will require systematic validation across a broader range of geotechnical problems'; that the method card approach 'is inherently restricted to closed-form equations and iterative systems'; that the framework 'does not eliminate the potential for reasoning or data extraction errors' because the LLM interprets the scenario and extracts parameters, so interpretation errors 'will propagate into the engine's inputs'; and that auditable, citation-rich output introduces 'the secondary risk of automation bias' that 'may discourage necessary critical review', making independent checking essential. The walkthrough also records that settlement 'has not been checked' and that reproducing the JRC numbers requires resolving a documented inconsistency in the source (groundwater at 1.5 m in the text against 2.5 m in the figure).","doi:10.48550/arxiv.2603.01022","",""
"c085","01_landscape/v0.5","author-limitation","petromcp","SEG-Y support via segyio is only queued and not yet implemented","title:petromcplocalfirstmcpserverforpetroleumdataformatslasdlissegyheaderspumpcards","",""
"c086","01_landscape/v0.5","author-limitation","volve-drilling-advisor","the queries behind each tool are hand-written so the model cannot go off-script","title:volvedrillingadvisorrealtimedrillingadvisoryagenttoolcallingaimonitoringvolvewellf15drillingparameters","",""
"c087","01_landscape/v0.5","author-limitation","not stated","LLMs are stateless, probabilistic and conversational while engineering tools are physics-constrained and precise; autonomy should be granted only where the task is repeatable, auditable and physics-bounded","title:designingagenticaisystemsforsubsurfaceworkflowslessonsfromautomatingwellloginterpretation","",""
"c088","01_landscape/v0.5","author-limitation","not stated","LLM-generated outputs can be prone to subjective biases and hallucinations","doi:10.48550/arxiv.2608.22068","",""
"c089","01_landscape/v0.5","absence-claim","01_techniques.md","`instrument-control` does not appear on any core row (`q001`–`q020`).","q001;q020","",""
"c090","01_landscape/v0.5","absence-claim","07_periphery.md","No dedicated periphery harvest was run for hydrology-as-surface-water or ecology (`q005`, `q006`, `q021`–`q030`); those topics appear only where they matched a core or named-periphery query.","q005;q006;q021;q030","",""
"c091","01_landscape/v0.5","evidence-hole","base_model","105 of 151 admitted sources state nothing for `base_model`.","papers.csv","105","151"
"c092","01_landscape/v0.5","evidence-hole","tools_used","52 of 151 admitted sources state nothing for `tools_used`.","papers.csv","52","151"
"c093","01_landscape/v0.5","evidence-hole","evaluation_method","40 of 151 admitted sources state nothing for `evaluation_method`.","papers.csv","40","151"
"c094","01_landscape/v0.5","evidence-hole","baseline","84 of 151 admitted sources state nothing for `baseline`.","papers.csv","84","151"
"c095","01_landscape/v0.5","evidence-hole","held_out","134 of 151 admitted sources state nothing for `held_out`.","papers.csv","134","151"
"c096","01_landscape/v0.5","evidence-hole","data_type","59 of 151 admitted sources state nothing for `data_type`.","papers.csv","59","151"
"c097","01_landscape/v0.5","evidence-hole","reported_result","79 of 151 admitted sources state nothing for `reported_result`.","papers.csv","79","151"
"c098","01_landscape/v0.5","evidence-hole","maturity_claimed","3 of 151 admitted sources state nothing for `maturity_claimed`.","papers.csv","3","151"
"c099","01_landscape/v0.5","evidence-hole","author_stated_limitations","63 of 151 admitted sources state nothing for `author_stated_limitations`.","papers.csv","63","151"
"c100","01_landscape/v0.5","evidence-hole","code_availability","127 of 151 admitted sources state nothing for `code_availability`.","papers.csv","127","151"
"c101","01_landscape/v0.5","evaluation-hole","baseline","5 of 38 deep-read systems compared against no baseline.","papers.csv (tier core)","5","38"
"c102","01_landscape/v0.5","evaluation-hole","held_out","27 of 38 deep-read systems report no held-out evaluation.","papers.csv (tier core)","27","38"
"c103","01_landscape/v0.5","evaluation-hole","data_type","9 of 38 deep-read systems were evaluated on synthetic data only.","papers.csv (tier core)","9","38"
"c104","01_landscape/v0.5","evaluation-hole","maturity_ceiling","14 of 38 deep-read systems demonstrate M1 or below; 13 reach M3 or above.","papers.csv (tier core)","14","38"
"c105","01_landscape/v0.5","claim-gap","Fortran-to-Devito","Evaluation demonstrates M1; the source asserts: ""the incorporation of feedback mechanisms motivated by reinforcement learning, enabling a transition from static code translation toward dynamic and adaptive analytical behavior""","arxiv:2601.18381","",""
"c106","01_landscape/v0.5","claim-gap","guo2026-slope-reliability-agents","Evaluation demonstrates M1; the source asserts: ""The feasibility and accuracy of this framework have been validated across realistic scenarios of varying complexity.""","doi:10.1016/j.aei.2026.105065","",""
"c107","01_landscape/v0.5","claim-gap","GAIA","Evaluation demonstrates M1; the source asserts: ""the pioneering effort in building an agentic AI system for geothermal project assistance and a pioneering application of agentic RAG workflows in geothermal field development""","doi:10.48550/arxiv.2511.03852","",""
"c108","01_landscape/v0.5","claim-gap","TREMORS","Evaluation demonstrates M1; the source asserts: ""an advancement in observational seismology for data acquisition and a blueprint for reproducible multi-step data procurement and analyses across multiple repositories""","doi:10.48550/arxiv.2609.01777","",""
"c109","01_landscape/v0.5","claim-gap","Youwai2026-foundation-router","Evaluation demonstrates M1; the source asserts: ""a promising approach for foundation design automation, with a methodological foundation for future research in AI-assisted geotechnical engineering""","doi:10.1007/s43503-026-00088-8","",""
